Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-VR-004.txt
Log File Name:                   MES_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            844309174
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	428.404996	1	0.270334887117	0.600565868687	0.329696885169	0.442694646198	0.703616194436	0.507710069641	1.088049253131	0.040462379828	0.054959758230	-0.115129652036	-0.081806853503	-0.138442178370	0.000293850444	0.938473510101	N\A	0.054476403434	0.209055472155	0.192587581596	0.205060569150	0.200167882964	0.277798228248	0.058364494122	0.055749575539	0.059666816662	0.062037396256	0.059097785523	33	14	
1050000	439.360914	1	0.680587462940	0.579224224369	-0.320085394067	-0.140316451697	0.535564715920	-0.162845146504	0.498426601432	0.078693051046	0.055189245241	-0.109872691687	0.007995828264	-0.069942477456	0.000289668324	0.944192876056	N\A	0.052108758016	0.191865814928	0.184528597290	0.214038444621	0.204954189451	0.278265845172	0.054404075058	0.053527175440	0.059098823463	0.060802981750	0.056008851933	44	22	
1100000	450.180259	1	0.595266624214	0.607371621761	-0.017247026744	0.111526180514	0.720256378806	0.112941691137	0.541107671857	0.029756174376	0.017566343512	-0.148933600123	-0.076565157729	-0.112070962793	0.000293285115	0.943410501959	N\A	0.054507525940	0.185169093768	0.181941067758	0.209532523779	0.193690751903	0.281280694878	0.056673062877	0.056018574307	0.059519386474	0.061563911179	0.058578726948	44	22	
1150000	452.541873	1	0.621387564846	0.589898861124	0.020100882930	0.080865448031	0.831488587354	-0.180524139242	0.519591612701	0.076656526411	0.057862413452	-0.165418202442	0.018451143665	-0.117386985165	0.000234853748	0.946805377258	N\A	0.047031429838	0.178538730090	0.165348387636	0.182122428528	0.177102381410	0.251415500789	0.050652075504	0.048508723265	0.049772648347	0.054684540257	0.051951128286	50	24	
1200000	438.099567	1	0.562579489397	0.618328492994	0.186151946897	0.178316654626	0.582139973404	0.018059722706	0.512277907084	0.007167427948	0.021938816794	-0.131552252490	-0.096622682283	-0.124993691042	0.000284885439	0.945728827734	N\A	0.051863086338	0.183330383577	0.176306402127	0.184959866790	0.198775873955	0.274783553822	0.054178187023	0.053366174648	0.055951337836	0.061408495829	0.055972969968	49	25	
1250000	419.073009	1	0.340580089304	0.687743751228	0.572726929376	0.563538497184	1.069462099871	0.399912786920	0.594011647167	-0.091737058937	-0.057289515403	-0.238437308325	-0.120980886692	-0.189114805940	0.000325572065	0.939129697264	N\A	0.055243830725	0.197834467309	0.188942414097	0.236864667848	0.193273634046	0.301303415478	0.057273194127	0.056767064751	0.064386648368	0.060685178317	0.062982188410	43	26	
1300000	419.988326	1	0.541723010928	0.635703675825	0.720122721372	0.243098519171	0.688355471839	0.251382763981	0.450269064445	-0.033268115621	0.013899370508	-0.133511002113	-0.105870663184	-0.135393818872	0.000238656511	0.941259520879	N\A	0.047627160565	0.316126616495	0.212922805821	0.236385895136	0.216717985992	0.261615090019	0.050417369023	0.049229154210	0.054609071465	0.053259549238	0.055080673900	48	32	
1350000	427.336589	1	0.907779450349	0.557420849041	-0.096304303727	-0.118008799408	0.749800054713	0.036113172396	0.011704605819	0.076130612510	0.075269584832	-0.144935626856	-0.043554457749	-0.064713449329	0.000317070141	0.966044014579	N\A	0.015785672720	0.216048762955	0.208026201236	0.323160252799	0.229208457230	0.304556943368	0.024657910058	0.017914221752	0.022868243212	0.036509155306	0.029233531350	50	27	
1400000	439.107494	1	0.378804330115	0.597131152498	0.337470809479	0.366035924982	0.689853696203	0.377962194145	0.783438468741	0.023298959153	0.026954965822	-0.136364377339	-0.062798673926	-0.050925423528	0.000248380829	0.944940585924	N\A	0.053540061013	0.306644404753	0.301013921511	0.206493321028	0.308496968043	0.273376681943	0.056240934697	0.054918929772	0.057585299575	0.057573185691	0.059010013346	49	23	
1450000	432.423876	1	0.624552748278	0.557895746076	0.101924665839	0.136550291131	0.615751585671	-0.067173328446	0.524697947494	0.058429629051	0.082276154295	-0.070918977081	0.044311268889	-0.102248620799	0.000125236516	0.939764548755	N\A	0.034280445066	0.144614733918	0.130726040811	0.151308758402	0.163608180419	0.188679505427	0.038149928607	0.036776643699	0.042995637396	0.050559231917	0.039753300114	49	21	
