Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-bm-004.txt
Log File Name:                   MES_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            443392144
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	356.868962	1	0.626221063181	0.550717878883	0.274706761474	0.200569468763	0.698422878633	0.061900261141	0.423886651397	0.034056660638	0.058959209227	-0.106265947641	0.070050676703	-0.069070534601	0.000314953208	0.898331784172	N\A	0.054335446043	0.231886225234	0.209746832304	0.219856245410	0.213081596441	0.288915470736	0.060458473941	0.058346409186	0.060653755067	0.063031810853	0.057611122269	
1050000	357.399442	1	0.565760414437	0.544120806690	0.012432200625	0.224964590928	0.603313034017	0.066829874525	0.383585315511	0.083304200849	0.079652785774	-0.038339575972	0.060451313871	0.004211718613	0.000313983329	0.898644865127	N\A	0.054251720221	0.231528910326	0.209423632122	0.219517467572	0.212753257701	0.288470279113	0.060365313108	0.058256502846	0.060560293323	0.062934684748	0.057522348937	
1100000	355.614008	1	0.921709615624	0.542126377287	0.055912000080	0.096855512137	0.710006886905	-0.125617587718	-0.116805305611	0.099711766063	0.100562453210	-0.120402570927	0.011315670869	-0.056186920193	0.000317259587	0.897587275258	N\A	0.054534030402	0.232733719469	0.210513411823	0.220659772658	0.213860363806	0.289971394586	0.060679436649	0.058559652752	0.060875431484	0.063262178552	0.057821678519	
1150000	356.917872	1	0.569306357139	0.636990550984	0.010772084434	0.003398819808	0.679868057366	0.022573167776	0.562361962613	-0.037036100834	-0.001258453093	-0.187401434316	-0.122684302050	-0.122194155378	0.000314863660	0.898360690613	N\A	0.054327721131	0.231853257791	0.209717012436	0.219824988279	0.213051302467	0.288874395402	0.060449878514	0.058338114033	0.060645131876	0.063022849572	0.057602931652	
1200000	355.144651	1	0.740687987790	0.693390458754	0.025458333927	-0.014100355308	0.460648635268	0.040057146454	0.122236172210	-0.066918854364	-0.061855783622	-0.201608677838	-0.164363842193	-0.168323534982	0.000318126513	0.897307427947	N\A	0.054608487900	0.233051480146	0.210800834225	0.220961048293	0.214152355934	0.290367304157	0.060762284716	0.058639606593	0.060958547151	0.063348552941	0.057900624775	
1250000	354.613573	1	0.352370900751	0.671472083344	0.549090301998	0.651001494394	1.214864052146	0.430860582429	0.380655752753	-0.038416204304	-0.046633304053	-0.210180275065	-0.096481318534	-0.118792149805	0.000319110299	0.896989857675	N\A	0.054692859366	0.233411550456	0.211126526735	0.221302438586	0.214483226629	0.290815928834	0.060856163951	0.058730206238	0.061052729617	0.063446428025	0.057990082674	
1300000	358.331511	1	0.605403712125	0.628235252447	0.031717982358	0.145634658638	0.446067674322	-0.207822752912	0.481973746155	-0.006443714978	-0.003827014859	-0.146197284892	-0.013993516248	-0.101223899420	0.000312286453	0.899192623721	N\A	0.054104923983	0.230902431151	0.208856966197	0.218923489387	0.212177582356	0.287689725954	0.060201974493	0.058098870325	0.060396427124	0.062764393836	0.057366702916	
1350000	356.352367	1	0.202945877937	0.692140618887	0.503261507445	0.569050666545	1.002136940807	0.227340254264	0.972342786543	-0.072870779157	-0.064260918343	-0.239804410242	-0.069042550693	-0.183674887087	0.000315900577	0.898025969305	N\A	0.054417104358	0.232234716685	0.210062051451	0.220186657542	0.213401827256	0.289349668894	0.060549334282	0.058434095399	0.060744908886	0.063126538546	0.057697703452	
1400000	356.581471	1	0.789914586475	0.579127463948	0.350641386642	0.198665804719	0.526878231616	-0.004015138067	0.018686847106	0.013324232152	0.073099550958	-0.116273816295	0.047359863696	-0.075539777989	0.000315480079	0.898161707882	N\A	0.054380874742	0.232080100324	0.209922197123	0.220040062492	0.213259749385	0.289157026752	0.060509021972	0.058395191365	0.060704466368	0.063084510395	0.057659289690	
1450000	353.839790	1	0.489337220479	0.603829214268	0.424524833991	0.289450333425	0.781077393121	0.059766091188	0.505484833861	-0.012936784787	0.094352413018	-0.114819546591	-0.026964002099	-0.079375207982	0.000320549125	0.896525398572	N\A	0.054816022124	0.233937169535	0.211601962207	0.221800789176	0.214966221047	0.291470816736	0.060993205845	0.058862460691	0.061190214156	0.063589302929	0.058120670444	
