Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-fab-004.txt
Log File Name:                   MES_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2473828786
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	467.018676	1	0.651518102871	0.498543160812	0.158700921181	0.191850117729	0.469118962244	0.223820656625	0.393833903908	0.097631978477	0.143646900212	0.005220074276	-0.041552305888	0.027623873461	0.000299164110	0.944586011695	N\A	0.040022441132	0.152252377657	0.143865949999	0.166989788129	0.156540953340	0.244386389768	0.044163775935	0.041710135589	0.048292257446	0.047534749354	0.045087194656	40	8	
1050000	472.445016	1	0.753008899102	0.532807295403	0.104521750483	0.075497726635	0.454734215553	0.029972376548	0.174686963524	0.095796222314	0.085054532366	-0.028253613590	-0.030956928430	-0.000039238261	0.000072039264	0.957285832381	N\A	0.024060195428	0.161491547556	0.153908581409	0.171269850697	0.176237721569	0.183628349816	0.028379538438	0.026553986936	0.034364846497	0.039771783895	0.028626468383	38	8	
1100000	449.175464	1	-0.786800516515	0.677389832182	0.373358376773	0.425890628342	0.850318338102	0.191282687275	1.910311108424	-0.043716985028	-0.019130562375	-0.212056674026	-0.085522547709	-0.166325953793	0.000095206622	0.953601222969	N\A	0.053075088885	0.154667199079	0.144653466236	0.169076644460	0.158425987166	0.232788322773	0.055204556698	0.054129220921	0.057378427192	0.060675205615	0.059233353679	32	14	
1150000	461.627965	1	-0.082890688127	0.547976251957	0.143452426619	0.143955553696	0.639429937419	-0.008480793611	1.262531623167	0.097864681428	0.080922946613	-0.066688018557	0.031667827615	-0.055796338103	0.000091683143	0.952128390681	N\A	0.030070472979	0.127764431145	0.113946013679	0.133341440452	0.120647842719	0.256732861223	0.035316151700	0.032118095072	0.039091191298	0.038172860579	0.035743597589	37	10	
1200000	460.465058	1	0.742641252577	0.603819354093	0.191138207735	0.100863470801	0.641106932157	-0.165425250722	0.136739404704	0.012436617378	0.031073245123	-0.162866096625	-0.021462956021	-0.055220904651	0.000111337812	0.948900173724	N\A	0.030728551824	0.136749540229	0.123606198707	0.132480661971	0.140284010438	0.174886848757	0.034563957056	0.033331842558	0.035739560963	0.045139716946	0.035795399917	41	8	
1250000	451.754060	1	0.452662186133	0.647697608370	0.718280936485	0.930572456476	1.314684301300	0.510234684214	0.823946874326	-0.008858389005	-0.033037935493	-0.191068914071	-0.041370967501	-0.133080830099	0.000270074653	0.944030555119	N\A	0.039745770853	0.144649809051	0.130044653736	0.134848038948	0.138916375687	0.221725606909	0.044726972479	0.041741492426	0.043375328650	0.048549328988	0.044197329225	36	13	
1300000	445.426469	1	0.644889833159	0.534125363634	0.708501000742	0.754788666117	1.198398933242	0.607285187681	0.380988172335	0.094939526326	0.096210663235	-0.108789633167	-0.028655659834	-0.008297670049	0.000360063054	0.955532220592	N\A	0.033442375491	0.122172051797	0.105260388845	0.089002866856	0.117960746820	0.215214386557	0.037537042734	0.035800622293	0.034841786579	0.044516276762	0.042060570821	37	6	
1350000	446.506970	1	0.926620783182	0.417307854975	0.119206907149	0.092534396738	0.864528329603	0.015538956619	0.164078922196	0.185379570060	0.225895252423	0.030114840261	0.143517144557	0.089072611577	0.000133392827	0.948704554739	N\A	0.037725058585	0.122085373025	0.102430401752	0.107866831936	0.115630939674	0.164416209968	0.041715709510	0.039617384815	0.043705026279	0.049650401081	0.044630064366	34	5	
1400000	453.182444	1	0.044496987345	0.569304411697	0.628556646576	0.498070861535	1.078509735632	0.099026972277	0.923709502551	0.024542843279	0.057898367912	-0.154927261278	0.074496790068	-0.061978561144	0.000091409293	0.962485769827	N\A	0.025976093930	0.124927927254	0.109847322210	0.110445855134	0.155397052755	0.157971158299	0.032544081213	0.027447554661	0.032534204252	0.043054368954	0.031533858735	46	9	
1450000	464.159919	1	0.273842606841	0.551341682632	0.555576545627	0.628921548726	1.108911748056	0.455060194081	0.617660581301	0.061752384286	0.086268977884	-0.072035323404	0.008938740230	-0.056143589821	0.000130552467	0.956414064295	N\A	0.037261398317	0.150347999142	0.136114316912	0.146282328301	0.154436770557	0.226584848166	0.040702395586	0.038604719122	0.042339619966	0.050314106529	0.042204622323	34	12	
