Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-glob-001.txt
Log File Name:                   MES_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4099088890
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	452.988172	1	0.902185099100	0.529495081775	-0.156781380462	-0.089820549818	0.818807238275	-0.311228607723	0.043094715094	0.095119359990	0.092313936924	-0.059824883767	0.039586682137	0.001592955011	0.000215986593	0.995551096167	N\A	0.029835888955	0.080204479645	0.066039183091	0.089548510822	0.086620738662	0.151633545305	0.033704656434	0.032233473881	0.034825772362	0.034986437169	0.037905167328	47	7	0.082195004065	Global Trend	
1050000	461.695215	1	0.987773783398	0.585789588563	0.031921895368	-0.025993567081	0.608158467761	0.125072858643	0.010695274732	0.003132134063	0.068277998339	-0.142572125067	-0.116581843813	-0.050056005163	0.000207864682	0.955025937485	N\A	0.041273643729	0.087254185301	0.080038137881	0.111942861830	0.104496250799	0.167951958839	0.044154221549	0.043110648102	0.046549538400	0.050315861047	0.047144511259	36	10	0.009700276505	Global Trend	
1100000	476.752590	1	1.201741667438	0.587984052825	0.092178833298	0.128759451888	0.511366218789	0.088074970420	-0.152804069801	0.037224265086	0.027966859475	-0.155140818071	-0.089654677601	-0.076116707072	0.000098849808	0.999983940907	N\A	0.038890013768	0.076704462616	0.063465965443	0.105388650654	0.080903070115	0.119667498341	0.041732362684	0.040254000894	0.045654132715	0.043996104775	0.043138860286	41	13	-0.645674289555	Global Trend	
1150000	449.863573	1	0.742701450049	0.652082406881	-0.003924511106	0.044581060975	0.579539466982	0.033003576112	0.376029400187	-0.021903428093	-0.004681513507	-0.203033377509	-0.160936316194	-0.200886443086	0.000214371763	0.975118786517	N\A	0.062715480519	0.104016764493	0.091583331316	0.111177415045	0.108041387978	0.183135710296	0.064782555798	0.063047884348	0.065243758753	0.067950630599	0.067578499296	39	5	0.001115430720	Global Trend	
1200000	442.946515	1	1.317076289590	0.506683897056	-0.517004522899	-0.374152068224	0.461260202419	-0.240574354815	-0.446671429534	0.156066982771	0.116608760191	-0.082910572492	0.004761809560	0.014170939748	0.000513502481	0.938867504684	N\A	0.067514636971	0.243833385084	0.238492218002	0.241964964786	0.232967294662	0.327953952723	0.069981400655	0.068597160110	0.072052019048	0.074066123995	0.072612501756	31	3	-0.000690541326	Global Trend	
1250000	459.364321	1	0.746094076598	0.614271558228	0.003755068150	0.077858901623	0.689875763398	-0.224048677090	0.099118946541	0.000102859983	0.018036280403	-0.159737504035	0.004436865892	-0.121901709814	0.000314590931	0.985876735460	N\A	0.029280864903	0.081410906718	0.066570072869	0.093364438445	0.090043451379	0.162445908647	0.033590254732	0.030478090142	0.035223484678	0.042672410544	0.035916216934	37	7	0.043648127645	Global Trend	
1300000	449.354322	1	0.937183372750	0.533614212922	-0.035006612588	-0.108316367833	0.551887163581	-0.144576517377	0.093883200631	0.096122540789	0.107967313714	-0.087132237060	0.019616540271	-0.023016939487	0.000157215944	0.997385744716	N\A	0.051665418959	0.094620406914	0.077670712779	0.105516043131	0.095799113881	0.148318832035	0.054883484111	0.052785108966	0.054878164241	0.056618188448	0.055138685823	32	7	0.100162054594	Global Trend	
1350000	450.235582	1	0.775861405795	0.557520538669	-0.130712661119	-0.089437692558	0.531171668042	-0.323872693253	0.349867993044	0.081875530060	0.052608195493	-0.104850293945	0.143722011510	-0.087000528353	0.000171754271	0.948377439121	N\A	0.037508496720	0.081679496323	0.073223092046	0.103543649724	0.099394909836	0.151602537025	0.041261894904	0.039727765633	0.042512923433	0.048223409156	0.042649980195	23	9	-0.007183692686	Global Trend	
1400000	459.811546	1	0.815628012510	0.548528860745	-0.029536460629	0.037170849442	0.547511994231	-0.487389969495	0.384907363956	0.073868550547	0.053246024447	-0.134410224531	0.051846634223	-0.047543444438	0.000146887185	0.999778347868	N\A	0.034671618965	0.076455471388	0.064877762547	0.107895832135	0.089074028812	0.143175444192	0.039749302573	0.036483990203	0.041831346157	0.043353839891	0.040168246968	46	8	-0.289181627404	Global Trend	
1450000	456.686094	1	1.143265838177	0.539190362450	0.105666578715	0.004877609900	0.595251689452	-0.198638703194	-0.186487634877	0.049903745042	0.091860124276	-0.061268868940	0.068386751702	-0.009697899193	0.000102044303	0.999244857027	N\A	0.035361754694	0.078014591151	0.062538501344	0.092046875001	0.097985195856	0.119968718676	0.039694783803	0.037411168692	0.041457020761	0.047554934166	0.038553853472	34	5	0.097182923651	Global Trend	
