Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m3-glob-002.txt
Log File Name:                   MES_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2101486756
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	465.653063	1	0.792181030422	0.718901589404	-0.032917730793	0.000238528188	0.946650485211	N\A	0.017856066730	0.004104914006	25	10	-0.002547657948	Global Trend	
1050000	467.097874	1	0.639726888812	0.727592016993	-0.036450323177	0.000203703404	0.955637682598	N\A	0.017614662979	0.004345645957	35	10	-0.001531018518	Global Trend	
1100000	466.929399	1	0.708308876433	0.719527806547	-0.035442375697	0.000176988402	0.956396747190	N\A	0.016495051950	0.004000343580	36	11	-0.000104013637	Global Trend	
1150000	469.672394	1	0.705400960067	0.739424705910	-0.037854280468	0.000241589561	0.951533618926	N\A	0.016855664023	0.003756123671	31	6	-0.000555559371	Global Trend	
1200000	477.035070	1	0.657593483656	0.744973446053	-0.039292160990	0.000245410895	0.964292173729	N\A	0.014558023899	0.003501631413	39	9	-0.002436278775	Global Trend	
1250000	482.998840	1	0.764104358469	0.721880985804	-0.033973107620	0.000181719695	0.953941263886	N\A	0.018291181017	0.004384778179	45	11	0.000361018877	Global Trend	
1300000	475.129135	1	0.695626952195	0.767560335576	-0.046316471672	0.000051590114	0.951984156884	N\A	0.017643741196	0.004221061535	36	10	0.000187963116	Global Trend	
1350000	444.923298	1	0.762386955719	0.745721762442	-0.040323623270	0.000107676544	0.949960015251	N\A	0.018749169692	0.004483658388	31	5	0.000066293392	Global Trend	
1400000	453.769902	1	0.722771095318	0.728992128194	-0.040423827309	0.000138535034	0.941477768385	N\A	0.019779593350	0.004256962710	28	6	-0.000091978338	Global Trend	
1450000	465.076984	1	0.718794355757	0.729289412995	-0.036283676510	0.000070759682	0.948368449103	N\A	0.018324926909	0.004187519164	36	10	0.000371010970	Global Trend	
1500000	459.998069	1	0.660462224765	0.716499200963	-0.036053116769	0.000197032190	0.947455402393	N\A	0.018598493276	0.004426770633	29	9	-0.001415565231	Global Trend	
1550000	448.676318	1	0.784539294046	0.746806773424	-0.041918667703	0.000284099056	0.951825443791	N\A	0.017785253421	0.004361745392	32	7	-0.001714635953	Global Trend	
