Species_TTOL	MES	rest_of_brain
Anourosorex_squamipes	1.274	2.5613393948666
Atelerix_algirus	2.194	3.45937494595256
Blarina_brevicauda	1.274	2.56526016953364
Chrysochloris_asiatica	1.635	2.8124927980164
Chrysochloris_stuhlmanni	1.62	2.83356529108882
Crocidura_attenuata	1.176	2.29369840905507
Crocidura_flavescens	1.427	2.58207746336137
Crocidura_hildegardeae	1.173	2.30064063157812
Crocidura_denti	1.253	2.36479451634544
Crocidura_russula	1.137	2.26471093422473
Crocidura_suaveolens	1.137	2.25063238800831
Cryptotis_parvus	1.104	2.36248471949945
Desmana_moschata	2.34	3.55635615102067
Echinops_telfairi	1.643	2.74834886210844
Echinosorex_gymnura	2.557	3.7443098228403
Erinaceus_europaeus	2.18	3.47896517613914
Euroscaptor_micrura	1.653	2.88161190363473
Galemys_pyrenaicus	1.793	3.0873915761491
Geogale_aurita	1.104	2.08153227068238
Hemicentetes_semispinosus	1.662	2.87971667978679
Hemiechinus_auritus	2.037	3.22302557506589
Hylomys_suillus	1.924	3.04265473490601
Limnogale_mergulus	1.829	3.01708868959485
Microgale_dobsoni	1.575	2.70344201843958
Microgale_talazaci	1.658	2.85130596152045
Micropotamogale_lamottei	1.768	2.86835860528116
Micropotamogale_ruwenzorii	1.86	3.0239960099372
Myosorex_sclateri	1.279	2.52863027572128
Neomys_anomalus	1.204	2.4253493121911
Neomys_fodiens	1.283	2.4844525337294
Oryzorictes_hova	1.425	2.72555444984195
Parascalops_breweri	1.551	2.9176407015745
Potamogale_velox	2.415	3.58573403914356
Ruwenzorisorex_suncoides	1.398	2.54319142403048
Scalopus_aquaticus	1.761	3.09133564705225
Scutisorex_somereni	1.563	2.77648055519446
Setifer_setosus	1.884	3.13780347988815
Solenodon_paradoxus	2.32	3.63091110993978
Sorex_alpinus	1.097	2.39429748323639
Sorex_araneus	1.061	2.30376222600923
Sorex_cinereus	0.919	2.19894571979351
Sorex_fumeus	1.045	2.35557876339451
Sorex_hoyi	0.681	1.95473569737117
Sorex_minutus	0.806	2.03191366086741
Suncus_etruscus	0.672	1.76381793243763
Suncus_murinus	1.391	2.54992986543294
Sylvisorex_granti	1.057	2.19026550669
Suncus_megalura	1.152	2.24721153694055
Talpa_europaea	1.699	2.9763963558453
Tenrec_ecaudatus	2.125	3.35823796436117
Aepyprymnus_rufescens	2.811106	4.0785367274352
Antechinus_flavipes	1.729165	2.78774994860876
Antechinus_minimus	1.763428	2.86153430048589
Bettongia_gaimardi	2.796505	4.04663551459762
Bettongia_penicillata	2.726972	3.98021273823091
Burramys_parvus	1.802774	2.92464113314859
Cercartetus_nanus	1.669317	2.67775290596171
Dactylopsila_trivirgata	2.436163	3.76646475332113
Dasycercus_cristicauda	2.124178	3.16814378922862
Dasyuroides_byrnei	2.148603	3.1709361619783
Dasyurus_geoffroii	2.611405	3.70221513935253
Dasyurus_hallucatus	2.367169	3.45874340368618
Dendrolagus_lumholtzi	2.977037	4.32056441398414
Distoechurus_pennatus	1.839478	2.99668674974598
Dorcopsis	2.934902	4.18833195300086
Echymipera_kalubu	2.416141	3.52847956017657
Gymnobelideus_leadbeateri	2.144263	3.34769853893654
