Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-VR-001.txt
Log File Name:                   MES_d1_m7-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1595586061
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	543.339311	1	-0.509869473985	0.694720765545	0.203186902707	-0.022398360730	0.000132755609	0.968902721453	N\A	0.026842872954	0.024706162373	0.003411785823	38	24	
1050000	564.513331	1	-0.376051784691	0.625684492002	0.257785982960	-0.026577648637	0.000073621068	0.970457964513	N\A	0.026573084830	0.023432663761	0.003019580275	35	25	
1100000	542.836792	1	-0.492754250319	0.661787563948	0.239664267036	-0.023850824087	0.000074793785	0.971393115718	N\A	0.025201260044	0.023739843107	0.003121612915	51	21	
1150000	548.054397	1	-0.551942011716	0.730309169866	0.164502864999	-0.021436859726	0.000069342796	0.967924241618	N\A	0.024974115884	0.023032784066	0.003134544657	42	17	
1200000	550.198793	1	-0.464006920692	0.669500718056	0.224096973312	-0.021961027264	0.000060652318	0.972744541847	N\A	0.025091081591	0.022540602056	0.002856028193	43	30	
1250000	559.361593	1	-0.638200539793	0.741937100415	0.202799724668	-0.027335604794	0.000074246744	0.975304222672	N\A	0.027235237647	0.024284650982	0.002950346306	48	28	
1300000	565.569215	1	-0.419723242862	0.640971663000	0.233628261388	-0.023848778791	0.000051629081	0.974736704573	N\A	0.022971399138	0.020647263881	0.002741803873	49	27	
1350000	552.663883	1	-0.603360007909	0.772406159726	0.141155003735	-0.023663371919	0.000075277961	0.967993164537	N\A	0.025045415636	0.023818250545	0.003154890915	32	22	
1400000	563.479659	1	-0.440658679450	0.653253317035	0.238272260525	-0.025496863732	0.000065776639	0.981223729517	N\A	0.023179386201	0.019885669433	0.002701625151	58	31	
1450000	560.217297	1	-0.499753146569	0.685320095047	0.218598263425	-0.024491327606	0.000106653506	0.975162492625	N\A	0.025157719496	0.021901460245	0.002622293483	44	28	
1500000	548.596903	1	-0.349335162737	0.590922834803	0.279358299249	-0.025001715104	0.000050345475	0.970493794739	N\A	0.024106972362	0.022861491587	0.003028606767	45	29	
1550000	551.662122	1	-0.504333110034	0.687388109147	0.207002602300	-0.020761881071	0.000022133878	0.974094335220	N\A	0.025037903211	0.023188841480	0.002940202226	55	22	
1600000	551.445242	1	-0.496985679230	0.690244137423	0.185384977637	-0.017899054203	0.000023200333	0.972561360178	N\A	0.026000000665	0.023825183109	0.002983060774	30	26	
1650000	552.864442	1	-0.454886193999	0.708463489686	0.168872769622	-0.015441046072	0.000086971881	0.974768523442	N\A	0.027093156128	0.023861822770	0.003063385784	49	27	
1700000	543.269078	1	-0.460931699379	0.646516157130	0.240773076484	-0.023862947096	0.000103737794	0.967010423449	N\A	0.027442452221	0.025515302618	0.002862177251	42	22	
1750000	549.010861	1	-0.450021364041	0.672703811854	0.232754906534	-0.025648439167	0.000073692983	0.969852842554	N\A	0.025688220555	0.024149752681	0.003198720461	35	29	
1800000	569.608080	1	-0.538865448295	0.711868002918	0.182494862335	-0.022814558987	0.000095006575	0.973994552792	N\A	0.024815388161	0.021478029359	0.002827206981	36	22	
1850000	547.724829	1	-0.446756562097	0.645178654670	0.258031301787	-0.027854963161	0.000124458506	0.970911998293	N\A	0.025603554254	0.022723367621	0.003000053665	47	24	
1900000	570.175703	1	-0.527265515358	0.692833066988	0.199637591339	-0.021949874573	0.000062703890	0.972402647107	N\A	0.024494515375	0.022356680688	0.002592733106	57	27	
1950000	552.546091	1	-0.602405121294	0.731179129608	0.189420908752	-0.022813116399	0.000130303760	0.971551909415	N\A	0.026580040468	0.024955499381	0.003058172811	39	19	
2000000	562.066724	1	-0.430766233917	0.659343745941	0.223157354933	-0.022453593072	0.000068901213	0.972643578916	N\A	0.024514042462	0.022199542323	0.002896860799	38	12	
2050000	562.213104	1	-0.443290931334	0.688857549539	0.204186749288	-0.023978401513	0.000047956391	0.973858835750	N\A	0.024532054421	0.021778586420	0.002408381199	50	24	
2100000	560.684289	1	-0.510615481047	0.691834001931	0.212110042323	-0.025125227721	0.000102844110	0.977615621581	N\A	0.027611365800	0.023101001233	0.003011012106	46	27	
2150000	548.270098	1	-0.502790427991	0.691964140769	0.193223430635	-0.022437329201	0.000081224434	0.971762907920	N\A	0.021144764662	0.020324557026	0.002710337616	54	33	
2200000	558.715784	1	-0.607953428892	0.755888902729	0.151444755196	-0.022153896577	0.000070227686	0.973250499137	N\A	0.024033239943	0.021601945825	0.002789389104	44	32	
2250000	554.649697	1	-0.390252096563	0.625318003459	0.237754404006	-0.020493042884	0.000067701385	0.969286633802	N\A	0.025808943724	0.023662535803	0.003032478227	53	23	
2300000	566.139660	1	-0.481331397128	0.653972626518	0.256226315535	-0.026317794912	0.000075014084	0.983890295406	N\A	0.013269410406	0.012988657205	0.001845591646	48	26	
2350000	558.100614	1	-0.505355869947	0.687700432276	0.211225825398	-0.023811452357	0.000184332980	0.973747708260	N\A	0.025520381971	0.023031315403	0.002849078075	47	28	
2400000	561.936700	1	-0.513034632716	0.690198606873	0.208619948036	-0.022780048097	0.000058950154	0.970213222722	N\A	0.027975940050	0.024494646521	0.002795060623	47	31	
2450000	565.890955	1	-0.476421699362	0.659836120454	0.240806173404	-0.024656850344	0.000082350298	0.974451028039	N\A	0.025396535603	0.022805218525	0.002560955690	59	22	
2500000	557.154601	1	-0.542466416645	0.695108599037	0.202655579724	-0.021612803462	0.000115458782	0.972180364001	N\A	0.027244339975	0.024118844838	0.002981891153	33	27	
2550000	550.632864	1	-0.576893410916	0.742497319570	0.144792720134	-0.015532414672	0.000096840405	0.975893165393	N\A	0.027026025165	0.023405565558	0.003007209444	44	28	
2600000	551.479026	1	-0.629301861711	0.740812232671	0.184348757080	-0.024162098242	0.000108019358	0.970059828774	N\A	0.025073185660	0.023657855744	0.002892244179	49	35	
2650000	570.859786	1	-0.375580850942	0.615208393939	0.265760987376	-0.023713146510	0.000050755659	0.976312843087	N\A	0.026847038247	0.023323257901	0.002842606764	53	29	
2700000	575.024854	1	-0.577989134751	0.740375025752	0.162023880363	-0.020435120461	0.000111577308	0.974912284784	N\A	0.026111990881	0.023243585031	0.002873837137	45	26	
2750000	557.377097	1	-0.481496053788	0.684586875191	0.195058709399	-0.018268677131	0.000092275958	0.970363991227	N\A	0.029710348730	0.026605397547	0.002962001385	45	23	
2800000	556.411107	1	-0.549792039600	0.726915710288	0.170558676184	-0.021177985434	0.000069661905	0.973792751487	N\A	0.024525365376	0.022000004454	0.002791428672	41	30	
2850000	549.401203	1	-0.499585076978	0.672238841804	0.219599093782	-0.021307552707	0.000071507397	0.974577971456	N\A	0.025294126299	0.022646163233	0.002936557295	49	25	
2900000	540.687565	1	-0.480402515660	0.660073266306	0.253833503628	-0.031104515014	0.000117515617	0.969037570636	N\A	0.026237638704	0.023002453965	0.002902774800	52	25	
2950000	556.504426	1	-0.424370698772	0.669555816804	0.180751153581	-0.015790302059	0.000076285039	0.971122922991	N\A	0.026067216753	0.023162906764	0.002719164906	45	29	
3000000	548.603732	1	-0.461858785491	0.658342278131	0.233786248208	-0.024307186896	0.000116910949	0.982791466791	N\A	0.007254473101	0.012499242834	0.001939475527	49	31	
3050000	562.383500	1	-0.386500721241	0.633033197891	0.227570953614	-0.019881795402	0.000070017609	0.972626879372	N\A	0.026257435208	0.023048129227	0.002710576934	46	25	
3100000	553.692564	1	-0.483009347901	0.670311935027	0.209316459863	-0.018259317991	0.000073203465	0.970564910985	N\A	0.026756734918	0.023443644914	0.002957330972	54	19	
3150000	544.952776	1	-0.458199772633	0.669492712287	0.243512807615	-0.027610531105	0.000059021696	0.977407544872	N\A	0.025231771661	0.019737338090	0.002875251937	49	33	
3200000	561.963685	1	-0.486175514100	0.698278048958	0.189442478753	-0.023030794276	0.000058433694	0.974206145354	N\A	0.024155189137	0.021472372257	0.002826722154	56	23	
3250000	566.421840	1	-0.501242337022	0.667860516117	0.242702370105	-0.026186844842	0.000118741221	0.991274623164	N\A	0.025123144930	0.017185606785	0.002792657914	31	24	
3300000	562.550474	1	-0.603606996925	0.734843976936	0.159967412628	-0.017205698239	0.000113127219	0.972324578679	N\A	0.027226573501	0.024753972062	0.003227232419	46	19	
3350000	547.154936	1	-0.405543466740	0.637041749619	0.230686918328	-0.019427715796	0.000075852868	0.973057616208	N\A	0.031252414289	0.026594757411	0.003318688892	50	26	
3400000	566.363335	1	-0.465657839240	0.654778223832	0.234500472940	-0.023044494992	0.000143555272	0.971138043610	N\A	0.025911512875	0.023479183594	0.003013364839	34	21	
3450000	557.533314	1	-0.607982321859	0.731434534562	0.177541145508	-0.021291176598	0.000079329130	0.973467303499	N\A	0.026775101033	0.023421046986	0.002949697446	35	22	
3500000	558.582170	1	-0.458871672305	0.672254101441	0.212254770081	-0.021567584996	0.000148027029	0.972563656306	N\A	0.029127380923	0.025010205376	0.003193609091	45	22	
3550000	558.104376	1	-0.597096892858	0.727200599578	0.177811185959	-0.021980277979	0.000052048950	0.976884454305	N\A	0.022893202412	0.020277552029	0.002423465858	34	28	
3600000	555.864950	1	-0.526858631270	0.701254815166	0.179144215028	-0.015495389813	0.000062055374	0.970498013265	N\A	0.026801389170	0.023798859945	0.003048731364	46	21	
3650000	553.610123	1	-0.574013542785	0.737268869911	0.157907171097	-0.020310563977	0.000063764952	0.973832647735	N\A	0.023858095549	0.021852223907	0.002751405588	46	22	
