Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-glob-003.txt
Log File Name:                   MES_d1_m7-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1394259416
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	574.496038	1	-0.625388560638	0.711403723559	0.198589071363	-0.024037423028	0.000084216051	0.975922948889	N\A	0.024190846275	0.022578883454	0.002642543533	31	7	0.004072229963	Global Trend	
1050000	563.192422	1	-0.549418959112	0.717474073488	0.169243613604	-0.018284488590	0.000126552401	0.971337454560	N\A	0.024929615139	0.022715507655	0.002985643201	32	5	0.000797452519	Global Trend	
1100000	562.362036	1	-0.537596048523	0.694603933682	0.203014232418	-0.025132647883	0.000100512093	0.970204747549	N\A	0.026195394897	0.023349411675	0.002968192435	28	5	0.001341910768	Global Trend	
1150000	568.599002	1	-0.484147924050	0.668916479966	0.239394346449	-0.025142556454	0.000049519626	0.973145553845	N\A	0.024984411007	0.022625076214	0.002803588421	35	5	-0.000131307612	Global Trend	
1200000	559.698050	1	-0.684153073236	0.728554356802	0.174650844000	-0.020761850568	0.000216178246	0.972075499155	N\A	0.027358807204	0.024033404353	0.002923978455	47	3	0.006906725807	Global Trend	
1250000	554.296519	1	-0.457675029588	0.653219416517	0.265096353941	-0.031190686331	0.000058155170	0.970890443574	N\A	0.025575398624	0.023448169116	0.003037928306	33	4	-0.000498739146	Global Trend	
1300000	573.609273	1	-0.714974129855	0.769058493112	0.159451427171	-0.023548014458	0.000094243147	0.975351589861	N\A	0.022632488457	0.022400308211	0.002956131002	36	6	0.003994731078	Global Trend	
1350000	576.978340	1	-0.643398337278	0.695606199074	0.209575140195	-0.027150591720	0.000093570018	0.974222892081	N\A	0.022344895242	0.020633110177	0.002796791839	48	5	0.003157432620	Global Trend	
1400000	579.083659	1	-0.743678346621	0.697796455793	0.235355017940	-0.029529133966	0.000150291039	0.976153238110	N\A	0.021286396197	0.020351801508	0.002523452842	39	7	0.010789115179	Global Trend	
1450000	566.407580	1	-0.482861375827	0.697071495510	0.221519701946	-0.025760406806	0.000121152446	0.976137387987	N\A	0.024388588851	0.022339335146	0.002682508176	40	5	-0.005826669900	Global Trend	
