Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD
Anourosorex_squamipes	1.274	3.0789623596587	9.48000921219507	1.307
Atelerix_algirus	2.194	3.0789623596587	9.48000921219507	2.867
Blarina_brevicauda	1.274	3.0789623596587	9.48000921219507	1.267
Chrysochloris_asiatica	1.635	3.0789623596587	9.48000921219507	1.69
Chrysochloris_stuhlmanni	1.62	3.0789623596587	9.48000921219507	1.626
Crocidura_attenuata	1.176	3.0789623596587	9.48000921219507	0.968
Crocidura_flavescens	1.427	3.0789623596587	9.48000921219507	1.467
Crocidura_hildegardeae	1.173	3.0789623596587	9.48000921219507	0.996
Crocidura_denti	1.253	3.0789623596587	9.48000921219507	1.079
Crocidura_russula	1.137	3.0789623596587	9.48000921219507	1.049
Crocidura_suaveolens	1.137	3.0789623596587	9.48000921219507	1.013
Cryptotis_parvus	1.104	3.0789623596587	9.48000921219507	0.991226075692495
Desmana_moschata	2.34	3.0789623596587	9.48000921219507	2.646
Echinops_telfairi	1.643	3.0789623596587	9.48000921219507	1.942
Echinosorex_gymnura	2.557	3.0789623596587	9.48000921219507	2.921
Erinaceus_europaeus	2.18	3.0789623596587	9.48000921219507	2.929
Euroscaptor_micrura	1.653	3.0789623596587	9.48000921219507	1.617
Galemys_pyrenaicus	1.793	3.0789623596587	9.48000921219507	1.778
Geogale_aurita	1.104	3.0789623596587	9.48000921219507	1
Hemicentetes_semispinosus	1.662	3.0789623596587	9.48000921219507	2.062
Hemiechinus_auritus	2.037	3.0789623596587	9.48000921219507	2.371
Hylomys_suillus	1.924	3.0789623596587	9.48000921219507	1.756
Limnogale_mergulus	1.829	3.0789623596587	9.48000921219507	1.964
Microgale_dobsoni	1.575	3.0789623596587	9.48000921219507	1.504
Microgale_talazaci	1.658	3.0789623596587	9.48000921219507	1.683
Micropotamogale_lamottei	1.768	3.0789623596587	9.48000921219507	1.808
Micropotamogale_ruwenzorii	1.86	3.0789623596587	9.48000921219507	1.986
Myosorex_sclateri	1.279	3.0789623596587	9.48000921219507	1.23
Neomys_anomalus	1.204	3.0789623596587	9.48000921219507	1.037
Neomys_fodiens	1.283	3.0789623596587	9.48000921219507	1.182
Oryzorictes_hova	1.425	3.0789623596587	9.48000921219507	1.645
Parascalops_breweri	1.551	3.0789623596587	9.48000921219507	1.731
Potamogale_velox	2.415	3.0789623596587	9.48000921219507	2.791
Ruwenzorisorex_suncoides	1.398	3.0789623596587	9.48000921219507	1.262
Scalopus_aquaticus	1.761	3.0789623596587	9.48000921219507	2.061
Scutisorex_somereni	1.563	3.0789623596587	9.48000921219507	1.792
Setifer_setosus	1.884	3.0789623596587	9.48000921219507	2.373
Solenodon_paradoxus	2.32	3.0789623596587	9.48000921219507	2.826
Sorex_alpinus	1.097	3.0789623596587	9.48000921219507	1.033
Sorex_araneus	1.061	3.0789623596587	9.48000921219507	0.987
Sorex_cinereus	0.919	3.0789623596587	9.48000921219507	0.633
Sorex_fumeus	1.045	3.0789623596587	9.48000921219507	0.924
Sorex_hoyi	0.681	3.0789623596587	9.48000921219507	0.42
Sorex_minutus	0.806	3.0789623596587	9.48000921219507	0.633
Suncus_etruscus	0.672	3.0789623596587	9.48000921219507	0.762
Suncus_murinus	1.391	3.0789623596587	9.48000921219507	1.529
Sylvisorex_granti	1.057	3.0789623596587	9.48000921219507	0.591
Suncus_megalura	1.152	3.0789623596587	9.48000921219507	0.74
Talpa_europaea	1.699	3.0789623596587	9.48000921219507	1.908
Tenrec_ecaudatus	2.125	3.0789623596587	9.48000921219507	2.935
