Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m8-fab-006.txt
Log File Name:                   MES_d1_m8-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            710784935
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m8-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	587.336676	1	-0.998434781812	1.048831485335	-0.040223864951	0.042180462982	0.000102953729	0.978567934475	N\A	0.034406351705	0.004237115533	0.016063415816	35	3	
1050000	576.027223	1	-0.805956629763	0.938975991427	-0.032565371395	0.074978472902	0.000068948583	0.977224146804	N\A	0.034025991437	0.003991653525	0.015357697259	29	2	
1100000	596.498091	1	-0.958371717780	1.017799604798	-0.037394753226	0.045526384849	0.000059287403	0.980138425461	N\A	0.034527743109	0.004012814361	0.014468253258	32	4	
1150000	582.644568	1	-1.049271836830	1.034448989967	-0.031270668085	0.026867764378	0.000074953810	0.976481867999	N\A	0.040005759995	0.005092830751	0.018581932421	54	7	
1200000	601.616312	1	-1.044844548519	1.030142905332	-0.040150109590	0.058635813017	0.000012120108	0.980017945286	N\A	0.033700516243	0.003885953033	0.015186748040	29	6	
1250000	586.866039	1	-0.804466548397	0.916380462119	-0.027987030761	0.073582906887	0.000098488804	0.976353838918	N\A	0.037448019462	0.004553042366	0.016600354322	31	4	
1300000	594.613074	1	-1.119010405915	1.114178343796	-0.044803494344	0.015531170249	0.000096471493	0.982968668295	N\A	0.029643602079	0.004201564118	0.014037463438	32	5	
1350000	601.559173	1	-1.017261390040	1.037591673444	-0.041351450314	0.059872691724	0.000100512807	0.979868702893	N\A	0.034869865103	0.003878667614	0.015741222293	40	3	
1400000	566.497763	1	-0.861987648904	0.973571412872	-0.036204899855	0.070231544725	0.000060062239	0.976256331477	N\A	0.037755070484	0.004107667405	0.015924253940	38	2	
1450000	576.308123	1	-0.975057588951	1.090152994139	-0.044264961192	0.039406872728	0.000080261196	0.975569832081	N\A	0.036186917528	0.003759036986	0.015845714251	40	4	
1500000	592.433606	1	-1.007557326843	1.032381403922	-0.035593325072	0.034510789712	0.000084987878	0.980273136640	N\A	0.033134391225	0.004042847485	0.015203612561	38	4	
1550000	594.646757	1	-0.972899509182	1.013913091725	-0.042591560520	0.080720338229	0.000065126602	0.976020831976	N\A	0.036865358598	0.004182244829	0.016145653027	37	6	
1600000	605.522365	1	-0.973307091497	1.070093140961	-0.034883843700	0.011779971224	0.000048903595	0.985545256774	N\A	0.024720970896	0.003475824719	0.012732305531	39	6	
1650000	595.021594	1	-0.798934843470	1.043906079004	-0.036895515740	0.038157934230	0.000090109104	0.978543308575	N\A	0.033918866981	0.004263357713	0.015979922768	40	6	
1700000	600.250345	1	-1.015008401830	1.050900983143	-0.044027616228	0.064358178302	0.000066829752	0.979409160397	N\A	0.031376843461	0.003797205823	0.015121065092	35	5	
1750000	597.930554	1	-0.942122935425	1.015984827901	-0.041554923395	0.068831607138	0.000075458704	0.976738245155	N\A	0.035394407710	0.004076799678	0.016061954655	35	6	
1800000	594.756246	1	-1.086192051350	1.076645986743	-0.041637037628	0.025397949501	0.000096789342	0.980562923813	N\A	0.035487338295	0.003649541685	0.015262236434	41	6	
