Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-VR-006.txt
Log File Name:                   MES_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1203485681
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	568.980354	1	-1.039500797327	1.071192644049	-0.040388619168	0.015316140541	0.003952717925	0.000078563872	0.980166147129	N\A	0.043839002160	0.006454900122	0.021987941751	0.004171618752	45	25	
1050000	573.341741	1	-0.849368167168	0.954585264948	-0.033402645939	0.098247494949	-0.007070145025	0.000062839907	0.973049111666	N\A	0.055387437250	0.007101253636	0.028975359617	0.004960445130	52	27	
1100000	563.430848	1	-0.707980295279	0.847470006839	-0.024066387849	0.156125517903	-0.011689420958	0.000062407293	0.974374779644	N\A	0.063123660865	0.007663705813	0.032364103489	0.005358937421	46	28	
1150000	571.536511	1	-1.098634929786	1.097504756705	-0.050482608885	0.044309704074	0.005356397106	0.000068540187	0.976615352629	N\A	0.086004680558	0.011893790885	0.036831925120	0.006660680971	52	28	
1200000	556.089240	1	-0.870851321147	0.947776969519	-0.026569764047	0.080497162029	-0.007012469106	0.000067579983	0.972422181472	N\A	0.065252054146	0.007904325305	0.033335652477	0.005107508373	43	13	
1250000	567.540928	1	-0.607254229954	0.792872493990	-0.016935711832	0.152869761504	-0.011342130374	0.000084116088	0.976095699652	N\A	0.070442538080	0.008651910711	0.033305813905	0.005139984576	34	25	
1300000	566.329439	1	-1.081121047393	1.049459841183	-0.031705658108	0.024455311413	-0.003098093562	0.000071952468	0.975840448208	N\A	0.061425773778	0.007351928359	0.031084764233	0.004691264791	41	27	
1350000	589.493085	1	-1.149196047812	1.100888452086	-0.045072159805	0.019396243547	0.003666622849	0.000059825494	0.980470115206	N\A	0.053898116246	0.006945414125	0.027107007247	0.004655920441	36	27	
1400000	551.510545	1	-0.884609684885	0.985104925396	-0.036160210415	0.064045952198	-0.000191046114	0.000069981222	0.968044412048	N\A	0.071016583651	0.008855153526	0.036014273947	0.006114428729	41	15	
1450000	567.437351	1	-1.137143745529	1.140277168726	-0.048606909201	-0.005858828021	0.003844381851	0.000080196750	0.981318933965	N\A	0.048505994769	0.007442360495	0.022780541498	0.004533995802	44	31	
