Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-fab-005.txt
Log File Name:                   MES_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            740440788
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	585.199805	1	-0.921108690572	1.003514673945	-0.041668243448	0.087962647291	-0.001695125506	0.000069760856	0.974785322818	N\A	0.067347039581	0.009190668378	0.031007558428	0.005524468655	48	6	
1050000	578.532078	1	-0.947915271656	1.076722503611	-0.042567827186	0.014918482981	0.004375167968	0.000007675534	0.976961435500	N\A	0.063684098124	0.008077535303	0.031388796623	0.005194063045	34	8	
1100000	578.365822	1	-0.829245948260	0.964768592130	-0.036941351097	0.091266128125	-0.002192384395	0.000008334577	0.982241314428	N\A	0.052134020001	0.006899977853	0.029931908568	0.004893124656	51	7	
1150000	573.298851	1	-0.868430028337	0.967105645072	-0.034204862100	0.092047613267	-0.004508872953	0.000021523509	0.972682790660	N\A	0.069256800382	0.008958923104	0.033033104588	0.005418828268	31	4	
1200000	579.874604	1	-1.015229967933	1.058772885384	-0.038894005742	0.047156529540	-0.003081965221	0.000013819067	0.978807928307	N\A	0.061507332742	0.007407542018	0.031056802328	0.004887301241	48	4	
1250000	595.351384	1	-1.040419596487	1.075075448658	-0.046919231466	0.039613314659	0.004371965148	0.000149784226	0.979301961484	N\A	0.065654108973	0.008863824211	0.030759658347	0.005331621807	37	8	
1300000	572.917809	1	-0.713060854100	0.825738113279	-0.015991965790	0.135409772765	-0.012248914544	0.000060509796	0.973935272483	N\A	0.062804498611	0.007520122038	0.030924409850	0.004562725705	35	5	
1350000	566.011996	1	-1.090118730948	1.115983081885	-0.044637538242	0.008566105675	0.000145104236	0.000075512369	0.974053436806	N\A	0.067695843668	0.008763824195	0.032706675534	0.005497834399	32	5	
1400000	583.288936	1	-0.723022332763	0.839588452107	-0.016517895009	0.149159077372	-0.015009974605	0.000102930998	0.979784370796	N\A	0.059364744175	0.005519981112	0.033123048894	0.004009964128	42	6	
1450000	590.354547	1	-0.960403798495	1.019476827370	-0.035220451092	0.044640427187	-0.000971694771	0.000064368695	0.976324279813	N\A	0.065485830544	0.007955976152	0.033246586385	0.005416325443	32	6	
