Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-glob-003.txt
Log File Name:                   MES_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            407976748
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	588.730334	1	-0.933732232916	0.925176786048	-0.022953401073	0.116127378669	-0.011323500849	0.000055328390	0.992436478037	N\A	0.022143677317	0.002776220176	0.021008377340	0.003534031537	47	2	-0.020481420113	Global Trend	
1050000	558.216999	1	-0.854543059620	0.989707999590	-0.033028063697	0.040817346683	0.002900384320	0.000104166635	0.999936759174	N\A	0.024745477863	0.003168542819	0.026747026133	0.004406342544	35	2	0.592907142044	Global Trend	
1100000	566.764163	1	-0.987215849453	1.001507493150	-0.037741786241	0.088812431947	-0.002389035778	0.000076817888	0.980579458612	N\A	0.042090241894	0.005969256544	0.025947677676	0.004488748654	43	3	-0.002732838261	Global Trend	
1150000	583.453809	1	-0.942616381089	1.012281934641	-0.037224403905	0.036063317124	0.004669255199	0.000087954875	0.985356820163	N\A	0.040159354755	0.006194250057	0.021443608263	0.004248972642	41	2	-0.004059185785	Global Trend	
1200000	582.866160	1	-0.765260330593	0.915260802225	-0.028563355109	0.124193107980	-0.010721593269	0.000053889108	0.999996762383	N\A	0.019901382706	0.002478675063	0.021346238770	0.003232006939	40	3	0.930753109039	Global Trend	
1250000	596.313968	1	-0.900313119245	0.941223726200	-0.029435876942	0.091742017642	-0.003283823619	0.000068476207	0.999978851476	N\A	0.019545629133	0.002795692642	0.021299633867	0.003779263532	51	4	-0.507887238581	Global Trend	
1300000	577.712586	1	-0.851414426996	0.894790062691	-0.022613359492	0.144764224762	-0.016304243332	0.000118306717	0.976081748466	N\A	0.058154981297	0.006810297429	0.030962190682	0.004930803514	28	4	0.005960611883	Global Trend	
1350000	570.157498	1	-0.880783109773	0.988429389779	-0.039411955176	0.045942108625	0.006458492303	0.000084451035	0.996972415292	N\A	0.022896079706	0.002877899020	0.023708278760	0.003792011661	48	6	-0.048337654974	Global Trend	
1400000	577.525356	1	-0.858814909760	0.953905220641	-0.030365597681	0.079398978762	-0.002845396740	0.000058478072	0.999982112499	N\A	0.020975111266	0.002679341857	0.022646414498	0.003712532637	48	4	0.474333232597	Global Trend	
1450000	579.717476	1	-0.913030309942	0.956180936066	-0.032736456450	0.092784190746	-0.002990428776	0.000100744113	0.990740872376	N\A	0.023728372374	0.003138488953	0.022705188528	0.003903115530	38	3	-0.027987987849	Global Trend	
