Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-VR-001.txt
Log File Name:                   MOB_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1614660062
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	208.381110	1	0.222652843288	0.748387535710	0.390296338848	-0.560310978588	0.240831930136	0.081475927328	0.732362718261	-0.180532177117	-0.037739739863	-0.330261003185	-0.094330342828	-0.184574763084	0.001145284399	0.841022526782	N\A	0.106504923785	0.453202997632	0.439312204719	0.498823960345	0.438285330294	0.551357167165	0.112549030023	0.109872733722	0.124557588538	0.111972183605	0.111614274821	50	24	
1050000	197.572810	1	0.562925371184	0.538011074419	0.301747227600	-0.466190853424	0.541910868861	0.225531278785	0.449856677503	0.101225967286	0.136518484568	-0.159069629094	0.041897758517	-0.121540172432	0.001075744444	0.842937114913	N\A	0.125932607298	0.588515263724	0.575374807478	0.439109448793	0.393601458073	1.275879019806	0.132307131896	0.128120758129	0.139402883378	0.132422342225	0.132232627057	59	18	
1100000	184.358917	1	0.821854654715	0.495043432766	-0.393521782845	-1.328170168302	-0.796336367923	-0.232129789745	0.144718310646	0.106196510002	0.242369347558	-0.011932706198	0.090699438099	0.110578859692	0.000392053020	0.880385227557	N\A	0.078377958678	0.275688520548	0.251161752384	0.381553468740	0.257566646990	0.349323156136	0.085076159954	0.080818380681	0.101181474627	0.088260201468	0.087979145834	56	28	
1150000	197.876976	1	0.716088273085	0.592929952113	-0.072079386903	-0.969762557673	0.197845003107	-0.094031028080	0.324650854994	0.049409543598	0.133966152786	-0.076986077217	0.023187318352	-0.090067323249	0.000610541096	0.857149873197	N\A	0.084879980290	0.310120073350	0.287987803162	0.333113486207	0.283873018111	0.498020064962	0.094042261696	0.089886448904	0.099374811142	0.088256043175	0.092565900281	45	28	
1200000	205.235453	1	-0.163597802131	0.681524736116	0.968755032896	0.200609386072	1.098144235401	0.977517871217	0.987985319048	-0.091632717537	0.050223208977	-0.261072380566	-0.045931203038	-0.115092822179	0.000375656413	0.837451657216	N\A	0.098648331948	0.353083231849	0.336728204333	0.361649420945	0.341162582916	0.507798441154	0.103614208756	0.102358403219	0.108284687502	0.106859735569	0.107285866115	48	21	
1250000	186.080925	1	0.648718928760	0.695611996765	0.391432176322	-0.740640260693	0.066168320022	-0.027436272270	0.009630317372	-0.136659833544	0.005391593984	-0.167299766161	-0.099128674684	-0.141329797713	0.000440908887	0.826088091668	N\A	0.068001628642	0.279069157696	0.252570170658	0.314360883917	0.255562226592	0.495764029424	0.076521368757	0.074056831528	0.089395419945	0.080201879984	0.078871394450	45	24	
1300000	198.816562	1	0.536272114550	0.637886522522	-0.167885494697	-0.682538092357	0.271713648023	0.338755607178	-1.590779485971	0.115884522869	0.115858074416	-0.276927596736	-0.066980179528	-0.115176564266	0.000378011169	0.875636635423	N\A	0.120812011685	0.356232884948	0.338409676759	0.385022794343	0.341523924133	1.201778132878	0.125426908619	0.122564436489	0.134620138331	0.126375362414	0.126327884275	39	24	
1350000	193.728865	1	0.518695775177	0.465381546643	0.029356376393	-0.893158945666	0.177384921262	0.340497074433	0.713659291753	0.161697403230	0.268172841886	-0.028143969184	0.083069337775	0.011503448612	0.000431336415	0.839990192076	N\A	0.108007088526	0.329103106665	0.306262158418	0.338822533321	0.410324627733	0.400487035367	0.115302293384	0.110564643864	0.120844758120	0.117401540421	0.115217520026	41	33	
1400000	185.842004	1	0.863003334939	0.556079722512	-0.253352200937	-0.938828475158	-0.584178423429	-0.170237086059	0.100549366770	0.058421095571	0.212093042696	-0.112988967701	0.060621515391	0.001376262006	0.000567545266	0.921005586409	N\A	0.178909380451	0.431549654531	0.410365129231	0.445225053824	0.413720890391	0.509309515755	0.181471466150	0.179432371965	0.189374901025	0.183613609418	0.185876281061	40	25	
1450000	202.997678	1	0.713358003838	0.513808899979	0.433707498064	-0.702849276676	-0.047598648562	0.088270526551	0.136045223818	0.067639991199	0.249623014718	-0.181221579203	0.063891726326	-0.032703349555	0.000327088981	0.856186148522	N\A	0.104397501938	0.330018480347	0.280314707090	0.408317975840	0.287181811899	0.369736105087	0.110114313659	0.106839842248	0.118796219140	0.111657163614	0.112647373874	46	27	
