Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-bm-003.txt
Log File Name:                   MOB_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3151675371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	122.754379	1	0.869871513743	0.631182951375	-0.261246515656	-1.011162748241	-0.471422609105	-0.661227645505	0.207699539898	0.027173055122	0.119620107356	-0.206267091988	0.144259719271	-0.172450106872	0.001228507595	0.725379909801	N\A	0.107312210624	0.457974034545	0.414248853835	0.434214889776	0.420834994882	0.570606484460	0.119405157445	0.115233841033	0.119790836606	0.124487483859	0.113781653367	
1050000	125.034790	1	0.501836859017	0.645191567723	0.327337875503	-0.508437880694	-0.046807372517	-0.027380047857	0.542078053512	0.074087319715	0.036687417651	-0.243433015027	0.057121944123	-0.150563815162	0.001212327290	0.728996848483	N\A	0.106603179839	0.454948118973	0.411511838278	0.431345955082	0.418054463524	0.566836386340	0.118616226418	0.114472470632	0.118999357329	0.123664973001	0.113029877828	
1100000	126.518477	1	0.444247772904	0.611230583244	0.149587427434	-0.694440703098	-0.055785548252	-0.005677557443	0.725219841853	0.075795070726	0.109309285657	-0.208220014501	0.040142582931	-0.097015121299	0.001201914621	0.731324492284	N\A	0.106144385660	0.452990132831	0.409740791332	0.429489546918	0.416255258709	0.564396860286	0.118105731006	0.113979808938	0.118487213014	0.123132749011	0.112543424703	
1150000	121.117206	1	0.964414783063	0.653846998155	-0.526854093850	-0.809439851615	-0.704798378010	0.149682119503	-0.405108227839	0.059934984960	-0.000803712955	-0.157337865334	-0.007185859147	-0.119228057776	0.001240256910	0.722753472560	N\A	0.107824150768	0.460158830587	0.416225055951	0.436286341214	0.422842616628	0.573328601206	0.119974787807	0.115783571849	0.120362306877	0.125081359803	0.114324456424	
1200000	121.226187	1	0.479493093622	0.642260304180	0.001539442052	-0.910225872070	0.198738364521	0.549477544463	0.503003518744	0.034814098530	0.109160864680	-0.192883974540	0.048280732081	-0.211920033254	0.001239471322	0.722929082656	N\A	0.107789997033	0.460013073420	0.416093214985	0.436148145754	0.422708679523	0.573146997057	0.119936785309	0.115746896935	0.120324181630	0.125041739777	0.114288243691	
1250000	120.517924	1	0.552412778378	0.512301100907	-0.148649879531	-0.816139176982	-0.091917051403	-0.230890290156	0.671648554121	0.145065660716	0.142859951421	0.015367979195	0.246957426768	-0.083197605881	0.001244585746	0.721785806333	N\A	0.108012154756	0.460961171202	0.416950792904	0.437047057358	0.423579892070	0.574328266521	0.120183977849	0.115985454017	0.120572172603	0.125299453749	0.114523794454	
1300000	121.205770	1	0.073473101904	0.581666075831	0.228753101705	-0.226203940353	0.214873085293	0.367375555549	1.475899387737	0.094552744207	0.162698927270	-0.206658233780	0.040851979577	-0.134607455007	0.001239618461	0.722896191340	N\A	0.107796394763	0.460040376874	0.416117911635	0.436174032738	0.422733768825	0.573181015423	0.119943903995	0.115753766936	0.120331323310	0.125049161461	0.114295027116	
1350000	121.250286	1	0.546371886928	0.547011370248	-0.146138889333	-0.974321664872	-0.262968578049	-0.249213411799	0.561819216298	0.201286693753	0.238764454609	0.002927798895	0.204633231924	-0.056090963838	0.001239297669	0.722967900897	N\A	0.107782445961	0.459980847873	0.416064066180	0.436117592030	0.422679067281	0.573106846078	0.119928383312	0.115738788454	0.120315752495	0.125032980160	0.114280237395	
1400000	122.101105	1	0.009295542261	0.706712311950	0.872189126501	0.369488749869	0.645787646631	0.860490129347	0.837718384640	-0.015277354163	-0.044747963909	-0.186994042798	-0.118750962558	-0.223964837882	0.001233182468	0.724334890510	N\A	0.107516195786	0.458844577675	0.415036281651	0.435040270170	0.421634942010	0.571691125766	0.119632129569	0.115452884081	0.120018541851	0.124724116759	0.113997936015	
1450000	119.488515	1	1.350016340428	0.549774058566	-0.685376071154	-1.789011319061	-0.589376123600	-0.729815529919	-0.844173723036	0.145103704080	0.198866983397	-0.039917063409	0.089396274590	0.011014738959	0.001252056848	0.720115719362	N\A	0.108335861798	0.462342648847	0.418200373640	0.438356865596	0.424849339885	0.576049499698	0.120544163238	0.116333056639	0.120933521393	0.125674969964	0.114867016556	
1500000	124.833456	1	0.960220798696	0.623437047498	-0.230301760369	-1.054648428728	-0.411169228959	-0.063783192517	-0.356102811502	0.050115992107	0.106373607657	-0.195976339650	-0.020142194945	-0.056174064121	0.001213747206	0.728679441172	N\A	0.106665590049	0.455214465693	0.411752755481	0.431598484053	0.418299211069	0.567168237393	0.118685669595	0.114539487872	0.119069024808	0.123737371938	0.113096050510	
1550000	123.185796	1	0.685425686667	0.693837622140	0.465462236608	-0.774755012013	0.113489184437	0.384204511916	-0.055938439925	-0.038579001189	-0.000020690062	-0.258405680134	-0.041932684554	-0.204000801485	0.001225430067	0.726067859113	N\A	0.107177712718	0.457400040696	0.413729662186	0.433670674041	0.420307548607	0.569891324674	0.119255503052	0.115089414687	0.119640698829	0.124331459620	0.113639047097	
1600000	117.446212	1	0.135034984658	0.711308467596	0.302604064699	-0.553222007865	0.656168441618	0.852749409776	1.172326020150	0.022538191106	0.036605669205	-0.392766477328	-0.135489773295	-0.303409942171	0.001267012204	0.716772604957	N\A	0.108980957097	0.465095708308	0.420690584089	0.440967099628	0.427379142182	0.579479636479	0.121261953928	0.117025771929	0.121653630550	0.126423312488	0.115551002183	
1650000	124.834706	1	0.416741537656	0.607834211520	0.324157733379	-0.643233629976	-0.196687217091	0.128726190726	0.747074235527	0.113549598805	0.082580227836	-0.118675858805	0.086878470813	-0.131879520688	0.001213738389	0.728681412087	N\A	0.106665202630	0.455212812316	0.411751259960	0.431596916451	0.418297691771	0.567166177390	0.118685238519	0.114539071855	0.119068592339	0.123736922513	0.113095639736	
