Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-fab-006.txt
Log File Name:                   MOB_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1808417076
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	246.562335	1	0.460814182992	0.894100480299	0.460807749601	-0.486137187635	0.901724527936	0.205423859655	0.434552592205	-0.355548477061	-0.185666190743	-0.465651490853	-0.348440141512	-0.397432700638	0.000744079723	0.848561047033	N\A	0.055722165141	0.324764656689	0.293108299856	0.368212039265	0.295017387926	0.439345109619	0.070113452218	0.060667047141	0.081207061598	0.068340683052	0.065924161938	45	15	
1050000	250.070281	1	0.545511569390	0.628470546498	0.336354982294	-0.454161411792	-0.281210875089	0.348143523625	0.582298313242	0.078059084140	0.081897798024	-0.217377856494	-0.026118510932	-0.266785189107	0.001199294143	0.869476488526	N\A	0.105979232565	0.364582900593	0.351837484124	0.437519162401	0.358574863657	0.567011570402	0.110965252930	0.108346981667	0.121502651988	0.110941349173	0.114989429894	36	16	
1100000	235.873832	1	0.187925533322	0.438373017823	0.180278288459	-0.769608029128	-0.272020408599	-0.998370831295	-0.223654127128	0.182145734549	0.295738693783	0.027968666308	0.266780612524	0.161797505572	0.001605525021	0.860958280565	N\A	0.120721503201	0.413809611429	0.401709942143	0.452335648546	0.406508104542	0.646669781792	0.124381378076	0.123113387885	0.133809920257	0.128534177349	0.124268974198	35	19	
1150000	257.987869	1	0.434647431211	0.690769898392	0.059103373451	-0.587684366362	-0.296704753029	-0.701694988209	1.262732157589	-0.039114128258	0.018511518795	-0.375052949896	-0.104843420414	-0.115992278358	0.000722264585	0.910354268772	N\A	0.073274533922	0.310966242293	0.285270521794	0.326341942153	0.304340749152	0.427269577944	0.083347127391	0.076491459684	0.084456824274	0.085187504640	0.074663950491	40	25	
1200000	220.001557	1	-0.126490485946	0.877306282922	0.696255097307	-0.149749140349	0.884881482679	1.024572331596	0.906045641106	-0.322123195967	-0.190420858053	-0.427398176470	-0.237029606264	-0.409217700778	0.001467902053	0.879438858148	N\A	0.125131797170	0.404990101739	0.396000172458	0.504158145427	0.399667948207	0.627835624362	0.129078980798	0.127127313171	0.144371521954	0.129420306796	0.130977560741	40	9	
1250000	244.212638	1	0.661056703174	0.588853504552	0.331171541036	-0.478609497792	-0.098278320974	0.047917036225	0.212693327378	0.041016971521	0.185941063001	-0.092142094165	0.087532887684	-0.030635950117	0.000876795263	0.875604357957	N\A	0.078855855250	0.310564710661	0.298925137743	0.379166067604	0.312862243757	0.470182829225	0.085637839985	0.081762564239	0.097468264859	0.092319011142	0.083981873743	44	14	
1300000	247.785986	1	0.789090469751	0.690057567132	0.320082506896	-0.432019852028	0.586766869319	0.281247456180	-0.679739930078	-0.017939828691	-0.001712575473	-0.267104958981	-0.037673239685	-0.207000895333	0.001378699722	0.861708713027	N\A	0.096701662329	0.310808892934	0.294522398999	0.370336892946	0.300968320729	0.524670443369	0.102311780336	0.099394169445	0.111527639281	0.104274989351	0.104464695974	32	15	
1350000	240.093925	1	0.102472359910	0.755637065473	0.355764124495	-0.352278413893	0.194342390749	0.566267277511	0.761850667801	-0.145432573033	-0.020529364050	-0.318904669110	-0.178765758687	-0.174936229889	0.001195685862	0.852325215737	N\A	0.097674441427	0.365056915508	0.351639983199	0.432525405680	0.359630534122	0.551087735365	0.103341402288	0.101074590550	0.116527435385	0.104432528806	0.102573913712	31	17	
1400000	234.680332	1	0.912897135454	0.503668605507	-0.627579729061	-1.570443310600	-1.509975379975	-1.339255036933	-0.411636123374	0.065626678437	0.244550747787	-0.025722022260	0.127633486487	0.041382202321	0.000971468147	0.868769667429	N\A	0.096652322066	0.338734479828	0.328034320405	0.391768852870	0.338189367884	0.513832172045	0.101180640760	0.099402860072	0.107508003761	0.102567113206	0.104200374307	32	22	
1450000	251.362205	1	0.912086346745	0.477390330664	-1.173569975109	-2.045994533832	-0.732629763142	-1.163093711424	-0.287856159884	0.108430295092	0.240349354835	0.145436301193	0.126045993934	0.030725513269	0.000544360951	0.872631812609	N\A	0.141004063900	0.481234234038	0.467829658576	0.486687121850	0.470159254330	0.563523692842	0.144682860967	0.142825925118	0.148903493240	0.144770399228	0.144868785809	44	18	
1500000	253.695844	1	0.301630425860	0.847842071979	-0.385069530787	-0.948734088975	0.134313435361	0.022874487459	0.062478700628	-0.208934197742	-0.136215615775	-0.380814669635	-0.257924332628	-0.329179714767	0.000265318676	0.870407540056	N\A	0.051206747727	0.221369138308	0.195100852409	0.231847691420	0.199919158596	0.412944958106	0.062803273389	0.056574296210	0.063756736964	0.061115809997	0.066763435766	33	22	
1550000	243.416210	1	0.769226367995	0.666474189856	-0.670196799841	-1.469743260889	-0.644635849363	-0.794586176288	-0.491864437469	-0.001250853822	0.079636233854	-0.222844615756	-0.050036897577	-0.162873400110	0.000350439453	0.857221995988	N\A	0.064451295118	0.252572822314	0.228365092664	0.257989049424	0.233138295870	0.452992559706	0.072693790765	0.069562300612	0.079001543757	0.073912210073	0.074576664800	27	15	
1600000	238.874955	1	0.231056424135	0.804784606627	-0.388374429636	-1.004352942035	-0.277552189504	-0.145334272318	0.140045615577	-0.233705932553	-0.126885035197	-0.276095153871	-0.225684275307	-0.254593937012	0.000466746389	0.845061623799	N\A	0.077522235196	0.293647163985	0.263869850820	0.289575443374	0.269038038661	0.404401320669	0.086669211105	0.082021288585	0.089603580428	0.086731086770	0.083651748534	35	19	
1650000	239.726419	1	0.129578453305	0.881542744039	0.934729100807	-0.104697203235	0.067764233897	0.715469556176	0.944238551929	-0.243444453120	-0.169559562620	-0.403867479203	-0.276357587524	-0.464772911039	0.000621449715	0.860463027345	N\A	0.117564623613	0.321048616540	0.303265213153	0.320211185357	0.309713368388	0.415309304367	0.121134616820	0.119789357923	0.125645967357	0.124697908612	0.123106418984	45	15	
1700000	246.461731	1	0.623694115384	0.680615613243	0.025988841265	-0.778249600195	0.058315963248	0.214694536354	0.274180835976	-0.017271929168	0.094622102024	-0.276653868861	-0.100222830227	-0.200122652611	0.000795248221	0.873811203456	N\A	0.063563374814	0.295968437997	0.278536617788	0.324366669129	0.307693028566	0.568783213238	0.071979439735	0.066889102364	0.077394513850	0.080700028626	0.081401261119	32	19	
