Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-glob-003.txt
Log File Name:                   MOB_d1_m2-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4130095502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	201.510349	1	-2.854873532050	5.009232889541	3.733623578339	2.981554490831	4.327465798811	3.823504477675	3.115912312514	-4.370904836633	-4.264665103819	-4.572100051053	-4.398763223160	-4.429932916183	0.001602386514	0.944324201265	N\A	1.450829461075	1.171116492974	1.169404434719	1.197746862872	1.171596590525	1.222842525011	1.451199069515	1.451009662231	1.451453510337	1.451062303223	1.450841740027	39	11	-0.007293675451	Global Trend	
1050000	210.755127	1	-3.003707520084	4.950547586813	3.612938540750	3.019657011848	3.476792404489	3.585917553178	4.121482608979	-4.350256188716	-4.276776266130	-4.467881384644	-4.268167706555	-4.397800954496	0.001066575266	0.998936887182	N\A	0.942153527983	0.763974474923	0.760879480538	0.792761436006	0.764074158127	0.833457398671	0.942811439190	0.942362592614	0.942826882803	0.942814717303	0.942725391500	48	15	0.134674804593	Global Trend	
1100000	208.026743	1	-2.880567741874	4.978369811265	3.543756813261	2.683377648943	3.985117036440	3.508960871318	4.295113543590	-4.334414510333	-4.293534130422	-4.574354682722	-4.308402943333	-4.507448964353	0.001358332907	0.981667166056	N\A	0.951695859285	0.772021832089	0.769531356163	0.807660658648	0.773963943772	0.860290878192	0.952113541442	0.952044201673	0.952750296290	0.952531559669	0.952317834165	37	16	-0.042418133335	Global Trend	
1150000	217.014628	1	-2.381195844729	4.811584769754	3.549279525025	2.859931914270	3.230555798247	3.380380612500	4.330199886423	-4.131026301437	-4.083320550695	-4.261190274508	-4.197296679159	-4.241741749823	0.002326121978	0.921934125850	N\A	0.661233390693	0.545582295542	0.538197786448	0.632229488694	0.546651296361	0.787817361626	0.662138750459	0.661469014574	0.664088431108	0.662298701804	0.664423195601	47	18	0.024576670562	Global Trend	
1200000	207.299803	1	-2.831666721849	4.626005727860	3.305034254068	2.649004092764	3.588493187689	3.481983646375	3.650122973494	-3.980663084585	-3.932754423056	-4.184321166636	-3.983813196498	-4.164225121041	0.001243080615	0.919884689764	N\A	0.711184769068	0.589443034619	0.583514732338	0.613401235351	0.589573219526	0.688362651903	0.712452528051	0.711562736108	0.712111054544	0.712472558839	0.711862246925	36	22	0.016689663219	Global Trend	
1250000	215.161326	1	-2.577409047353	4.534010742132	3.151811541091	2.650676430763	3.328838277594	3.301371659667	3.777790538112	-3.847589218041	-3.874352966905	-4.088007089715	-3.855094598699	-4.076192109128	0.001039487887	0.999757660648	N\A	0.960564678836	0.774631430536	0.772847359728	0.818037177597	0.775046413522	0.840927799677	0.960397433507	0.961101821897	0.961249711922	0.961354199358	0.961878663077	39	25	0.307722455815	Global Trend	
1300000	204.109490	1	-2.334489903566	4.348478457507	3.269229137620	2.465285266853	3.499457773735	3.488224451787	2.936636786860	-3.802578143688	-3.616984943356	-3.912409392101	-3.792021561232	-3.883230135526	0.001647311347	0.999838322607	N\A	1.149168118388	0.935302937619	0.930179756804	0.961009402425	0.935892746332	1.016747083058	1.149718893428	1.149305778670	1.149439889995	1.149741032640	1.150127113900	27	19	-0.447335898215	Global Trend	
1350000	204.270628	1	-3.014288461114	4.497125397021	3.211990865030	2.357858183024	3.195195146338	3.301891000279	3.795983576929	-3.808890311710	-3.723148001961	-4.006476100336	-3.905127452752	-3.957427231647	0.000629359398	0.966998586009	N\A	0.920698471241	0.745777717940	0.741965713320	0.763475158374	0.751248547929	0.784465407449	0.921332931468	0.921010754404	0.921403126298	0.922226678589	0.920845416410	38	15	-0.012676605859	Global Trend	
1400000	214.598082	1	-2.449699844192	4.482554836345	3.546517765903	2.659525728922	3.047652447948	3.208727941942	3.154356384089	-3.806078220740	-3.743367499488	-3.952988093648	-3.851672892592	-3.876084791897	0.000465158188	0.895053785590	N\A	0.776591908297	0.628727625175	0.624025264491	0.652398392517	0.627156876813	0.661272943827	0.777446773634	0.776898196276	0.777800601729	0.777211038425	0.776276465634	36	22	-0.003554579533	Global Trend	
1450000	213.209202	1	-2.499558496766	4.293182005020	2.983718900379	2.290781518816	3.030117361128	3.341631655079	3.426994061540	-3.677951731160	-3.591727110982	-3.678637036455	-3.703313508192	-3.717835916364	0.000331073222	0.999665255365	N\A	0.686704380848	0.561403936513	0.557557920628	0.584440042701	0.562650610165	0.596331371441	0.687131914736	0.687139344330	0.688275354508	0.687235244436	0.688507170320	37	23	-0.092231083129	Global Trend	
