Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m4-bm-005.txt
Log File Name:                   MOB_d1_m4-bm-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3867887346
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m4-bm-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	111.451165	1	-0.876205924058	0.831183580635	0.001311952459	0.706726678757	N\A	0.030580325168	
1050000	111.026426	1	-0.850191364693	0.823324300925	0.001315196217	0.706001570210	N\A	0.030618106248	
1100000	112.601639	1	-1.025273089422	0.876218383329	0.001303206358	0.708681778583	N\A	0.030478223202	
1150000	110.363897	1	-0.815773921898	0.812926419261	0.001320272005	0.704866930765	N\A	0.030677132170	
1200000	112.600137	1	-1.022148940451	0.875274544140	0.001303217735	0.708679235392	N\A	0.030478356238	
1250000	112.548271	1	-0.995627934759	0.867262261517	0.001303610773	0.708591375820	N\A	0.030482951883	
1300000	112.404349	1	-0.965474381018	0.858152546847	0.001304702033	0.708347435929	N\A	0.030495707944	
1350000	111.587725	1	-0.885556331582	0.834008439865	0.001310911243	0.706959431652	N\A	0.030568187903	
1400000	112.115692	1	-1.127479397733	0.907096014346	0.001306893477	0.707857561414	N\A	0.030521308272	
1450000	112.581353	1	-1.048992557443	0.883384291124	0.001303360067	0.708647418500	N\A	0.030480020555	
1500000	112.601798	1	-1.025806242996	0.876379454789	0.001303205151	0.708682048236	N\A	0.030478209096	
1550000	110.130959	1	-1.252179025689	0.944769120474	0.001322061253	0.704466962917	N\A	0.030697912140	
1600000	111.485576	1	-1.178571889116	0.922531608515	0.001311690015	0.706785345222	N\A	0.030577266367	
1650000	112.176497	1	-1.121081611956	0.905163174076	0.001306431546	0.707960821286	N\A	0.030515913806	
