Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m5-bm-006.txt
Log File Name:                   MOB_d1_m5-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3405629941
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m5-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	140.564210	1	-2.222716405170	1.612540114633	-0.107836879585	0.001107665410	0.752392922789	N\A	0.113883112460	0.016585634362	
1050000	139.515603	1	-2.816307915908	1.966517649309	-0.158118122430	0.001114438978	0.750878762170	N\A	0.114230789328	0.016636269098	
1100000	138.751217	1	-2.887927978366	2.010962121755	-0.164684381503	0.001119402683	0.749769177612	N\A	0.114484898331	0.016673276859	
1150000	138.850657	1	-2.866946194059	2.021887594050	-0.169654805699	0.001118755700	0.749913803994	N\A	0.114451809022	0.016668457820	
1200000	141.436484	1	-2.341161093593	1.731028518984	-0.131647803794	0.001102062262	0.753645448235	N\A	0.113594707249	0.016543631792	
1250000	141.357697	1	-2.276335117241	1.691187735338	-0.125816017643	0.001102567189	0.753532577204	N\A	0.113620726828	0.016547421214	
1300000	139.550902	1	-2.797251821973	1.947950852176	-0.154430172106	0.001114210292	0.750929882635	N\A	0.114219068467	0.016634562103	
1350000	140.954523	1	-2.263672008356	1.640602258350	-0.112353776726	0.001105154676	0.752954171259	N\A	0.113753970385	0.016566826452	
1400000	141.145051	1	-2.333290309004	1.735080533109	-0.133498973834	0.001103931155	0.753227676769	N\A	0.113690984190	0.016557653310	
1450000	137.577552	1	-2.571174206229	1.765523807126	-0.121572917442	0.001127067197	0.748055855279	N\A	0.114876166917	0.016730260178	
1500000	141.348710	1	-2.568946459607	1.829049183933	-0.140055761577	0.001102624801	0.753519698645	N\A	0.113623695277	0.016547853531	
1550000	138.664664	1	-2.644833174145	1.940015866084	-0.165402787089	0.001119966122	0.749643226706	N\A	0.114513707057	0.016677472486	
1600000	140.272253	1	-2.072879958695	1.568281406712	-0.108127229520	0.001109547186	0.751972271345	N\A	0.113979807529	0.016599716775	
