Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m6-glob-003.txt
Log File Name:                   MOB_d1_m6-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2584530755
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m6-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	310.690574	1	-0.894354672650	0.952087765232	0.066463939165	0.000210004451	0.987331877748	N\A	0.028886437353	0.026522609312	44	21	0.023426364405	Global Trend	
1050000	318.320649	1	-0.672108890869	0.949463917860	0.053029549182	0.000755001348	0.999758673527	N\A	0.022796953481	0.022705573527	47	21	0.768553686237	Global Trend	
1100000	338.192444	1	-1.458546292386	0.986335949352	0.008299379516	0.003703281736	0.970286618305	N\A	0.033432191797	0.027788618688	42	29	0.218332942480	Global Trend	
1150000	315.805765	1	-0.624912755280	0.830843805003	0.137316724457	0.000302737896	0.989222919676	N\A	0.029718915117	0.027381070818	42	24	-0.040358470153	Global Trend	
1200000	306.107791	1	-0.393358954152	0.715478969532	0.165186673717	0.000268109934	0.946959321512	N\A	0.041303090245	0.029159157248	41	21	-0.009131682495	Global Trend	
1250000	310.052100	1	-0.918636436555	0.770045654375	0.155706910988	0.000271531427	0.974412196042	N\A	0.016686979496	0.010951944872	38	25	-0.002953318687	Global Trend	
1300000	326.678694	1	-0.885520240634	0.734520270408	0.154890792380	0.000373990770	0.951079941318	N\A	0.035739265447	0.025768311503	47	26	-0.017623406552	Global Trend	
1350000	285.983764	1	-0.573023455362	0.896164067298	0.081408715725	0.001319016351	0.986117149467	N\A	0.027083438745	0.024659266453	31	17	-0.153850719636	Global Trend	
1400000	299.207803	1	-1.002092578422	0.967186799398	0.035620234941	0.000773326606	0.998684727883	N\A	0.025670379714	0.025537766283	42	23	0.270797508825	Global Trend	
1450000	309.549107	1	-0.591206157359	0.957481059685	0.025090722513	0.000740581948	0.995834786730	N\A	0.028033375412	0.027175389556	35	24	-0.200781278950	Global Trend	
1500000	313.681761	1	-0.847564512134	0.859180249533	0.100823802491	0.000665737434	0.951888653146	N\A	0.035033245930	0.025592499463	29	23	-0.022635015031	Global Trend	
1550000	306.221806	1	-0.955922579016	0.974263901011	0.031057697062	0.000204492931	0.999277492858	N\A	0.025862971167	0.025780227898	42	18	0.093285962462	Global Trend	
1600000	303.520016	1	-0.934389278029	0.943703075561	0.072480707818	0.000371018409	0.994520154518	N\A	0.028023168299	0.027062982939	39	18	0.064750328251	Global Trend	
1650000	294.615442	1	-0.869807033947	0.942315734498	0.056699222237	0.000351308929	0.999977263525	N\A	0.022549387863	0.022538630767	50	17	-1.063984394500	Global Trend	
1700000	289.639881	1	-0.502240209490	0.746416068422	0.175330330732	0.000236687495	0.974758495849	N\A	0.024096180725	0.019098146158	49	19	-0.013907618451	Global Trend	
1750000	310.110849	1	-0.518876730436	0.781047136793	0.144541471951	0.000243647487	0.969887765911	N\A	0.029646594253	0.024004146093	57	17	-0.015735120910	Global Trend	
1800000	279.742479	1	-0.892205294264	0.926014051837	0.067087812196	0.000233948979	0.999510363914	N\A	0.028660806089	0.028532128543	33	18	-0.135761293087	Global Trend	
1850000	309.273263	1	-0.106707499818	0.749357905917	0.148912409269	0.000480647022	0.968904447158	N\A	0.032886432485	0.028016969167	50	17	-0.040161960244	Global Trend	
1900000	292.486211	1	-0.739200950916	0.918449675240	0.064559445070	0.001049934790	0.990084204930	N\A	0.024057931088	0.022369855909	38	15	-0.144956312421	Global Trend	
1950000	307.916968	1	-0.929087940275	0.895472974418	0.056537197703	0.000613837087	0.922553714611	N\A	0.047492858857	0.034826671292	41	26	-0.012758404530	Global Trend	
2000000	298.102680	1	-0.916796586766	0.903928328769	0.086834216967	0.000295279048	0.997478140523	N\A	0.024853225257	0.024482719030	38	21	-0.072166302997	Global Trend	
2050000	302.051649	1	-0.944868555950	0.889119735887	0.073759686564	0.000316797203	0.936434399335	N\A	0.041909297415	0.029780980941	36	23	-0.003839949808	Global Trend	
2100000	308.042010	1	-0.831283619778	0.814928470844	0.127008462870	0.000298498449	0.943804358200	N\A	0.037197326103	0.026774332565	42	28	-0.008303041663	Global Trend	
2150000	297.098955	1	-1.056559811171	1.019207340562	0.003036971617	0.000629627608	0.963053367767	N\A	0.036163586556	0.030525078700	33	23	0.043070848755	Global Trend	
2200000	312.498339	1	-1.180993763377	0.993245911625	0.022503718918	0.000369217237	0.948306802596	N\A	0.038253182312	0.027096563320	44	24	-0.006584474634	Global Trend	
2250000	314.019283	1	-0.615489666396	0.933816166720	0.061037998050	0.000822758863	0.999556420991	N\A	0.025297975996	0.025201708770	47	21	-0.709414555182	Global Trend	
2300000	300.314435	1	-0.766560043869	0.937728367679	0.059158506394	0.001298170665	0.999606815353	N\A	0.023093475123	0.023030792546	37	20	-1.055119290135	Global Trend	
2350000	296.717260	1	-0.925061684128	0.800529080299	0.157842228339	0.000802097014	0.939048214019	N\A	0.045453166847	0.031835065122	55	22	0.013780125819	Global Trend	
2400000	330.352389	1	-1.009074519796	1.024568681975	-0.009142679534	0.000672039787	0.989572754113	N\A	0.028126598069	0.026215420886	35	29	0.100783091622	Global Trend	
2450000	302.711203	1	-0.840316983425	0.843966482897	0.135731784645	0.000316104133	0.983109890372	N\A	0.030439896394	0.027296547260	39	20	-0.032337567819	Global Trend	
2500000	297.757642	1	-0.961238298632	0.940562279505	0.058297774926	0.000484396864	0.999780609322	N\A	0.026035084284	0.026015022375	34	22	-0.588699332497	Global Trend	
2550000	310.986465	1	-0.843237338167	0.905526251332	0.093263109659	0.000153188195	0.999930667956	N\A	0.025611841055	0.025601859502	48	27	-0.271359982586	Global Trend	
2600000	325.199297	1	-0.482430539889	0.877079779676	0.080928303662	0.000346476681	0.987803701123	N\A	0.029999561936	0.028174971999	39	22	-0.061790208453	Global Trend	
2650000	314.533148	1	-0.933686578201	0.963235938830	0.037311951637	0.000429689728	0.999935719984	N\A	0.027011540690	0.027047606450	41	22	0.781607698012	Global Trend	
2700000	319.257990	1	-0.930762497913	0.922593077300	0.074661931937	0.000182843233	0.999330905009	N\A	0.025758316839	0.025540412930	49	22	-0.092147862297	Global Trend	
2750000	298.240888	1	-0.425636877706	0.745811908280	0.173130724494	0.000243114841	0.950534960914	N\A	0.040166038038	0.031760645629	47	17	-0.011565086846	Global Trend	
2800000	290.693285	1	-0.453670313010	0.705175086565	0.175523970984	0.000384959480	0.922471758531	N\A	0.053779754074	0.038224068693	45	16	-0.008066816929	Global Trend	
2850000	291.202343	1	-0.902357843861	0.901187405367	0.075873853514	0.000192160566	0.980445431501	N\A	0.033440985586	0.029721705373	43	17	-0.013740216703	Global Trend	
2900000	284.977667	1	-0.782134409097	0.812769887982	0.126791575363	0.000331487659	0.926488900136	N\A	0.042033361732	0.029025869185	38	19	-0.003187952988	Global Trend	
2950000	323.144077	1	-0.917659807807	0.918167686529	0.075743437180	0.000145128448	0.999041902790	N\A	0.021428395863	0.021157437670	46	18	-0.070399988878	Global Trend	
3000000	311.568159	1	-0.864551457138	0.887133781032	0.099414442241	0.000268031957	0.995428381499	N\A	0.027199013393	0.026263148283	39	22	-0.064589050616	Global Trend	
3050000	320.057882	1	-0.978986315440	0.930234275073	0.064474244130	0.000171879944	0.998472514265	N\A	0.022979972948	0.022603580264	37	25	-0.055351699493	Global Trend	
3100000	314.723044	1	-0.914913278969	0.943769794131	0.049929533796	0.000260392500	0.997924278644	N\A	0.028807591467	0.028497203569	40	24	-0.102402973320	Global Trend	
3150000	271.621333	1	-0.914446122379	0.872050594816	0.125292605850	0.000206389578	0.998642487766	N\A	0.026271702612	0.026017836093	49	16	-0.063481498149	Global Trend	
3200000	300.560014	1	-0.889790266099	0.927662009895	0.067867358214	0.000245196721	0.999333185174	N\A	0.029662616369	0.029483336151	50	17	-0.150118974691	Global Trend	
3250000	309.026366	1	-1.004081720887	0.974751511941	0.025576095048	0.000107272463	0.999996885728	N\A	0.024458859128	0.024459537331	56	21	0.831864283905	Global Trend	
3300000	316.163333	1	-0.960980137937	0.963316826175	0.035255329683	0.000233447322	0.999823148129	N\A	0.024687112303	0.024650864511	36	28	-0.262262534580	Global Trend	
3350000	319.783218	1	-0.763054222604	0.800482614926	0.164124586714	0.000211340050	0.955368528178	N\A	0.023394263576	0.018011590895	44	19	-0.010611194188	Global Trend	
3400000	284.164677	1	-0.774689353710	0.839618420789	0.104927483986	0.000299455704	0.922789229050	N\A	0.040172262467	0.027476121432	37	15	-0.001612104308	Global Trend	
3450000	323.948235	1	-0.750951705890	0.908825697233	0.089076705350	0.000249843053	0.999928033661	N\A	0.024859524322	0.024813204036	41	22	-0.503648455745	Global Trend	
3500000	316.124953	1	-0.939408638324	0.888388075885	0.114421953276	0.000147380468	0.999479533483	N\A	0.023081891183	0.022955955227	46	23	0.100004680120	Global Trend	
3550000	299.793296	1	-0.591149896948	0.738413573900	0.182605832820	0.000277389526	0.956229913907	N\A	0.033175292339	0.022680419098	49	20	-0.008765236254	Global Trend	
3600000	301.016167	1	-0.640885679407	0.871450202501	0.068219484690	0.000156399854	0.986831950233	N\A	0.030219782062	0.027909467627	57	21	-0.018080689856	Global Trend	
3650000	303.736007	1	-0.847749950447	0.913560493459	0.066003478512	0.000255963619	0.990193598128	N\A	0.028287117708	0.026105699492	62	16	-0.030820578193	Global Trend	
3700000	337.510490	1	-0.609094637074	0.788308441180	0.139106049513	0.000499912456	0.950802687681	N\A	0.038800580131	0.026305464746	37	26	-0.010711938726	Global Trend	
3750000	309.904185	1	-0.637232364896	0.773020746097	0.157163104876	0.000854595109	0.974616835115	N\A	0.018653795186	0.012086254759	39	28	-0.018422913628	Global Trend	
3800000	340.715561	1	-0.827853067390	0.859291139562	0.110806763557	0.000151433410	0.978027449959	N\A	0.028300344180	0.023826824936	40	26	-0.013378909870	Global Trend	
