Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m7-fab-003.txt
Log File Name:                   MOB_d1_m7-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1673318724
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m7-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	319.993712	1	-0.854006565879	0.784890544317	0.232920515150	-0.025933462706	0.000301078786	0.933307682622	N\A	0.048570372481	0.039129562464	0.005939432178	40	26	
1050000	337.177063	1	-0.747068096763	0.743823288486	0.296339842063	-0.031092911569	0.000265621254	0.930378764544	N\A	0.048358010343	0.044518341040	0.006304938839	33	29	
1100000	333.912191	1	-1.057428973865	0.904832857183	0.206690294883	-0.038078574227	0.000228598919	0.943726303270	N\A	0.031143487558	0.026553979234	0.005919139783	50	22	
1150000	331.208711	1	-0.865372177593	0.809215302913	0.289262889839	-0.043219531450	0.000381592339	0.935921850480	N\A	0.042091460371	0.032561054902	0.005644104492	39	24	
1200000	306.643317	1	-0.963288829312	0.794112015232	0.264471021317	-0.030846723040	0.000269149080	0.921755491905	N\A	0.053134464924	0.048887176325	0.006749651154	39	21	
1250000	317.154090	1	-0.768228489473	0.756931314296	0.343697219601	-0.046754089201	0.000274717229	0.918749058951	N\A	0.052254459706	0.047611567929	0.006893543344	42	21	
1300000	299.068351	1	-1.013571995549	0.891879275042	0.172472954890	-0.025859774083	0.000314602461	0.915015559922	N\A	0.051691655267	0.044327838212	0.006417928212	41	18	
1350000	316.053038	1	-1.272659270323	0.882289277101	0.216543017008	-0.036469062064	0.000315124911	0.929576650344	N\A	0.045331680428	0.043859003310	0.006335720620	43	21	
1400000	320.316892	1	-0.900190238578	0.838052156332	0.226618073071	-0.034672985021	0.000349696474	0.915112325132	N\A	0.048024413368	0.042788775239	0.006295265066	38	24	
1450000	335.359731	1	-0.957516076939	0.876770370150	0.193883319524	-0.027588890465	0.000241486529	0.931429166000	N\A	0.046746193354	0.041371369528	0.006109425448	42	26	
1500000	315.624726	1	-1.316576946425	0.855906984565	0.254927127375	-0.040803404773	0.000261720456	0.944313470077	N\A	0.043759984809	0.028257812707	0.005943303750	44	23	
1550000	307.726263	1	-1.224062411830	0.757127685958	0.316720373535	-0.040885413577	0.000313221357	0.914539753552	N\A	0.047554126672	0.039345857519	0.006068656124	36	22	
1600000	319.573142	1	-1.045247577701	0.700687091484	0.320976867878	-0.034708714679	0.000607647549	0.932226179035	N\A	0.038021730481	0.034734224127	0.005445970437	45	19	
1650000	302.720482	1	-1.038297547198	0.946864920373	0.114392851303	-0.022260385498	0.000215736709	0.929156158586	N\A	0.056347884408	0.043273623142	0.006495871383	48	21	
1700000	307.589383	1	-0.765841553518	0.770238167452	0.242884697363	-0.016955401330	0.000339008855	0.930915145194	N\A	0.044542303628	0.037697566993	0.006372936635	43	23	
1750000	305.152747	1	-0.726834182614	0.770942953692	0.270489265120	-0.037064077134	0.000371289360	0.917268604501	N\A	0.055331371676	0.049343779830	0.007078398188	36	22	
1800000	317.697259	1	-0.883524721360	0.871559893182	0.102182491986	-0.011119524449	0.000245926567	0.914449281632	N\A	0.054874139135	0.051377636090	0.007040100821	42	21	
1850000	306.881224	1	-0.866317953247	0.813983095249	0.248073626557	-0.035037348605	0.000452367302	0.928061806155	N\A	0.050633626956	0.038428996694	0.006763053015	44	20	
1900000	296.806737	1	-1.084417783643	0.862622354590	0.235850071486	-0.041210430953	0.000379003124	0.912208216450	N\A	0.047057936854	0.034721358875	0.006300348860	56	19	
1950000	296.258497	1	-1.334462054269	0.957042263284	0.191880955776	-0.038763017176	0.000259688541	0.924231492032	N\A	0.051167669780	0.042499403219	0.006843068871	48	19	
2000000	321.771731	1	-1.570422018018	0.930463788758	0.135362316358	-0.029006044405	0.000278424004	0.926204273180	N\A	0.034588766449	0.033991122472	0.005813024316	41	26	
2050000	304.445529	1	-0.850111515243	0.784429891596	0.255271702630	-0.033056932867	0.000343508222	0.908418769220	N\A	0.048970722058	0.041277782004	0.006266460008	42	24	
2100000	294.283614	1	-0.944588332670	0.814698204669	0.343154119729	-0.054130894414	0.000253952378	0.910381403033	N\A	0.051765534823	0.048214225429	0.007001460960	34	22	
2150000	328.766320	1	-0.675981261509	0.737235462036	0.259786977952	-0.018547865706	0.000112047007	0.919559497452	N\A	0.051177936758	0.049296570107	0.007105032884	36	28	
2200000	299.956329	1	-0.996449847777	0.892940724834	0.121807638972	-0.015089746157	0.000017597903	0.920250625719	N\A	0.051102600984	0.046700256705	0.006860894011	38	23	
2250000	315.186585	1	-0.980734439715	0.869667331247	0.158634045654	-0.018275995077	0.000334793542	0.921748769728	N\A	0.045191592526	0.036838897513	0.006027097954	39	22	
2300000	313.944679	1	-1.085110627993	0.932159681725	0.214317721357	-0.046891406845	0.000370450964	0.908067384730	N\A	0.057777105810	0.053256693144	0.007465798512	35	22	
2350000	294.335198	1	-0.688925083584	0.763203089729	0.358448468779	-0.053213608260	0.001288762155	0.916766913639	N\A	0.049834165134	0.045818290828	0.007119106147	37	21	
2400000	312.972256	1	-0.853594907611	0.792659619586	0.251910077801	-0.037391112988	0.000225436400	0.917916791951	N\A	0.052231216553	0.047619371910	0.006468895971	45	21	
2450000	313.334243	1	-1.030494926019	0.794842056540	0.325149031554	-0.045249519252	0.000234579660	0.919303794202	N\A	0.052040252181	0.045224114482	0.006649322490	44	23	
2500000	328.401955	1	-0.720592891466	0.742959572702	0.307825038767	-0.037370225544	0.000235109590	0.933648695399	N\A	0.040894347341	0.036142257929	0.005415677595	47	23	
2550000	304.536424	1	-1.281728760137	0.847580791385	0.208545364019	-0.034170507458	0.000311995883	0.920535453795	N\A	0.048370399483	0.039947454269	0.006354443420	34	22	
2600000	292.125172	1	-1.400358461131	0.930143379742	0.091490447966	-0.011738394978	0.000342288010	0.913772191744	N\A	0.053143351476	0.049073791295	0.007014760519	32	21	
2650000	303.332220	1	-1.247193622246	0.760076700750	0.362612935936	-0.053862129414	0.000309067980	0.908000502593	N\A	0.057834186915	0.052056991626	0.007255070462	29	20	
2700000	316.723484	1	-1.353398026417	0.898394818660	0.183051086869	-0.032047758441	0.000294680795	0.928821668774	N\A	0.048588532712	0.042621768308	0.006667413331	45	25	
2750000	309.993219	1	-1.381380756036	0.803013002821	0.268560563586	-0.038011873050	0.000289951013	0.927243604632	N\A	0.047784126520	0.039253703630	0.006073420286	38	26	
2800000	317.460339	1	-0.909925125099	0.828849978283	0.211940693344	-0.030862512637	0.000305400070	0.917497845500	N\A	0.048083551032	0.041908506967	0.005982891453	34	24	
2850000	279.388622	1	-1.278622618812	1.002012149056	0.087313956164	-0.021392784195	0.001004360831	0.909647496910	N\A	0.052980928153	0.048576732131	0.007799906521	37	21	
2900000	300.638580	1	-1.054096004457	0.853173702820	0.248902181215	-0.039082545084	0.000368087007	0.912445260452	N\A	0.056610431412	0.051431137546	0.006975783019	36	24	
2950000	319.686499	1	-1.019376879810	0.824832231745	0.302277178335	-0.042896526788	0.000356508757	0.931755973658	N\A	0.046732126933	0.043230295816	0.006291886299	38	25	
3000000	316.237610	1	-1.195678951259	0.812657184026	0.274976593650	-0.034203691513	0.000265087722	0.981126007351	N\A	0.043883301578	0.042172652870	0.005973345234	51	23	
3050000	303.447604	1	-0.811836408823	0.755336570369	0.349832299845	-0.052323612820	0.000855585770	0.908394681694	N\A	0.056885869988	0.050818113551	0.007203306415	31	19	
3100000	337.684417	1	-0.843120796990	0.817038178213	0.271934431924	-0.040645095569	0.000226445134	0.949705064213	N\A	0.039366474175	0.041720951357	0.005892073552	35	24	
3150000	314.580049	1	-1.017094221700	0.902337845627	0.174345631837	-0.031794473408	0.000375318333	0.918960827386	N\A	0.054559234607	0.045473910906	0.006757989263	41	19	
3200000	307.907315	1	-0.929543885444	0.859670338189	0.217883749670	-0.034902130961	0.000221272984	0.929850036704	N\A	0.045978157003	0.043959938875	0.006245722893	41	23	
3250000	295.718575	1	-1.217729341396	0.984715467792	0.196644492393	-0.045463590502	0.000177789095	0.917582719150	N\A	0.055428159387	0.051716662918	0.006958699122	39	23	
3300000	312.754586	1	-0.686465654300	0.743840668923	0.243270632337	-0.023657102359	0.000518115806	0.923943571460	N\A	0.048787565827	0.039260474034	0.006029856017	34	24	
3350000	307.258419	1	-0.831289249106	0.776080181649	0.266711257257	-0.030176298521	0.000294655627	0.939021577688	N\A	0.044197777399	0.044093748483	0.006400156032	36	24	
3400000	310.195838	1	-0.781687926512	0.782183161542	0.289674668945	-0.041764107726	0.000174329375	0.931445223822	N\A	0.051436254354	0.048360405534	0.006372929263	39	24	
3450000	341.835624	1	-0.904951031229	0.817851569187	0.279058073782	-0.040089690748	0.000085804698	0.964337736649	N\A	0.034280029212	0.022228122071	0.004647398742	40	28	
3500000	326.612632	1	-0.806079861568	0.800530836779	0.212729760713	-0.020792621385	0.000131624747	0.945033037075	N\A	0.027565071053	0.031915917794	0.005572960647	47	25	
3550000	316.152856	1	-0.724028371582	0.742269898840	0.268889354125	-0.025810856350	0.000160500729	0.950646108361	N\A	0.048538281303	0.038885307770	0.005785784149	52	26	
3600000	297.338696	1	-1.003139125029	0.822832390532	0.367806575226	-0.059558759496	0.000233541089	0.916075129285	N\A	0.052520909566	0.049782640051	0.007218091171	40	21	
3650000	333.763409	1	-0.924405079720	0.866016537948	0.142034576243	-0.012984710241	0.000194482892	0.947941046522	N\A	0.041597639772	0.036723826724	0.005882461891	47	25	
3700000	304.674229	1	-0.913995562510	0.812227816701	0.216495852397	-0.021098901175	0.000247666530	0.921949120400	N\A	0.053462897298	0.052083318960	0.007439671972	33	20	
3750000	295.556576	1	-1.044997950603	0.838132232167	0.276069971448	-0.040512863673	0.000120710484	0.916250374173	N\A	0.053307701937	0.051460206141	0.007162463324	44	18	
3800000	287.099091	1	-0.906637959219	0.742424188410	0.352791118587	-0.053058828579	0.000299721465	0.908617636446	N\A	0.052522649783	0.051621277270	0.008169427718	46	20	
3850000	308.461871	1	-0.772905096303	0.709294047832	0.339086991057	-0.039379770871	0.000257390781	0.936357291871	N\A	0.033740677334	0.036674804534	0.006028132976	44	22	
3900000	343.118573	1	-0.926278809003	0.857470102678	0.216752396226	-0.032251999183	0.000275673193	0.937701840957	N\A	0.038736244379	0.032698961324	0.005506677752	34	26	
3950000	322.141032	1	-0.927293133329	0.736233514942	0.276034158283	-0.027679107664	0.000266014902	0.936356117817	N\A	0.046212182216	0.036820560301	0.006259614932	32	24	
4000000	314.275543	1	-1.214285505861	0.940930536785	0.269655876424	-0.059159048839	0.000625277148	0.937234929975	N\A	0.045827402731	0.031098581417	0.006022712699	33	25	
4050000	319.051692	1	-0.824459051551	0.782036316753	0.291520651364	-0.047483241669	0.000477111954	0.942825268785	N\A	0.043848653382	0.038699331130	0.006018563433	35	27	
4100000	287.020816	1	-1.034805566411	0.813415932895	0.248499387265	-0.030795296336	0.000336844827	0.911572692538	N\A	0.054263712785	0.047867021184	0.007044398505	26	17	
4150000	288.236816	1	-0.543806478193	0.665185901993	0.313597627836	-0.029186579993	0.000273777675	0.910586548537	N\A	0.059492750803	0.054197367645	0.007382573956	37	19	
4200000	293.657986	1	-0.577194074043	0.726913746341	0.250454039607	-0.028054486811	0.000159360458	0.930546947464	N\A	0.050771222816	0.042684767172	0.006717168163	40	17	
4250000	308.518156	1	-1.078744366741	0.945564071188	0.075240138359	-0.016957546768	0.000317776021	0.914675844546	N\A	0.048079821795	0.045912320566	0.006302404789	35	22	
4300000	333.877242	1	-1.281197137533	0.924677920791	0.192609521228	-0.036900293147	0.000278955729	0.923352372941	N\A	0.046632089426	0.043320829882	0.006055619484	46	23	
4350000	314.582153	1	-1.160120294542	0.933288698801	0.174820906651	-0.036621191337	0.000906355692	0.919533826376	N\A	0.045971728564	0.042991829432	0.006597507395	41	20	
4400000	321.841506	1	-0.899116926143	0.829363716192	0.242966294408	-0.037025376432	0.000238336749	0.946097074758	N\A	0.042034385982	0.028419077084	0.005612788996	30	20	
4450000	305.901115	1	-0.720550377928	0.713042227580	0.285699990128	-0.028162667899	0.000267325473	0.928779579920	N\A	0.048164329984	0.037957110335	0.006201063202	48	20	
4500000	294.728162	1	-0.697545038557	0.703744242716	0.329984277952	-0.034117206442	0.000212296513	0.916236579944	N\A	0.054079900199	0.052592915420	0.007049753775	44	16	
4550000	296.643824	1	-0.959898543235	0.855482482238	0.218273857672	-0.031827012607	0.000209384002	0.930065200950	N\A	0.050324255102	0.046588101683	0.007024344621	43	17	
4600000	297.398656	1	-0.887487154332	0.798587500086	0.265619253279	-0.036758695473	0.000259975583	0.955787581147	N\A	0.040025839257	0.028241849170	0.005690929096	33	22	
4650000	307.072051	1	-0.959455552920	0.887549706069	0.223257620930	-0.039422761680	0.000237153279	0.936604259871	N\A	0.043190999268	0.031089684712	0.005977698348	39	24	
4700000	303.311898	1	-0.894591263979	0.832647022001	0.191823959008	-0.026132198903	0.000311698020	0.918553827902	N\A	0.049766600454	0.046910621130	0.006964431020	39	17	
4750000	320.260532	1	-0.970301635248	0.848657105577	0.238604155666	-0.033163030207	0.000211790982	0.920433333020	N\A	0.049171164960	0.044056026308	0.006429005115	41	24	
4800000	297.827625	1	-0.826195239226	0.819627827399	0.216081960891	-0.029508848640	0.000307164966	0.993052400045	N\A	0.051171559917	0.031550220028	0.005054188974	35	19	
4850000	286.576123	1	-1.291517833270	1.057156651088	0.082081266477	-0.033575314740	0.000351355551	0.918275154470	N\A	0.061936301572	0.056070205667	0.007416273451	30	23	
4900000	324.113053	1	-1.012976604984	0.912176591366	0.194446737961	-0.036393486227	0.000178706988	0.953808158857	N\A	0.038925929400	0.026789723991	0.005198351939	34	25	
4950000	311.418755	1	-0.674131620647	0.699923632208	0.309582489265	-0.037256859938	0.000174279548	0.932154911427	N\A	0.050894566897	0.043059841824	0.006764836919	41	22	
5000000	299.161294	1	-0.477915731754	0.590869071880	0.381842196235	-0.035845950010	0.000519321812	0.923379445402	N\A	0.047864461306	0.046444201268	0.007179804482	56	19	
5050000	277.765155	1	-0.534227612778	0.649377671096	0.336455885955	-0.037700284085	0.000611926226	0.897103235116	N\A	0.064492853465	0.055237212752	0.007763378421	39	19	
5100000	299.784565	1	-0.845097225054	0.791611011529	0.291344579082	-0.041893325173	0.000264315332	0.918496942272	N\A	0.055186527779	0.050671879587	0.007177445779	32	26	
5150000	306.048562	1	-1.152652408668	1.038465977347	0.057378494402	-0.026275840810	0.000462924125	0.937020057648	N\A	0.048135896711	0.045179859377	0.006563939677	36	18	
5200000	298.901476	1	-1.026719870206	0.895955188812	0.242992924315	-0.045086492419	0.000277487631	0.941870046499	N\A	0.037698515714	0.024612440630	0.005401869454	32	21	
5250000	325.810881	1	-0.914579828553	0.797481741024	0.280232656309	-0.034575866208	0.000411733547	0.933594227836	N\A	0.044741312133	0.039896703614	0.006207529229	35	30	
5300000	330.423983	1	-0.883122026375	0.797761700295	0.226756736626	-0.023263266846	0.000219998307	0.929839974781	N\A	0.049317084253	0.042617802834	0.006757130237	42	23	
5350000	321.026888	1	-0.987385778948	0.847232384048	0.256372883309	-0.042859657532	0.000222213335	0.922079851885	N\A	0.051523222513	0.043031355533	0.006977700492	36	22	
5400000	306.813221	1	-0.979812430534	0.885265917388	0.150557832541	-0.021760329847	0.000709876128	0.928624503652	N\A	0.046858799742	0.037903676640	0.006087167874	38	17	
5450000	326.267253	1	-0.002537269278	0.684542522250	0.360887760122	-0.038718428898	0.000278710398	0.916382989668	N\A	0.056391736130	0.049855720457	0.006593680210	50	24	
5500000	317.262313	1	-0.587884244678	0.715264423690	0.229132133143	-0.015898400162	0.000209376187	0.947158638650	N\A	0.043123449508	0.030888462717	0.005580539006	49	25	
5550000	297.013860	1	-0.647780614384	0.629779485223	0.454514917171	-0.053359633466	0.000264800922	0.900785718911	N\A	0.056494820883	0.050920057116	0.007656625781	39	19	
5600000	322.863959	1	-0.796468667583	0.724664287970	0.369781579605	-0.047145562293	0.000263762668	0.919384171433	N\A	0.050382767620	0.042098650025	0.006680268845	40	25	
5650000	316.667678	1	-0.952278649339	0.811084382689	0.308365064705	-0.049376413984	0.000278875241	0.924250312276	N\A	0.046275016581	0.042945745009	0.006182792987	31	21	
5700000	326.512575	1	-1.071988216235	0.921080022068	0.145077587233	-0.024422135333	0.000242789133	0.964879943407	N\A	0.040398198405	0.029491674958	0.005136168214	49	25	
5750000	313.809274	1	-1.036116681585	0.899686822110	0.228478200424	-0.043904132135	0.000210374343	0.967607143742	N\A	0.034324060487	0.021271292673	0.005359216463	33	23	
5800000	328.146488	1	-0.999151185821	0.887979738257	0.200280890170	-0.032516693530	0.000261935595	0.938882483031	N\A	0.044478150704	0.034974090517	0.006102605838	44	24	
5850000	321.942994	1	-0.868161200598	0.846522920297	0.207855422172	-0.032903112414	0.000166681200	0.935713588474	N\A	0.044196218767	0.039947854311	0.005731517374	34	25	
5900000	301.076550	1	-1.179721523429	0.981557818808	0.184410024881	-0.042703640838	0.000196705651	0.933308939321	N\A	0.046472315633	0.035693362482	0.006606097291	40	20	
5950000	315.365221	1	-0.917765701210	0.836153825746	0.256826006160	-0.044300776955	0.000367398161	0.940851135159	N\A	0.044206995059	0.028971115475	0.006289856116	36	19	
6000000	272.901734	1	-1.026720172964	0.907054041391	0.201307207933	-0.036212927678	0.000417455272	0.901842393961	N\A	0.057191390602	0.050510366647	0.007793654865	35	20	
6050000	282.546995	1	-0.845135501271	0.793085291359	0.241039948587	-0.021741077531	0.000125393840	0.910080263096	N\A	0.053397578863	0.051468294327	0.007671789400	40	17	
6100000	322.912945	1	-0.847916624910	0.831116030299	0.206005941651	-0.027514223835	0.000106022838	0.927020391539	N\A	0.048850133260	0.038479698823	0.006280407030	39	24	
6150000	318.598428	1	-0.866626338489	0.804122407968	0.248582193909	-0.033978121196	0.000137086472	0.926089162774	N\A	0.051591715473	0.045721866640	0.006522548587	39	25	
6200000	321.044317	1	-0.806989926390	0.795513556968	0.233474484761	-0.023142645585	0.000222358479	0.933959998052	N\A	0.044346759860	0.040304222179	0.005985873284	51	26	
6250000	319.352996	1	-0.805460805665	0.775847637862	0.258043802267	-0.030859168071	0.000236113004	0.928956525671	N\A	0.046949221004	0.037292339585	0.006061870782	35	22	
6300000	309.034881	1	-1.045660240352	0.930075401450	0.160127090988	-0.027149522490	0.000224337989	0.920250843671	N\A	0.051993866760	0.046534579196	0.006795468203	41	17	
6350000	302.345043	1	-1.096509004887	0.917908950877	0.173412555263	-0.029741219572	0.000330640848	0.906533061164	N\A	0.059464900230	0.053860654927	0.007166216911	40	18	
6400000	315.244683	1	-0.948189978275	0.806472970251	0.321750722710	-0.048545998427	0.000326774008	0.923628663500	N\A	0.048517585073	0.039461133039	0.006451819115	40	22	
6450000	326.421238	1	-1.086119146816	0.883821403895	0.263507410065	-0.054661922510	0.000385202579	0.943874453090	N\A	0.039214322743	0.031540279978	0.006150426020	36	25	
6500000	325.589128	1	-0.831918523413	0.798542806308	0.267620078071	-0.039873252502	0.000269905557	0.944861507931	N\A	0.043756908371	0.028478099109	0.005720704360	35	32	
