Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m7-glob-001.txt
Log File Name:                   MOB_d1_m7-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2252034554
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m7-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	304.899452	1	-0.804492027738	0.768901513254	0.260837695520	-0.026616862876	0.000252195927	0.998878095847	N\A	0.039851422987	0.043315058474	0.004542899055	46	25	0.114461271148	Global Trend	
1050000	315.838347	1	-0.896972152433	0.953418208681	0.130888215329	-0.027867902332	0.000232500101	0.963602132674	N\A	0.036687367290	0.038396381117	0.004904309427	31	21	0.015175002287	Global Trend	
1100000	301.678953	1	-0.957966882405	0.890441874499	0.129208502560	-0.024595454388	0.000264511397	0.985866715915	N\A	0.042509008709	0.045663935000	0.005062509261	36	20	0.033353596909	Global Trend	
1150000	310.246812	1	-0.656704887234	0.770648806279	0.235825178802	-0.028928830743	0.000601787916	0.965418179347	N\A	0.031273187266	0.030023072215	0.005306270327	44	23	-0.027053441380	Global Trend	
1200000	300.808311	1	-0.840799938900	0.783937856583	0.246568637823	-0.029814106952	0.000216642287	0.999953559763	N\A	0.048812599893	0.053611702856	0.005808870696	35	21	0.482058483921	Global Trend	
1250000	307.578176	1	-0.712717925186	0.796022843981	0.221971561835	-0.022550875522	0.000236577967	0.998307084060	N\A	0.034147527429	0.037732603247	0.004921815011	34	17	-0.099050949601	Global Trend	
1300000	288.536174	1	-0.767807979551	0.785126925734	0.247896523887	-0.037199663495	0.000297754298	0.998887380714	N\A	0.025062920531	0.028385334693	0.004743760749	38	16	-0.131258968677	Global Trend	
1350000	293.168079	1	-0.848495842995	0.780786250675	0.218378484986	-0.021620867591	0.000606799396	0.918444054737	N\A	0.050519494049	0.047980696507	0.006834632456	41	19	-0.011764188602	Global Trend	
1400000	326.320705	1	-0.646024331156	0.761126647396	0.259840902391	-0.029905904692	0.000194110405	0.974053045799	N\A	0.041399503797	0.043720726710	0.005096965585	57	22	-0.012178818147	Global Trend	
1450000	306.341610	1	-0.784255960703	0.769548018827	0.257949725528	-0.026595532393	0.000200227998	0.988720855319	N\A	0.038502338921	0.042278666474	0.005030023904	42	22	-0.023145818007	Global Trend	
