Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m8-VR-002.txt
Log File Name:                   MOB_d1_m8-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            462804356
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m8-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	245.921674	1	-1.880614515911	1.514175761252	-0.117374581536	0.125047724237	0.000418694264	0.899997803269	N\A	0.109552667747	0.016030792346	0.040061695673	52	29	
1050000	236.695976	1	-1.692828618087	1.269115500761	-0.056080103349	0.038867058966	0.000492276912	0.891522314083	N\A	0.107470103448	0.015845449964	0.044859826777	41	30	
1100000	244.742635	1	-1.517842852513	1.232558448076	-0.095036199018	0.224779028856	0.000668203701	0.895677924497	N\A	0.097174215277	0.014549020494	0.044915109475	45	34	
1150000	232.050986	1	-1.336334128420	1.141597058442	-0.094982810773	0.240557269270	0.000637248311	0.884856399971	N\A	0.105355260826	0.014771596481	0.043264279123	55	30	
1200000	231.601954	1	-1.639757435892	1.301475410197	-0.085024307430	0.115522382335	0.000521596848	0.918477946070	N\A	0.090793327919	0.013665307167	0.010410103336	55	41	
1250000	225.686370	1	-2.027231705353	1.554244083813	-0.125561459518	0.113367266452	0.000725469848	0.911351826024	N\A	0.092427288689	0.014830926284	0.034349052559	39	32	
1300000	246.115173	1	-1.981707388527	1.495030588833	-0.119732287756	0.153652384315	0.000596474077	0.917491123382	N\A	0.100561526860	0.013492100259	0.032032307396	47	32	
1350000	246.335318	1	-1.741527610591	1.414344654868	-0.120091076358	0.205448467853	0.000328116451	0.935195191037	N\A	0.088106765371	0.012782628492	0.038626921669	55	31	
1400000	248.555517	1	-2.039437634931	1.498074224179	-0.108214496264	0.062926834139	0.000324459562	0.887033516956	N\A	0.097016006499	0.014102099406	0.045358023346	59	29	
1450000	241.284018	1	-1.813968941998	1.395518546488	-0.110354453748	0.170449736252	0.000644059138	0.900976763128	N\A	0.110827253524	0.015536798218	0.039130920297	41	25	
1500000	216.785715	1	-1.621384825356	1.259650116836	-0.095995273360	0.213450252895	0.001215214174	0.880639535209	N\A	0.110176561230	0.016419738665	0.051618577519	45	23	
1550000	249.883270	1	-1.629942396079	1.455206224818	-0.121882754591	0.131472341976	0.000497379932	0.891636720988	N\A	0.094584648621	0.012748120107	0.039798969297	57	27	
1600000	228.567910	1	-1.462250967344	1.272492947301	-0.102131853928	0.198617134770	0.000828288550	0.885552743203	N\A	0.111871925977	0.016559727604	0.040252140229	42	24	
