Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-VR-002.txt
Log File Name:                   MOB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2033277167
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	239.811216	1	-1.719456119745	1.476050887520	-0.127224343655	0.026239037433	0.038328239211	0.000457881997	0.886639316438	N\A	0.188060509032	0.031824953037	0.070262151648	0.016780553334	50	23	
1050000	252.741972	1	-1.829070416720	1.508137611273	-0.124799938859	0.098556756621	0.014475360242	0.000548782602	0.904254656688	N\A	0.192195173757	0.032053239013	0.063795064771	0.015751790509	55	25	
1100000	228.063823	1	-1.913866852603	1.501278603806	-0.103254016426	-0.070897436543	0.038926290266	0.000878758391	0.907733552906	N\A	0.183185159071	0.027372376885	0.078940646319	0.014652042767	44	31	
1150000	243.484786	1	-2.198719557785	1.791702352514	-0.184253836414	0.076215812631	0.030864799113	0.000711007409	0.879926184742	N\A	0.219595880676	0.034389937917	0.083611666729	0.018171032930	42	36	
1200000	225.276660	1	-2.292624630428	1.887456048865	-0.215207385896	-0.030577672449	0.076385339891	0.000655385636	0.902210642665	N\A	0.167930049881	0.021913545873	0.081248161744	0.013706750006	33	32	
1250000	231.390823	1	-2.196805610464	1.688216686110	-0.134398942652	-0.037221860559	0.027247524284	0.000675768776	0.910947473282	N\A	0.171077099471	0.031475900230	0.064371752933	0.016629019711	38	23	
1300000	253.404035	1	-2.660021736899	1.893879023652	-0.170063085042	-0.004541692442	0.027386619363	0.000891117642	0.904483522367	N\A	0.176190291909	0.030349665228	0.053837113002	0.015193136601	46	20	
1350000	234.895768	1	-2.303443659089	1.810488273534	-0.185395838768	0.016705451355	0.045149151903	0.001107453808	0.911901073510	N\A	0.181412050473	0.029100750076	0.073862059739	0.015246284149	32	38	
1400000	229.582683	1	-2.069379660974	1.630716416672	-0.133732372771	0.036476460010	0.017149070904	0.000725617328	0.902002917109	N\A	0.182100994112	0.029552180017	0.073672229784	0.015748866788	47	29	
1450000	230.808862	1	-2.666459113626	2.050546335203	-0.187736294300	-0.169141022188	0.047164783542	0.000498379301	0.888045601677	N\A	0.193722934236	0.030846230401	0.072987715814	0.016526935909	47	32	
1500000	226.988561	1	-1.754317302774	1.316393450053	-0.078209043734	0.164959282530	-0.014658306594	0.000367973932	0.892626965727	N\A	0.195881409324	0.029886192474	0.083351203361	0.016769931504	40	30	
1550000	245.871252	1	-1.713660121263	1.442280574239	-0.122357148878	0.063324675748	0.036914939943	0.000699393176	0.924996745275	N\A	0.163509267770	0.029134419596	0.050702021281	0.013866668488	54	28	
1600000	246.197973	1	-1.453407288366	1.130760384718	-0.054257850079	0.177029840206	-0.019934298529	0.000519842667	0.905733037164	N\A	0.209561819694	0.035374558385	0.066245215418	0.016825423912	50	37	
1650000	256.235507	1	-2.300795929977	1.967053380397	-0.214317849916	-0.049357763066	0.065380510813	0.000466058522	0.907084746617	N\A	0.152287336339	0.026545664140	0.061058061400	0.015082627527	43	33	
1700000	226.999746	1	-2.128914497324	1.676576146503	-0.139772483171	0.051741821563	0.003949259928	0.000712654523	0.882142079131	N\A	0.177577391382	0.030406039697	0.069767720895	0.016361398767	47	30	
1750000	258.598331	1	-1.986499733377	1.573876676277	-0.144191190529	0.121326880418	0.019995874708	0.000443197602	0.922382243116	N\A	0.184457019172	0.028724868663	0.073582533489	0.015099959563	54	37	
1800000	235.970769	1	-1.763581522236	1.540349616646	-0.127765789029	0.032687403704	0.028832730499	0.000124009541	0.897463887576	N\A	0.177825953145	0.027713456472	0.075011507670	0.015149038917	62	24	
1850000	222.627024	1	-2.353282767137	1.813592136653	-0.172233287506	0.063734764875	0.024063940360	0.000525804748	0.889369593801	N\A	0.187330148382	0.030140306469	0.076507482837	0.016673551742	57	32	
1900000	238.080977	1	-1.918709654655	1.527034989393	-0.125612105526	0.067964293428	0.017352660656	0.000545696498	0.899474552264	N\A	0.201385826648	0.030519681699	0.084253062206	0.016565996613	49	31	
1950000	244.640729	1	-2.312610682875	1.827814589722	-0.158275208706	-0.108583879252	0.045234438415	0.000690643378	0.900921061929	N\A	0.167615393702	0.028125080812	0.066974177340	0.015543217922	45	38	
2000000	217.149270	1	-2.015539065891	1.580601196765	-0.148662967601	0.069748695726	0.031939820924	0.000424019342	0.860198825142	N\A	0.220170456896	0.030632562821	0.097681268410	0.017778798146	47	24	
2050000	225.846590	1	-1.867648438264	1.544495998572	-0.150461540258	0.109392104770	0.033042531618	0.000272208318	0.882402682351	N\A	0.202161998907	0.032363983895	0.079833146670	0.016809996342	40	30	
2100000	239.590541	1	-2.022513476397	1.672458013993	-0.156952715669	0.038968454807	0.034488190134	0.000701602583	0.927258692338	N\A	0.161142022848	0.026983354592	0.051463992892	0.013036641469	50	38	
2150000	242.820278	1	-1.814957406364	1.538073002534	-0.150641667722	0.107300006511	0.028813146987	0.000114862440	0.869593288132	N\A	0.209990105004	0.031756839475	0.091385599508	0.018493432694	59	27	
