Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-fab-005.txt
Log File Name:                   MOB_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            965072628
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	310.978273	1	-1.815006281791	1.552580660658	-0.103879944390	-0.040218255284	0.023095192039	0.000200703523	0.929662793278	N\A	0.132093689083	0.022662093042	0.055830768385	0.013126553278	39	27	
1050000	317.029610	1	-1.854873599106	1.627202992716	-0.125945096939	-0.041982562477	0.029071667827	0.000174795517	0.912383531983	N\A	0.156624777274	0.025194111456	0.065972461471	0.014755448500	37	21	
1100000	329.255952	1	-1.733364759275	1.480099941112	-0.112454347711	0.045061583099	0.016151952329	0.000363406175	0.948974264465	N\A	0.110211002802	0.020363051169	0.042614851069	0.011589007653	44	23	
1150000	323.840542	1	-1.605872138452	1.370295420683	-0.083832234361	0.107329160033	-0.006037176240	0.000298396080	0.916397005279	N\A	0.106584832677	0.011398054295	0.061298725017	0.010396358871	35	28	
1200000	297.109481	1	-1.831028199524	1.625378931802	-0.151629290653	0.021723228452	0.037011240135	0.000284888367	0.904617549820	N\A	0.155032375589	0.022938257103	0.069741912841	0.014152092151	25	24	
1250000	295.619567	1	-1.271842491210	1.176269484386	-0.073846125211	0.131268847689	0.007374383335	0.000252402159	0.915965550661	N\A	0.182786534954	0.027637995894	0.069804901738	0.014270684058	43	24	
1300000	324.546452	1	-1.520301107774	1.372402217645	-0.114033788739	0.115812709174	0.022553066629	0.000233620571	0.927790622532	N\A	0.151404371343	0.024877577844	0.059597713587	0.013439264174	40	31	
1350000	325.527456	1	-1.724025986403	1.497533549499	-0.099324288704	-0.004699549960	0.015757200692	0.000290545266	0.948820325052	N\A	0.121653781851	0.017931663080	0.057615479805	0.011163159439	42	25	
1400000	347.413626	1	-1.460494260712	1.353633894949	-0.077904044481	-0.026353820607	0.027349296888	0.000242840974	0.944084026429	N\A	0.108327894841	0.015550779076	0.051399990966	0.009810994102	44	26	
1450000	310.777488	1	-1.497710672652	1.299660633306	-0.073557972120	0.081857810346	-0.002519121959	0.000269778248	0.930288070012	N\A	0.168739222648	0.027478229487	0.063184695180	0.014476978116	41	25	
1500000	323.198157	1	-2.144009068424	1.942059403223	-0.220991053556	-0.075358952324	0.083020991629	0.000301656965	0.927406309669	N\A	0.115254635152	0.020108582948	0.047181249286	0.011680020892	49	19	
1550000	316.919233	1	-2.042526470773	1.901053422305	-0.202082068911	-0.056774408544	0.065651720527	0.000266077876	0.916979683342	N\A	0.146596561396	0.022119885790	0.063389853747	0.012775698136	37	24	
1600000	319.395982	1	-2.166910733870	1.912679379101	-0.188370503136	-0.087853134254	0.053392054807	0.000389525657	0.936892169910	N\A	0.124990703322	0.023522269591	0.047341934529	0.013010008182	51	22	
1650000	318.056923	1	-2.077875478497	1.867416241503	-0.186386215315	-0.050146056608	0.054741921921	0.000021581319	0.925187868169	N\A	0.131521025917	0.022319288745	0.055257364193	0.012575778949	37	25	
1700000	306.170187	1	-1.594518775956	1.402567923294	-0.111713641559	0.138353669033	0.010972956842	0.000014432139	0.940308235893	N\A	0.148175682269	0.024364356684	0.048652119042	0.012116079088	48	22	
1750000	300.624643	1	-1.861414836243	1.594320428178	-0.131212945296	0.051352310875	0.015988422937	0.000217506559	0.924410115604	N\A	0.123771293314	0.021218677761	0.056986654962	0.011918185406	35	22	
1800000	275.883075	1	-1.883072569494	1.679301175912	-0.157541770627	-0.012807302176	0.046880942163	0.000276707266	0.890052577879	N\A	0.187423198598	0.030925251644	0.075439269331	0.017160849857	34	20	
1850000	310.299720	1	-2.061501712389	1.786956292775	-0.168976388352	-0.011951210794	0.039165058460	0.000265606492	0.923942823485	N\A	0.170087651287	0.026656604520	0.062752883397	0.013218854464	39	20	
1900000	323.956944	1	-1.666037788887	1.443350924199	-0.104190985065	0.049937321749	0.013859130594	0.000237353435	0.924204815640	N\A	0.161693491968	0.026306415905	0.062805779620	0.014412103371	42	26	
1950000	331.031542	1	-1.542100373773	1.375152639612	-0.115938281685	0.125239834218	0.023705133835	0.000476902233	0.951374861526	N\A	0.136894851643	0.024224327782	0.041370882808	0.012601870176	34	24	
2000000	293.558336	1	-1.985256001897	1.794896277351	-0.177999430603	-0.077743537667	0.054543809487	0.000430131071	0.959166455855	N\A	0.117911793357	0.020822611300	0.040438693287	0.011671379911	42	19	
2050000	307.092991	1	-1.802102570486	1.543734452586	-0.133397938366	0.116666666757	0.015401635476	0.000214931707	0.957876736889	N\A	0.158147580357	0.025976421923	0.059993249583	0.013327558866	46	16	
2100000	339.831531	1	-2.080611725940	1.904464459059	-0.186478457108	-0.109942093299	0.059697908161	0.000282504050	0.952962809749	N\A	0.108380872197	0.018105731054	0.044391487492	0.010123878293	48	26	
2150000	313.434597	1	-1.371099825786	1.211545665850	-0.072000359988	0.166186363533	-0.000314384240	0.000244998370	0.936122249086	N\A	0.146746415484	0.024995374663	0.050114863225	0.012551145569	36	26	
2200000	301.369276	1	-1.846247767477	1.611528132015	-0.119058086352	-0.029838344611	0.024154297328	0.000220846917	0.918954213629	N\A	0.152215293768	0.024220281890	0.062766494220	0.013640981497	41	25	
2250000	323.324541	1	-2.150462167444	1.910925343351	-0.189622508766	-0.091828829463	0.061594574659	0.000202540439	0.942607867557	N\A	0.129147012675	0.020780657505	0.049550573343	0.010691867744	39	28	
2300000	322.293422	1	-1.925400865769	1.700767825509	-0.139980441367	-0.081722723634	0.039991418202	0.000212544954	0.939799872069	N\A	0.142910963764	0.024226708740	0.047739558147	0.012176023645	42	26	
2350000	307.030256	1	-1.494537656224	1.383131530674	-0.112888630672	0.085618566487	0.027322176395	0.000273326611	0.922639079450	N\A	0.162864322118	0.025613012308	0.066999772379	0.013967666829	32	26	
2400000	307.866163	1	-1.864848212714	1.660612737119	-0.142735746986	-0.072172372675	0.044312357466	0.000167690631	0.950257075791	N\A	0.135569626369	0.022998478625	0.044906916048	0.012594538642	45	27	
2450000	321.168610	1	-2.212596842091	1.995576487789	-0.208433710826	-0.118367123813	0.074630088447	0.000293042955	0.949022794321	N\A	0.113495457706	0.018434027277	0.048762150330	0.010561812551	40	28	
2500000	332.158217	1	-1.991650260470	1.725976789003	-0.151339877711	-0.035944573662	0.042902363751	0.000224435514	0.965189241570	N\A	0.094072136529	0.018056656117	0.049942275645	0.011561778004	47	24	
2550000	326.015354	1	-2.146584117435	1.872878551146	-0.156939789476	-0.137715106434	0.042636275585	0.000256031763	0.932085691844	N\A	0.111961202586	0.014277485522	0.055642291836	0.009444536208	38	28	
2600000	307.969880	1	-2.385274383515	2.072239095153	-0.216203431997	-0.178517884149	0.085713572900	0.000406172614	0.930997789288	N\A	0.131605523334	0.021331303242	0.054305720413	0.011944627124	45	23	
2650000	299.723176	1	-2.032209885253	1.768954467041	-0.158251150431	-0.027519654544	0.046945177149	0.000255671293	0.912883195716	N\A	0.158290737825	0.025326647955	0.061965606626	0.014395336028	33	21	
2700000	312.688931	1	-2.217793614106	1.791698401149	-0.165738905619	0.020258350330	0.026594940145	0.000461255493	0.912443368949	N\A	0.128406523938	0.021080280983	0.055605640016	0.012803789177	40	21	
2750000	305.208340	1	-1.689859310600	1.561475219896	-0.167180831876	0.109040113730	0.044741296302	0.000183706076	0.922542946940	N\A	0.149887002484	0.026049031487	0.054987400373	0.014645083203	38	21	
2800000	320.611445	1	-2.080106724002	1.805752689966	-0.178564570445	-0.004302585398	0.046826849857	0.000179663668	0.933096797892	N\A	0.125708720612	0.019927981481	0.055729393841	0.011975630404	44	26	
2850000	333.155099	1	-2.001218536931	1.723519662345	-0.149675624762	-0.025824714846	0.035678786761	0.000168955492	0.931554627292	N\A	0.140119622412	0.023546251831	0.055025526957	0.013178136588	47	26	
2900000	296.912908	1	-2.391544176441	1.981310616447	-0.206033437710	-0.035589902556	0.050837603911	0.000254170381	0.919775993271	N\A	0.148561297531	0.026108396445	0.064125463782	0.015378847004	36	17	
