Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-glob-006.txt
Log File Name:                   MOB_d1_m9-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3519862750
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	302.584668	1	-1.945959056129	1.606773042184	-0.142674466034	0.111254800269	0.021277759162	0.000275500248	0.921893730253	N\A	0.138686215578	0.021812634602	0.061545870203	0.012841562847	35	18	0.001290992585	Global Trend	
1050000	297.179490	1	-1.047049398828	1.070991638333	-0.067350696414	0.309940034302	-0.021246110696	0.000234142252	0.921474110026	N\A	0.097069246674	0.014670433519	0.061896796517	0.010969572808	44	14	0.003461011212	Global Trend	
1100000	304.563623	1	-1.643484525263	1.567551062126	-0.115014397507	-0.036279488443	0.029030835110	0.000367116879	0.927873843194	N\A	0.116916986467	0.019172497310	0.055825670996	0.011653291204	42	20	0.002635111469	Global Trend	
1150000	312.799089	1	-1.507917565839	1.266058606884	-0.101550636557	0.153848526665	0.010850397500	0.000328686039	0.931865591108	N\A	0.140186020742	0.022351452929	0.061776008649	0.012953658851	39	18	0.001218129985	Global Trend	
1200000	325.092608	1	-1.669450851641	1.545760327353	-0.138069422398	0.046999958855	0.039453724967	0.000187406360	0.943231289593	N\A	0.147307776395	0.024823449684	0.060111259434	0.013607087655	43	24	0.000382285938	Global Trend	
1250000	317.428758	1	-2.472417653793	1.771317119099	-0.162953088190	-0.026399333392	0.048245453689	0.000156369628	0.980511971927	N\A	0.083497604961	0.018546398156	0.038339584276	0.011826176362	53	19	0.000241587082	Global Trend	
1300000	303.921775	1	-2.013893841670	1.577725755214	-0.131549622780	-0.003998621721	0.038144045171	0.000282058709	0.935156221237	N\A	0.108855343569	0.019507421480	0.049540082087	0.012365490707	34	17	0.001754711663	Global Trend	
1350000	302.230277	1	-1.636011172137	1.550874192132	-0.112149254880	-0.057252062921	0.032231862245	0.000334121077	0.903722901841	N\A	0.147309869393	0.021594158088	0.065642747883	0.013083368461	39	23	0.001273126876	Global Trend	
1400000	321.614824	1	-2.025184458744	1.765173976624	-0.160451728345	-0.081663507283	0.045688255575	0.000277565994	0.931719765087	N\A	0.118758175749	0.019529611654	0.053159230618	0.011644056665	45	22	0.002009766026	Global Trend	
1450000	308.885156	1	-1.795556100801	1.725051534613	-0.153213788540	-0.026769811831	0.040797575265	0.000242223304	0.930206588208	N\A	0.134247075128	0.022299481006	0.057179038789	0.012648371361	48	17	0.000674291959	Global Trend	
