Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m1-bm-001.txt
Log File Name:                   NEO_d1_m1-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2592332344
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m1-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	223.273571	1	1.083704320480	0.712570311191	0.000684810029	0.868596857091	N\A	0.015152878316	
1050000	222.089137	1	1.121003064842	0.695952876274	0.000689542072	0.867688860246	N\A	0.015205141446	
1100000	223.169034	1	1.089487554397	0.709993749570	0.000685226362	0.868516969864	N\A	0.015157483752	
1150000	221.490659	1	0.999488329872	0.750090441339	0.000691945528	0.867227678868	N\A	0.015231617781	
1200000	222.009837	1	1.009213453281	0.745757678721	0.000689860055	0.867627844758	N\A	0.015208646979	
1250000	222.424185	1	1.018354212989	0.741685263358	0.000688200185	0.867946345075	N\A	0.015190339216	
1300000	223.226641	1	1.086502210383	0.711323787905	0.000684996903	0.868560999068	N\A	0.015154945676	
1350000	223.344697	1	1.078314985719	0.714971381821	0.000684526902	0.868651184224	N\A	0.015149745599	
1400000	223.188484	1	1.043326371340	0.730559601537	0.000685148883	0.868531836898	N\A	0.015156626785	
1450000	223.068176	1	1.037889178814	0.732981993885	0.000685628287	0.868439847502	N\A	0.015161928468	
1500000	223.282609	1	1.083113359611	0.712833597635	0.000684774045	0.868603761744	N\A	0.015152480202	
1550000	223.389754	1	1.058815317588	0.723658925372	0.000684347608	0.868685587552	N\A	0.015147761433	
1600000	223.218189	1	1.044883364686	0.729865925757	0.000685030563	0.868554540310	N\A	0.015155318019	
1650000	223.403798	1	1.061628482399	0.722405596770	0.000684291733	0.868696309013	N\A	0.015147143034	
1700000	223.078278	1	1.038304667809	0.732796884133	0.000685588020	0.868447574124	N\A	0.015161483226	
1750000	223.061995	1	1.037637939732	0.733093926583	0.000685652928	0.868435119376	N\A	0.015162200917	
1800000	223.358676	1	1.054899463428	0.725403527041	0.000684471269	0.868661859247	N\A	0.015149129959	
1850000	223.351212	1	1.054151257986	0.725736869502	0.000684500973	0.868656159452	N\A	0.015149458676	
1900000	223.411020	1	1.064524939406	0.721115159608	0.000684263001	0.868701822166	N\A	0.015146825033	
1950000	222.569569	1	1.022003907235	0.740059241956	0.000687618724	0.868057917247	N\A	0.015183920699	
2000000	223.142778	1	1.041120399693	0.731542411841	0.000685330974	0.868496896743	N\A	0.015158640731	
2050000	222.545644	1	1.021382962048	0.740335887093	0.000687714377	0.868039563175	N\A	0.015184976757	
2100000	221.244665	1	0.995337824969	0.751939585225	0.000692935854	0.867037652491	N\A	0.015242513781	
2150000	222.062420	1	1.010291340280	0.745277455663	0.000689649188	0.867668306503	N\A	0.015206322414	
2200000	223.353622	1	1.077462553534	0.715351159655	0.000684491385	0.868657999353	N\A	0.015149352567	
2250000	223.334569	1	1.079216380234	0.714569790160	0.000684567212	0.868643449421	N\A	0.015150191658	
2300000	222.692887	1	1.106496536967	0.702415862816	0.000687125901	0.868152481385	N\A	0.015178478494	
2350000	223.153247	1	1.090241947962	0.709657650160	0.000685289259	0.868504901065	N\A	0.015158179387	
2400000	222.928284	1	1.032662774108	0.735310475488	0.000686186155	0.868332802451	N\A	0.015168095531	
2450000	222.964008	1	1.033916583788	0.734751874894	0.000686043649	0.868360146726	N\A	0.015166520415	
2500000	222.984090	1	1.097206689607	0.706554700102	0.000685963554	0.868375515552	N\A	0.015165635051	
2550000	223.124087	1	1.091577256763	0.709062739863	0.000685405448	0.868482606417	N\A	0.015159464347	
2600000	223.310158	1	1.050678406357	0.727284103515	0.000684664376	0.868624805366	N\A	0.015151266789	
2650000	222.732492	1	1.026489023575	0.738061021101	0.000686967700	0.868182837546	N\A	0.015176731071	
