Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-VR-005.txt
Log File Name:                   NEO_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3070615370
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	346.426932	1	0.987246244186	0.815026150866	0.182921796451	-0.120933424894	0.546311353625	0.080344738212	0.338198109344	-0.047596763948	-0.090638555593	-0.074216234204	-0.178559238243	-0.196718563568	0.000445028268	0.947389232822	N\A	0.109064572474	0.314777796429	0.312790463223	0.335114969975	0.339874717715	0.411294784646	0.110223822009	0.110155794561	0.115932164610	0.119842635662	0.112541072743	46	34	
1050000	316.448333	1	0.466445466180	0.950040356575	1.399903505579	1.048206208356	1.719097595973	0.780412070746	0.249686683259	-0.233847455783	-0.176200631943	-0.267500715147	-0.287963549784	-0.272866098931	0.000670921997	0.933427756682	N\A	0.100661239994	0.338816715825	0.330778492901	0.367298782441	0.364553654879	0.434939333986	0.103633150348	0.101818446974	0.108400141377	0.111720759563	0.104052304043	42	32	
1100000	314.582086	1	0.348683053994	1.004292071646	1.131706037036	0.596077388501	1.470599406039	0.620686097726	0.838030085305	-0.313249410422	-0.263995499166	-0.312022850146	-0.285080329735	-0.343556962065	0.000749946558	0.943990566131	N\A	0.087007748812	0.324498761893	0.313817546504	0.358805733464	0.351896030881	0.456163678680	0.088591975425	0.088377563122	0.097119869676	0.100852810827	0.090557867054	54	27	
1150000	339.788337	1	0.471782878959	0.753666725777	0.686883335033	0.300017963412	1.156995858443	0.467009753282	0.747320656441	-0.035220139056	-0.027915883873	-0.065428032196	-0.118902585625	-0.040790348805	0.000312930364	0.944491284140	N\A	0.064575591358	0.228051867545	0.223504424726	0.252989815789	0.233502416494	0.311076868359	0.067039669118	0.066115319885	0.076006277962	0.074254372171	0.070904275994	49	33	
1200000	334.183760	1	1.367774439185	0.816315984227	0.523203979467	0.127751771645	1.564887650898	0.292415290475	-0.320054776198	-0.088566437366	-0.080526535148	-0.185563974198	-0.220091974795	-0.125539274654	0.000486756540	0.938685462247	N\A	0.067722761721	0.254604613840	0.248266033563	0.289003349289	0.253869137908	0.924620616964	0.070501225315	0.069752828997	0.079266140645	0.075904453363	0.071903191865	45	28	
1250000	332.427479	1	1.074096767173	0.700052108172	0.537852603472	-0.038639619827	0.718707102444	0.155863548282	-0.127522819370	-0.008081528328	0.070929195041	0.058433212906	-0.126639635363	-0.004065968428	0.000382007107	0.944518970235	N\A	0.124897283171	0.310329137241	0.299505487090	0.316805578163	0.312878911389	0.377765962008	0.126428103740	0.126099451484	0.128375598333	0.130261431575	0.126287504172	61	24	
1300000	329.575389	1	0.397841335904	0.901544079445	0.809311489246	0.445676013583	1.493032480228	0.632533758462	0.824240673349	-0.150727173605	-0.176478059096	-0.266959755616	-0.283750932424	-0.219352684993	0.000447803091	0.938886210246	N\A	0.070345734454	0.250438403771	0.238148094560	0.289507102327	0.260871228389	0.327737115642	0.072864983726	0.072013344044	0.086143087778	0.080589160752	0.075877727336	48	29	
1350000	327.018026	1	0.162331615980	1.000440561426	1.301628440373	0.975839650430	1.849265648868	1.143246896465	0.852847842555	-0.249556608737	-0.280111006500	-0.357976032350	-0.417684978478	-0.341168315622	0.000564612959	0.931533076561	N\A	0.096177950382	0.286813813327	0.272445122084	0.317687455689	0.283959597524	0.403885857301	0.101063852138	0.097206284714	0.104461067998	0.103763263423	0.100931184837	42	26	
1400000	309.078416	1	-0.371204965373	1.180058201144	1.849407370698	1.312189821044	2.337862282541	1.558570960332	1.397863154165	-0.493360013385	-0.373186708135	-0.491922349680	-0.615394080787	-0.460605983662	0.000834830950	0.930500709630	N\A	0.105681217398	0.333168742255	0.325809371418	0.382071913454	0.360804664640	0.481740784046	0.107390362663	0.107254666852	0.117162857562	0.114360178682	0.109097936858	43	26	
1450000	311.494240	1	-0.129533013245	1.299632375381	1.425740354622	1.027429008300	1.670960021523	0.757424921992	1.340995634512	-0.595702668143	-0.545049448839	-0.587665581413	-0.641816969595	-0.668375244494	0.000433804421	0.927799574210	N\A	0.096063792901	0.313450081070	0.302629325029	0.294485283794	0.329599014049	0.457313524134	0.098570019875	0.097610187713	0.103307553210	0.104270656517	0.099275330504	41	19	
