Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-bm-001.txt
Log File Name:                   NEO_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            956685530
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	237.701111	1	0.797249058564	0.722287048781	0.800321339360	0.230995783339	1.356269810682	0.250780868354	-0.091374667070	-0.045263614118	0.024415094398	-0.022364946572	-0.029591126433	0.024722483366	0.000629710645	0.879169471211	N\A	0.076829982812	0.327885680464	0.296580716538	0.310875363803	0.301296052290	0.408524678959	0.085487906184	0.082501459754	0.085764032480	0.089126588574	0.081461768626	
1050000	235.695707	1	0.339208320472	0.792835854693	0.784331726647	0.531052331846	1.403228851636	0.390511655100	1.033202531206	-0.058295328853	-0.082056029156	-0.129026724733	-0.203954245680	-0.092407985405	0.000637095616	0.877752423563	N\A	0.077279183878	0.329802726277	0.298314731943	0.312692955575	0.303057636800	0.410913195970	0.085987727440	0.082983820185	0.086265468161	0.089647684076	0.081938050305	
1100000	238.293017	1	0.451552323107	0.806441989333	0.784862594131	0.482721419507	1.199824535836	0.533446832080	0.692796942617	-0.056947556173	0.001012678217	-0.062294716088	-0.185502274022	-0.119886183303	0.000627547340	0.879584571846	N\A	0.076697898592	0.327321987451	0.296070842251	0.310340914510	0.300778071514	0.407822353360	0.085340937474	0.082359625270	0.085616589061	0.088973364331	0.081321721553	
1150000	236.264380	1	0.338797622204	0.863543486927	0.644728961156	0.269264078455	1.326072984936	0.837478585613	0.806612401184	-0.172212591945	-0.078062211711	-0.169142549786	-0.279542374543	-0.131538278966	0.000634992705	0.878155935659	N\A	0.077151537747	0.329257973607	0.297821989665	0.312176464021	0.302557060414	0.410234468832	0.085845696946	0.082846751404	0.086122978908	0.089499608238	0.081802708878	
1200000	235.167183	1	0.268009662697	0.934411216910	1.325058678231	0.641814362043	1.307172948651	0.298937227839	1.132799064380	-0.261711785658	-0.190339781204	-0.233901374994	-0.220369087088	-0.292141655468	0.000639056304	0.877376201736	N\A	0.077398007423	0.330309826991	0.298773417094	0.313173748510	0.303523614585	0.411545011169	0.086119941137	0.083111415111	0.086398108909	0.089785525279	0.082064037268	
1250000	238.798229	1	0.278235751676	0.850255973180	0.958875705015	0.519183400963	1.626679904229	0.578877373162	0.959649793391	-0.218302141868	-0.070512916715	-0.157945641313	-0.205080583690	-0.174615653838	0.000625706763	0.879937746614	N\A	0.076585339703	0.326841622279	0.295636340059	0.309885470108	0.300336661173	0.407223848944	0.085215694393	0.082238757448	0.085490941444	0.088842790440	0.081202376919	
1300000	240.054403	1	0.599512748598	0.832145575665	0.661470815895	0.478672479000	1.387071069957	0.483100876982	0.317244355013	-0.090197741793	-0.053602505524	-0.137441014240	-0.199707822670	-0.136478628975	0.000621153661	0.880811407812	N\A	0.076306185333	0.325650281122	0.294558742484	0.308755934304	0.299241930878	0.405739513724	0.084905082289	0.081938996311	0.085179326062	0.088518957532	0.080906393400	
1350000	240.382404	1	0.605000520654	0.773758357459	0.798393776499	0.510561998586	1.362967647708	0.647554348317	0.353355050388	-0.066746381120	-0.035290033928	-0.090011267468	-0.130652851236	-0.100747752013	0.000619970260	0.881038481883	N\A	0.076233462699	0.325339924286	0.294278017041	0.308461678409	0.298956742182	0.405352828868	0.084824164586	0.081860905398	0.085098146995	0.088434595672	0.080829286596	
1400000	235.401297	1	0.605544319968	0.796547811708	1.063215379809	0.872342162038	1.685193773184	0.809901843286	0.068952229206	-0.107072036685	-0.054160363639	-0.167449460919	-0.181677774025	-0.091473010461	0.000638187055	0.877542995368	N\A	0.077345350892	0.330085105835	0.298570151245	0.312960685619	0.303317117012	0.411265022918	0.086061350774	0.083054871551	0.086339329299	0.089724441093	0.082008206276	
1450000	235.136364	1	0.291779230648	0.904784646791	0.649563313126	0.278788656950	1.436035476253	0.161099290153	1.173306820076	-0.207952890630	-0.167017344296	-0.200093880502	-0.275305748771	-0.225118692594	0.000639170818	0.877354228345	N\A	0.077404941724	0.330339420357	0.298800185026	0.313201806607	0.303550808100	0.411581882618	0.086127656860	0.083118861291	0.086405849554	0.089793569412	0.082071389611	
