Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-fab-005.txt
Log File Name:                   NEO_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1870913072
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	382.822969	1	0.669585371040	0.858170919691	0.442411563710	0.181832748943	1.169841102108	0.308842007938	0.476410989537	-0.131337476872	-0.153747298878	-0.151260930936	-0.294813156631	-0.258073469937	0.000427125378	0.951348182455	N\A	0.063685780142	0.227457062001	0.219683779214	0.271679545999	0.249039688316	0.337982927834	0.066931228094	0.064797408307	0.077186911359	0.073688333481	0.068166188130	33	12	
1050000	382.949844	1	0.482746947621	0.748310021779	0.748786260422	0.365534025789	1.663522931409	0.529075616234	1.152038704438	-0.017252582648	-0.006049070629	-0.136670724771	-0.157988633158	-0.127562937078	0.000316699383	0.945797753150	N\A	0.054736391553	0.224871288043	0.214275480355	0.227433984355	0.218363238848	0.296503126104	0.058148758507	0.056972562719	0.061375129629	0.061885882019	0.058847510895	36	17	
1100000	360.070752	1	0.277227612039	0.938600774822	1.066063043002	0.575986673952	1.570892658133	1.061072612037	0.834680526634	-0.192351902890	-0.198693764827	-0.236821630253	-0.320645648563	-0.372945815545	0.000225394476	0.939944722251	N\A	0.097928799771	0.333059157367	0.322323776705	0.332991310678	0.332144235163	0.368086166771	0.099673598775	0.099369141080	0.102525786694	0.104791047022	0.100891994622	37	11	
1150000	388.774486	1	0.588211473582	0.868136712070	0.803382106596	0.305584503865	1.132641136097	0.385031618953	0.596931722617	-0.124858409144	-0.134042384881	-0.138812301258	-0.243626555382	-0.205138871058	0.000270264014	0.947836642296	N\A	0.049313008380	0.193267129285	0.180590050961	0.216152068385	0.216205224654	0.271327170817	0.052982843791	0.051429811013	0.060941861555	0.062655080347	0.055413129176	31	15	
1200000	365.108953	1	0.702546015985	0.790960103313	0.568617284854	0.186880535529	1.301503228209	0.385130607458	0.445754150574	-0.058494932381	-0.018555037385	-0.067613830559	-0.183335954335	-0.174416215802	0.000229200957	0.947991277413	N\A	0.051641191511	0.200747592963	0.195916145039	0.265564105429	0.212060930438	0.266556254695	0.053895008909	0.054176825971	0.066044330704	0.064569965081	0.056185469235	33	11	
1250000	363.008366	1	1.491593631509	0.736860675334	0.526013747738	0.099405363896	1.126923460641	0.202183854149	-0.659279280388	-0.005859460507	-0.013391238210	-0.181147477356	-0.111079371019	-0.020278111372	0.000339554350	0.941878511013	N\A	0.057076387533	0.215861011698	0.206500964593	0.245477175449	0.228193035071	0.303592805481	0.060830265153	0.058980989114	0.070308430704	0.070687600774	0.062508377344	48	13	
1300000	372.047831	1	0.801988054208	0.831278866976	0.460120164149	0.282326951045	0.960656369610	0.309618607336	0.031448239950	-0.063220991028	-0.079286145788	-0.086145569376	-0.230062058009	-0.154912726455	0.000150192980	0.949584625475	N\A	0.044702574472	0.190829451980	0.172404731246	0.199134062597	0.194424356030	0.324655904546	0.048452375418	0.047653034316	0.054352396522	0.057176812370	0.048963978943	46	9	
1350000	392.606456	1	0.885705798091	0.778952454209	0.391185037975	0.165757784793	1.247081462553	-0.027686164259	0.053604157053	-0.021578225879	-0.033325246389	-0.070850315336	-0.136516584758	-0.116057230024	0.000476260795	0.952258707792	N\A	0.053930221275	0.201097623221	0.196628432486	0.239644226593	0.211118904542	0.337820983232	0.056254390870	0.055886284948	0.067078543492	0.061623618317	0.059140703720	39	16	
1400000	375.535755	1	0.788715750316	0.695740545461	0.283495446121	0.039834425812	1.205251045826	0.195290318661	0.327655714606	0.030947666472	0.012758123795	-0.085450377591	-0.126028945607	-0.114194588557	0.000248758739	0.948749545345	N\A	0.078652935579	0.221257962491	0.209960027581	0.232551772337	0.216208931518	0.277092220976	0.080810066040	0.079785067454	0.086101684325	0.083850579419	0.082482191235	34	15	
1450000	356.663464	1	0.560689132097	0.811155593878	0.606115684632	0.238695536397	1.042605694778	0.224156996871	0.961420490961	-0.062004148807	-0.093599396899	-0.121434135952	-0.198326139287	-0.180572691229	0.000575759634	0.945747239006	N\A	0.037487546072	0.229277421865	0.220509458614	0.257972920198	0.222650090665	0.364399524859	0.042174456244	0.040622047682	0.052353908036	0.046974585379	0.048341412418	34	9	
