Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-glob-004.txt
Log File Name:                   NEO_d1_m2-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1095556777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	362.328864	1	-0.214509888486	1.334418945860	1.232321773975	0.798003290465	2.425588914446	1.103977123536	1.110785588419	-0.621505897628	-0.580885577126	-0.666526369813	-0.751426900783	-0.662223566379	0.000490043964	0.953775889407	N\A	0.057012665121	0.216384663669	0.202702761393	0.240549234104	0.206188406460	0.321456236228	0.058628365495	0.059313027596	0.069821639271	0.064754241371	0.061562316284	46	19	-0.000282120395	Global Trend	
1050000	368.305982	1	-0.268063652731	1.381093142174	1.007234459609	0.724997816387	1.836832564586	0.829163476595	1.150794889300	-0.671155040243	-0.660018259495	-0.760247115366	-0.831876299308	-0.712926599960	0.000278657647	0.946668074922	N\A	0.052962994686	0.218560582947	0.197398530331	0.209564263174	0.222396897444	0.276745010869	0.057912949808	0.055018773604	0.059259507384	0.068886521997	0.058361494985	38	19	-0.000039085358	Global Trend	
1100000	361.222782	1	0.693585212240	1.260856725502	0.418880351777	0.205041883311	1.296637503908	0.181160482155	0.516944869903	-0.488757448563	-0.555255056698	-0.559579461176	-0.620649656958	-0.658805762406	0.000255731393	0.994333378479	N\A	0.047241696006	0.111347593337	0.093361317447	0.127357671335	0.148850015894	0.186578558678	0.053275357146	0.049385341589	0.052894199588	0.066292503260	0.052257774580	44	17	0.045425990120	Global Trend	
1150000	346.215600	1	0.742832586239	1.295950337558	0.675797153631	0.472945156472	1.109998911015	0.177563816233	0.459926152946	-0.603808713928	-0.567328890773	-0.659927441637	-0.682184149395	-0.639829252130	0.000631983624	0.943568893024	N\A	0.087255191090	0.136527116786	0.120240565587	0.188280079100	0.172628552796	0.232970478374	0.089431280438	0.088652387023	0.093361364336	0.098910158659	0.089582778217	44	16	-0.011684627451	Global Trend	
1200000	335.991624	1	0.990429111130	1.186853072338	0.509311861581	0.106461533558	1.077805377617	0.136357158643	0.546707532490	-0.525448825113	-0.431728475648	-0.522195487604	-0.553956803732	-0.547739235038	0.001032559475	0.986934185788	N\A	0.091272611141	0.152184365431	0.135860310602	0.163085091492	0.154819320353	0.337952689368	0.093546286168	0.092841781958	0.094928061179	0.097412511997	0.094520003720	39	13	-0.109675366586	Global Trend	
1250000	346.673354	1	1.149348331389	1.094172854422	0.499105782773	0.044294260545	0.810052046685	0.281103641965	0.352020409816	-0.398746639179	-0.377157188259	-0.347099513052	-0.550812877484	-0.427562637777	0.000532867636	0.988277633567	N\A	0.091662315280	0.138389959471	0.126783624851	0.190755435569	0.170146837841	0.266324134311	0.093489552369	0.092548278197	0.098209542197	0.098862448919	0.096221243350	39	15	-0.074877969372	Global Trend	
1300000	366.436257	1	1.040528508794	1.183401071420	0.571744353211	0.110884546218	0.749980480636	0.390241643707	0.432324332255	-0.484312094020	-0.479945476015	-0.489728661664	-0.508577694487	-0.564397186835	0.000509285656	0.956280929344	N\A	0.086778410647	0.125118878103	0.116652364411	0.183878007624	0.157780048323	0.261385240613	0.088966839846	0.087683720173	0.092613419715	0.092761768983	0.090731358207	49	11	-0.014004577389	Global Trend	
1350000	369.973032	1	0.915113151879	1.042387053218	0.366729037762	0.047840525689	0.950602890543	0.215738740143	0.227791118940	-0.280777320842	-0.292734481794	-0.352379605694	-0.489212426564	-0.403730603535	0.000422467892	0.952155327125	N\A	0.087838093497	0.158469914688	0.150003155372	0.176253602446	0.159202356592	0.248424796631	0.090135433259	0.088883311066	0.090713663362	0.090757151675	0.091609276161	51	16	-0.000825093483	Global Trend	
1400000	355.318299	1	0.229665005184	0.914986028907	0.035768110151	-0.289391226525	0.293066402831	-0.218472205412	0.962466875026	-0.183934748086	-0.188628111133	-0.179999920050	-0.321238000038	-0.269470771690	0.000235072965	0.955722710207	N\A	0.057447491476	0.102130175338	0.088051855930	0.137928440987	0.120358694122	0.189753222325	0.062390089326	0.058479558825	0.063186955279	0.064656640190	0.063751095626	55	17	0.000951146668	Global Trend	
1450000	364.919649	1	0.907149132724	0.987811585132	0.346951685059	-0.014816933498	0.887454200914	0.167630559373	0.114168268547	-0.240738895575	-0.237472852951	-0.269979966937	-0.362485838379	-0.381595958656	0.000244760580	0.989932105897	N\A	0.066686169059	0.118159522479	0.100084107372	0.141234625158	0.122603163840	0.189904281681	0.069595019266	0.068702548308	0.071778610497	0.072967047632	0.070427516782	38	18	0.042329164194	Global Trend	
1500000	353.198406	1	0.595234430932	1.100396798468	0.767221374387	0.354909086594	1.765770622293	0.565096272565	0.304766952159	-0.398068457114	-0.387286094569	-0.511559447839	-0.474953368517	-0.387057277644	0.000076013775	0.940826587269	N\A	0.101637745562	0.359462465670	0.353348143722	0.371262112934	0.356310128473	0.370763850703	0.103117173645	0.102949890848	0.108759476872	0.105929131258	0.106031412891	40	15	-0.000026753301	Global Trend	
1550000	375.959828	1	0.723728306528	0.793552692277	0.603867048772	0.210009531783	0.886029968175	0.115057493082	0.086856579929	-0.078563106398	-0.058973282871	-0.100802135455	-0.120460047625	-0.136228714348	0.000148257013	0.956197323590	N\A	0.058524020598	0.122007015375	0.114438967478	0.161200762087	0.132700594928	0.160973967348	0.060221373198	0.060123237660	0.067555017920	0.065633946746	0.064135453406	39	17	-0.000451984391	Global Trend	
1600000	367.672645	1	0.768733005882	0.831681368496	0.572516379987	0.185629839450	1.035297151244	0.249072376042	0.059216262779	-0.122846926616	-0.118159760622	-0.124027827731	-0.221085623698	-0.224976749019	0.000094257809	0.956964713683	N\A	0.049038665782	0.154560358052	0.141843882013	0.165105563268	0.169765331938	0.217945379587	0.051192282471	0.050872513954	0.058089127649	0.064251161507	0.052789921186	44	14	-0.000113289125	Global Trend	
1650000	346.669062	1	0.963765346372	0.816695022805	0.533906343295	0.028657300906	0.656397660264	-0.137767497276	0.023343363590	-0.139674863368	-0.109174675698	-0.225013339169	-0.205431832799	-0.239107579653	0.000371906419	0.998339933101	N\A	0.055256456029	0.124578954169	0.110647706769	0.189375155741	0.136083010449	0.218075310987	0.059209320868	0.058705251023	0.067993082909	0.064651864514	0.057337043982	36	13	-0.181824855235	Global Trend	
1700000	359.246263	1	0.605900551940	0.831262359560	0.195910035798	-0.111155490879	0.594588698516	-0.153077315346	0.464899213877	-0.079880808346	-0.070353128943	-0.207687290321	-0.234768699132	-0.160704932374	0.000210852411	0.948384604644	N\A	0.041841643443	0.109958734471	0.094769101328	0.194867978928	0.125683090861	0.176586899457	0.048763451722	0.044844447478	0.057095465051	0.055941169567	0.048159167278	32	13	-0.006084332758	Global Trend	
1750000	373.962660	1	0.794819939270	0.858055953874	0.135253660566	-0.335320618518	1.203769027137	-0.207417579581	0.283439040975	-0.134776015700	-0.109769087458	-0.230186351733	-0.236339088802	-0.223493171919	0.000198378709	0.952199466607	N\A	0.040733314728	0.112049934560	0.094697294096	0.132168214771	0.117793677564	0.169470605562	0.044254514806	0.043651012337	0.051340813167	0.053487091293	0.044928310780	47	11	-0.000774594652	Global Trend	
1800000	364.726003	1	0.750613180523	0.883889896589	-0.271933594347	-0.669416865718	1.049567635400	-0.418249740311	0.554631780336	-0.178195215523	-0.138445026516	-0.236784036868	-0.304912540996	-0.267869151186	0.000220005984	0.935803321275	N\A	0.044490688884	0.169247553379	0.150730962438	0.215177353851	0.209062417713	0.232810363990	0.049556282143	0.047340519491	0.055476971951	0.065995542285	0.051802989994	29	13	0.000223735630	Global Trend	
1850000	362.365418	1	0.610962823325	0.793083697850	-0.221027109545	-0.539278287628	1.666308640615	-0.046747848681	0.036632795794	-0.043041712793	-0.049497966650	-0.226389402798	-0.240671220029	-0.129719997192	0.000337533967	0.999982776862	N\A	0.039731914710	0.107424200010	0.087824099580	0.146503700757	0.130160836234	0.207535412161	0.046322315750	0.042230928377	0.051332989987	0.056201384467	0.047067691589	36	13	1.129213623352	Global Trend	
