Species_TTOL	NEO	BOD	BOD2
Anourosorex_squamipes	1.83	1.307	1.708249
Atelerix_algirus	2.708	2.867	8.219689
Blarina_brevicauda	1.837	1.267	1.605289
Chrysochloris_asiatica	2.052	1.69	2.8561
Chrysochloris_stuhlmanni	2.109	1.626	2.643876
Crocidura_attenuata	1.403	0.968	0.937024
Crocidura_flavescens	1.725	1.467	2.152089
Crocidura_hildegardeae	1.415	0.996	0.992016
Crocidura_denti	1.456	1.079	1.164241
Crocidura_russula	1.403	1.049	1.100401
Crocidura_suaveolens	1.391	1.013	1.026169
Cryptotis_parvus	1.559	0.991226075692495	0.982529133132744
Desmana_moschata	2.993	2.646	7.001316
Echinops_telfairi	1.713	1.942	3.771364
Echinosorex_gymnura	3.035	2.921	8.532241
Erinaceus_europaeus	2.72	2.929	8.579041
Euroscaptor_micrura	2.196	1.617	2.614689
Galemys_pyrenaicus	2.53	1.778	3.161284
Geogale_aurita	0.857	1	1
Hemicentetes_semispinosus	1.886	2.062	4.251844
Hemiechinus_auritus	2.486	2.371	5.621641
Hylomys_suillus	2.25	1.756	3.083536
Limnogale_mergulus	2.291	1.964	3.857296
Microgale_dobsoni	1.797	1.504	2.262016
Microgale_talazaci	1.949	1.683	2.832489
Micropotamogale_lamottei	2.16	1.808	3.268864
Micropotamogale_ruwenzorii	2.358	1.986	3.944196
Myosorex_sclateri	1.656	1.23	1.5129
Neomys_anomalus	1.771	1.037	1.075369
Neomys_fodiens	1.753	1.182	1.397124
Oryzorictes_hova	1.823	1.645	2.706025
Parascalops_breweri	2.245	1.731	2.996361
Potamogale_velox	3.021	2.791	7.789681
Ruwenzorisorex_suncoides	1.775	1.262	1.592644
Scalopus_aquaticus	2.403	2.061	4.247721
Scutisorex_somereni	1.941	1.792	3.211264
Setifer_setosus	2.135	2.373	5.631129
Solenodon_paradoxus	2.825	2.826	7.986276
Sorex_alpinus	1.658	1.033	1.067089
Sorex_araneus	1.45	0.987	0.974169
Sorex_cinereus	1.459	0.633	0.400689
Sorex_fumeus	1.681	0.924	0.853776
Sorex_hoyi	1.182	0.42	0.1764
Sorex_minutus	1.201	0.633	0.400689
Suncus_etruscus	0.851	0.762	0.580644
Suncus_murinus	1.703	1.529	2.337841
Sylvisorex_granti	1.314	0.591	0.349281
Suncus_megalura	1.378	0.74	0.5476
Talpa_europaea	2.258	1.908	3.640464
Tenrec_ecaudatus	2.436	2.935	8.614225
Aepyprymnus_rufescens	3.653213	3.392697	11.510392933809
Antechinus_flavipes	2.015779	1.568202	2.459257512804
Antechinus_minimus	2.112605	1.724276	2.973127724176
Bettongia_gaimardi	3.559068	3.176091	10.087554040281
Bettongia_penicillata	3.509606	3.079181	9.481355630761
Burramys_parvus	2.261976	1.770852	3.135916805904
Cercartetus_nanus	1.991226	1.278754	1.635211792516
Dactylopsila_trivirgata	3.324899	2.643453	6.987843763209
Dasycercus_cristicauda	2.452247	2	4
Dasyuroides_byrnei	2.400883	2.146128	4.605865392384
Dasyurus_geoffroii	3.090611	2.69897	7.2844390609
Dasyurus_hallucatus	2.810904	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.924538	3.78533	14.3287232089
Distoechurus_pennatus	2.42111	1.633468	2.668217707024
Dorcopsis	3.735359	3.462398	11.988199910404
Echymipera_kalubu	2.67587	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.825491	2.041393	4.167285380449
Hypsiprymnodon_moschatus	3.219323	2.748188	7.552537283344
Isoodon_macrourus	2.771734	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.823474	3.004321	9.025944671041
Osphranter_antilopinus	4.354185	4.537819	20.591801276761
Macropus_giganteus	4.476817	4.563481	20.825358837361
Notamacropus_irma	3.973359	3.819544	14.588916367936
Notamacropus_parma	3.824386	3.536558	12.507242487364
Notamacropus_parryi	4.144294	4.170262	17.391085148644
Osphranter_robustus	4.347545	4.409933	19.447509064489
Osphranter_rufus	4.360082	4.494155	20.197429164025
Thylamys_pallidior	2.036629	1.477121	2.181886448641
Marmosops_impavidus	2.345178	1.845098	3.404386629604
Monodelphis_brevicaudata	2.126131	1.924279	3.702849669841
Notoryctes_typhlops	2.064083	1.531479	2.345427927441
Petauroides_volans	3.110253	3.09691	9.5908515481
Petaurus_australis	3.313445	2.748188	7.552537283344
Petaurus_breviceps	2.806655	2.113943	4.468755007249
Petaurus_norfolcensis	2.949048	2.374748	5.639428063504
Petrogale_inornata	3.828724	3.628389	13.165206735321
Petrogale_lateralis	3.764251	3.556303	12.647291027809
Petrogale_penicillata	3.91981	3.690196	13.617546518416
Petrogale_purpureicollis	3.827305	3.740363	13.990315371769
Petropseudes_dahli	3.178113	3.127105	9.778785681025
Phascolarctos_cinereus	3.804071	3.968483	15.748857321289
Planigale_ingrami	0.974972	0.826075	0.682399905625
Planigale_maculata	1.414973	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	3.462398	3.089905	9.547512909025
Pseudochirulus_canescens	2.769156	2.447158	5.988582276964
Pseudochirulus_forbesi	2.93892	2.70757	7.3309353049
Sarcophilus_harrisii	3.581153	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.725095	1.146128	1.313609392384
Sminthopsis_leucopus	1.864511	1.361728	1.854303145984
Phalanger_gymnotis	3.547036	3.451786	11.914826589796
Thylacinus_cynocephalus	4.326295	4.342423	18.856637510929
Thylogale_billardierii	3.925776	3.845098	14.784778629604
Thylogale_stigmatica	3.829368	3.653213	13.345965223369
Trichosurus_vulpecula	3.523356	3.30103	10.8967990609
Vombatus_ursinus	4.31161	4.357935	18.991597464225
Wallabia_bicolor	4.162594	4.198657	17.628720603649
Balionycteris_maculata	2.13	1.158	1.340964
Casinycteris_argynnis	2.369	1.428	2.039184
Chironax_melanocephalus	2.226	1.248	1.557504
Cynopterus_brachyotis	2.459	1.53	2.3409
Cynopterus_horsfieldii	2.636	1.773	3.143529
Cynopterus_sphinx	2.547	1.713	2.934369
Dobsonia_inermis	2.922	2.173	4.721929
Dobsonia_moluccensis	3.18	2.543	6.466849
Dobsonia_praedatrix	2.97	2.25	5.0625
Eidolon_helvum	3.148	2.418	5.846724
Eonycteris_spelaea	2.584	1.769	3.129361
Epomophorus_labiatus	2.664	1.806	3.261636
Epomops_franqueti	2.789	2.072	4.293184
Hypsignathus_monstrosus	3.024	2.491	6.205081
Macroglossus_minimus	2.192	1.164	1.354896
