Species_TTOL	NEO	rest_of_brain
Anourosorex_squamipes	1.83	2.5613393948666
Atelerix_algirus	2.708	3.45937494595256
Blarina_brevicauda	1.837	2.56526016953364
Chrysochloris_asiatica	2.052	2.8124927980164
Chrysochloris_stuhlmanni	2.109	2.83356529108882
Crocidura_attenuata	1.403	2.29369840905507
Crocidura_flavescens	1.725	2.58207746336137
Crocidura_hildegardeae	1.415	2.30064063157812
Crocidura_denti	1.456	2.36479451634544
Crocidura_russula	1.403	2.26471093422473
Crocidura_suaveolens	1.391	2.25063238800831
Cryptotis_parvus	1.559	2.36248471949945
Desmana_moschata	2.993	3.55635615102067
Echinops_telfairi	1.713	2.74834886210844
Echinosorex_gymnura	3.035	3.7443098228403
Erinaceus_europaeus	2.72	3.47896517613914
Euroscaptor_micrura	2.196	2.88161190363473
Galemys_pyrenaicus	2.53	3.0873915761491
Geogale_aurita	0.857	2.08153227068238
Hemicentetes_semispinosus	1.886	2.87971667978679
Hemiechinus_auritus	2.486	3.22302557506589
Hylomys_suillus	2.25	3.04265473490601
Limnogale_mergulus	2.291	3.01708868959485
Microgale_dobsoni	1.797	2.70344201843958
Microgale_talazaci	1.949	2.85130596152045
Micropotamogale_lamottei	2.16	2.86835860528116
Micropotamogale_ruwenzorii	2.358	3.0239960099372
Myosorex_sclateri	1.656	2.52863027572128
Neomys_anomalus	1.771	2.4253493121911
Neomys_fodiens	1.753	2.4844525337294
Oryzorictes_hova	1.823	2.72555444984195
Parascalops_breweri	2.245	2.9176407015745
Potamogale_velox	3.021	3.58573403914356
Ruwenzorisorex_suncoides	1.775	2.54319142403048
Scalopus_aquaticus	2.403	3.09133564705225
Scutisorex_somereni	1.941	2.77648055519446
Setifer_setosus	2.135	3.13780347988815
Solenodon_paradoxus	2.825	3.63091110993978
Sorex_alpinus	1.658	2.39429748323639
Sorex_araneus	1.45	2.30376222600923
Sorex_cinereus	1.459	2.19894571979351
Sorex_fumeus	1.681	2.35557876339451
Sorex_hoyi	1.182	1.95473569737117
Sorex_minutus	1.201	2.03191366086741
Suncus_etruscus	0.851	1.76381793243763
Suncus_murinus	1.703	2.54992986543294
Sylvisorex_granti	1.314	2.19026550669
Suncus_megalura	1.378	2.24721153694055
Talpa_europaea	2.258	2.9763963558453
Tenrec_ecaudatus	2.436	3.35823796436117
Aepyprymnus_rufescens	3.653213	4.0785367274352
Antechinus_flavipes	2.015779	2.78774994860876
Antechinus_minimus	2.112605	2.86153430048589
Bettongia_gaimardi	3.559068	4.04663551459762
Bettongia_penicillata	3.509606	3.98021273823091
Burramys_parvus	2.261976	2.92464113314859
Cercartetus_nanus	1.991226	2.67775290596171
Dactylopsila_trivirgata	3.324899	3.76646475332113
Dasycercus_cristicauda	2.452247	3.16814378922862
Dasyuroides_byrnei	2.400883	3.1709361619783
Dasyurus_geoffroii	3.090611	3.70221513935253
Dasyurus_hallucatus	2.810904	3.45874340368618
Dendrolagus_lumholtzi	3.924538	4.32056441398414
Distoechurus_pennatus	2.42111	2.99668674974598
Dorcopsis	3.735359	4.18833195300086
Echymipera_kalubu	2.67587	3.52847956017657
Gymnobelideus_leadbeateri	2.825491	3.34769853893654
Hypsiprymnodon_moschatus	3.219323	3.74212014161771
Isoodon_macrourus	2.771734	3.58290385753117
Isoodon_obesulus_obesulus	2.823474	3.62554911049539
Osphranter_antilopinus	4.354185	4.71459609027679
Macropus_giganteus	4.476817	4.77506983526938
Notamacropus_irma	3.973359	4.36841530467472
Notamacropus_parma	3.824386	4.20117855029655
Notamacropus_parryi	4.144294	4.51970786965636
Osphranter_robustus	4.347545	4.66347772236744
Osphranter_rufus	4.360082	4.6959083965357
Thylamys_pallidior	2.036629	2.76345797589405
Marmosops_impavidus	2.345178	3.05568408388292
