Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m5-bm-001.txt
Log File Name:                   NEO_d1_m5-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3639240512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m5-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	566.690794	1	-1.013634129419	1.119518995505	-0.000775428919	0.000092993510	0.982156161607	N\A	0.032997523828	0.004805671826	
1050000	565.079543	1	-0.957275605367	1.095789035479	0.001154504517	0.000093868742	0.981988219836	N\A	0.033152442414	0.004828233758	
1100000	566.538657	1	-1.017691717427	1.118251068216	-0.000057468155	0.000093075801	0.982140371458	N\A	0.033012120480	0.004807797644	
1150000	564.750455	1	-1.002190577944	1.129729161303	-0.004710295849	0.000094048513	0.981953724839	N\A	0.033184172936	0.004832854907	
1200000	566.635424	1	-1.036512962293	1.140796741047	-0.004911371239	0.000093023451	0.982150416433	N\A	0.033002835501	0.004806445404	
1250000	566.826070	1	-1.077028986623	1.151263077463	-0.004400635323	0.000092920400	0.982170190068	N\A	0.032984550288	0.004803782394	
1300000	566.861427	1	-1.101180431101	1.168315410381	-0.007209383620	0.000092901301	0.982173854829	N\A	0.032981160271	0.004803288681	
1350000	564.171567	1	-1.034984956235	1.151883616114	-0.008236207311	0.000094365579	0.981892885473	N\A	0.033240062734	0.004840994549	
1400000	566.201977	1	-1.116885079455	1.186747285824	-0.011149992722	0.000093258170	0.982105377956	N\A	0.033044446023	0.004812505450	
1450000	566.254598	1	-1.024493348161	1.136129681519	-0.004613161235	0.000093229643	0.982110851795	N\A	0.033039391605	0.004811769338	
1500000	566.047863	1	-1.042532660125	1.126578503566	-0.000294330233	0.000093341768	0.982089337008	N\A	0.033059253419	0.004814661960	
1550000	565.458813	1	-1.116516429493	1.166707430173	-0.005412544156	0.000093661984	0.982027893019	N\A	0.033115911100	0.004822913435	
1600000	565.522802	1	-1.110070729598	1.162937416079	-0.004887785755	0.000093627145	0.982034577995	N\A	0.033109751564	0.004822016376	
1650000	566.498470	1	-1.000982097064	1.113968142987	-0.000277779862	0.000093097550	0.982136198097	N\A	0.033015977320	0.004808359344	
1700000	566.806289	1	-1.093615591847	1.170637413820	-0.008535869644	0.000092931087	0.982168139419	N\A	0.032986447049	0.004804058634	
1750000	566.691384	1	-1.056311553459	1.138214850423	-0.002445992416	0.000092993191	0.982156222799	N\A	0.032997467248	0.004805663586	
1800000	565.643017	1	-1.154589229266	1.195243020466	-0.010316488780	0.000093561730	0.982047130067	N\A	0.033098182991	0.004820331560	
1850000	565.390868	1	-1.018496118626	1.137195725477	-0.005441706095	0.000093698991	0.982020792153	N\A	0.033122452582	0.004823866119	
1900000	565.774050	1	-1.086913193905	1.150019127474	-0.003182788311	0.000093490480	0.982060801668	N\A	0.033085578005	0.004818495803	
1950000	567.041139	1	-1.072954348166	1.151963861588	-0.004956797495	0.000092804285	0.982192470533	N\A	0.032963934790	0.004800780008	
2000000	563.876035	1	-1.026583818361	1.109412712932	0.003260531086	0.000094527858	0.981861746881	N\A	0.033268631729	0.004845155262	
2050000	563.565909	1	-1.213983504961	1.237003548586	-0.017173413084	0.000094698451	0.981829013104	N\A	0.033298637846	0.004849525273	
2100000	565.308472	1	-0.956032903264	1.087876879245	0.003324341464	0.000093743888	0.982012177174	N\A	0.033130387166	0.004825021690	
2150000	567.049528	1	-1.063533126593	1.146600448832	-0.004232102322	0.000092799759	0.982193339078	N\A	0.032963130888	0.004800662930	
2200000	566.413553	1	-1.094209856704	1.174672052655	-0.009645761811	0.000093143524	0.982127376477	N\A	0.033024128397	0.004809546445	
2250000	566.985662	1	-1.090504097241	1.163029760906	-0.006616244161	0.000092834224	0.982186725894	N\A	0.032969251379	0.004801554302	
2300000	563.760592	1	-1.211252159303	1.229939387814	-0.015377195333	0.000094591325	0.981849568718	N\A	0.033279798262	0.004846781526	
2350000	565.393006	1	-0.962716797408	1.088743735151	0.003656125634	0.000093697826	0.982021015614	N\A	0.033122246744	0.004823836141	
2400000	566.817869	1	-1.100179258513	1.166504974392	-0.006775235881	0.000092924831	0.982169339906	N\A	0.032985336664	0.004803896920	
2450000	566.759891	1	-1.035192797050	1.138658521204	-0.004410599331	0.000092956160	0.982163328470	N\A	0.032990896541	0.004804706646	
2500000	564.841761	1	-1.087289791936	1.146258193813	-0.002067252401	0.000093998601	0.981963302110	N\A	0.033175366243	0.004831572324	
2550000	565.421670	1	-1.156080238830	1.207894210348	-0.013829105301	0.000093682212	0.982024011601	N\A	0.033119486912	0.004823434206	
