Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m6-glob-002.txt
Log File Name:                   NEO_d1_m6-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4245843219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m6-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	645.620197	1	-0.997898620221	1.098390921377	-0.023240492761	0.000073970436	0.992181613015	N\A	0.016307652230	0.011266971826	37	3	-0.000537130473	Global Trend	
1050000	655.508847	1	-1.019835257437	1.122233294786	-0.029002175551	0.000100324210	0.994172416778	N\A	0.015774729532	0.010603381866	44	4	0.003071264176	Global Trend	
1100000	662.277898	1	-0.980975662969	1.128617074194	-0.035760491942	0.000040684871	0.993159300362	N\A	0.012728613651	0.008654647761	44	2	0.003074801717	Global Trend	
1150000	653.334569	1	-0.858434843280	1.113605234972	-0.028461295631	0.000023295123	0.994570273279	N\A	0.005954509179	0.004144807726	44	3	0.002882933079	Global Trend	
1200000	654.280753	1	-0.934169819765	1.143900302827	-0.031723245915	0.000031094744	0.990988060340	N\A	0.018471845843	0.012659110967	48	1	0.002863581033	Global Trend	
1250000	649.584221	1	-1.005634855928	1.168417333619	-0.049756361411	0.000110660869	0.992581246060	N\A	0.017411915637	0.011900848372	45	1	0.004707212505	Global Trend	
1300000	658.739628	1	-0.861552675273	1.125863020583	-0.025728902208	0.000025343994	0.991996138224	N\A	0.016282522872	0.011704761790	39	1	0.003929240335	Global Trend	
1350000	654.502893	1	-0.899441037871	1.132435495459	-0.025336721870	0.000053699456	0.991164717950	N\A	0.017591062231	0.012411029301	37	3	0.005639816480	Global Trend	
1400000	646.406489	1	-0.721016829108	1.093291165349	-0.007690820594	0.000076737097	0.997582676151	N\A	0.013023237628	0.009328671756	33	2	0.012584827042	Global Trend	
1450000	656.534045	1	-0.894531919020	1.157358605592	-0.044511606440	0.000068996579	0.992937253374	N\A	0.017152185583	0.012125229269	40	3	0.007876771815	Global Trend	
1500000	640.933792	1	-0.973605095993	1.162984880812	-0.053625004905	0.000037960831	0.989452265992	N\A	0.018506310952	0.012751838215	40	2	0.004486263329	Global Trend	
1550000	662.348536	1	-0.982495462639	1.176462509279	-0.054225604913	0.000019947839	0.993128948766	N\A	0.017200086686	0.011506700057	42	1	0.002169597884	Global Trend	
1600000	644.312649	1	-0.911469849859	1.119259069861	-0.026564537558	0.000065177230	0.992266605766	N\A	0.013757128629	0.009507741086	38	2	0.001251890662	Global Trend	
1650000	654.222096	1	-0.824868267606	1.123525483301	-0.025888354052	0.000024389181	0.993058109005	N\A	0.015432055084	0.011136869453	40	2	0.004003851654	Global Trend	
1700000	663.606137	1	-0.812714850035	1.118607853186	-0.027199609393	0.000021022447	0.994148808562	N\A	0.012740604706	0.009195327856	40	2	0.003709441158	Global Trend	
1750000	658.926244	1	-0.916365444604	1.157518534516	-0.038210290423	0.000020509662	0.993277152714	N\A	0.015135939011	0.010578698757	41	2	0.003851005112	Global Trend	
1800000	655.668652	1	-0.943619124224	1.157664809678	-0.041041089651	0.000045429794	0.992966816363	N\A	0.014607153452	0.010077199127	40	2	0.003916961251	Global Trend	
1850000	661.486395	1	-1.118184764965	1.138687168491	-0.036047131462	0.000048989448	0.991975980282	N\A	0.015875274787	0.011056448613	45	5	-0.001599859217	Global Trend	
1900000	644.937732	1	-1.079956556284	1.158619917070	-0.062577611947	0.000056771993	0.990946859282	N\A	0.018423398989	0.012501561222	41	5	-0.000302082257	Global Trend	
1950000	659.221662	1	-0.995665167347	1.122766405239	-0.023179420500	0.000053716942	0.991488829178	N\A	0.018060243900	0.012386265874	46	5	0.003598723645	Global Trend	
2000000	654.382113	1	-1.054291521884	1.116867414455	-0.031837058310	0.000065723854	0.992018833445	N\A	0.014569454681	0.010311935948	31	6	-0.002370731235	Global Trend	
2050000	645.838451	1	-0.967728632473	1.096422433284	-0.012424577470	0.000089392429	0.993516629598	N\A	0.013243106497	0.009561196574	34	4	0.001360818580	Global Trend	
2100000	645.267382	1	-0.963908942533	1.165000327351	-0.059314164199	0.000212109505	0.992101130684	N\A	0.016071504913	0.010703825990	34	2	0.009737280724	Global Trend	
2150000	638.253184	1	-0.891891618242	1.120205495422	-0.020090203359	0.000232072822	0.990584801878	N\A	0.016094481941	0.011085905769	33	2	0.011160007799	Global Trend	
2200000	644.541963	1	-0.952573174762	1.117894285182	-0.033950666358	0.000129231996	0.993116580461	N\A	0.012638827259	0.009183275140	40	5	0.006544614051	Global Trend	
2250000	654.739790	1	-0.896839595464	1.103445213504	-0.005010601779	0.000024066585	0.991750552572	N\A	0.016671285157	0.011718978883	35	3	0.001543927666	Global Trend	
2300000	647.640679	1	-0.976632519220	1.152715628507	-0.045066025662	0.000051328906	0.991614304156	N\A	0.017820301174	0.012104295180	35	1	0.002995825605	Global Trend	
2350000	639.227899	1	-0.871186790609	1.126275218413	-0.037080923242	0.000079295133	0.992552343684	N\A	0.013485750472	0.009568096931	35	1	0.004804503569	Global Trend	
2400000	649.212254	1	-1.027883706651	1.196250265478	-0.074470958398	0.000028180431	0.991255917889	N\A	0.019459894925	0.013298673475	39	2	0.001382633500	Global Trend	
2450000	645.362205	1	-0.930136282489	1.171126667850	-0.053227168198	0.000082928425	0.991175148044	N\A	0.017040286402	0.012130762226	50	2	0.008151201733	Global Trend	
2500000	648.270465	1	-0.889715888694	1.110455274420	-0.014241353981	0.000070155257	0.993125004049	N\A	0.016815950073	0.010454672832	43	2	0.003442892286	Global Trend	
2550000	639.564095	1	-0.962527491410	1.138586125426	-0.018526216676	0.000099420523	0.990880852758	N\A	0.017642546305	0.012239332461	34	4	0.006011731576	Global Trend	
2600000	656.950523	1	-0.883177897465	1.129712967066	-0.023348924580	0.000029393502	0.992104685360	N\A	0.015308563262	0.010817756195	43	1	0.004517840107	Global Trend	
