Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m7-glob-004.txt
Log File Name:                   NEO_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4177588168
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	653.903276	1	-0.836385612835	1.133754535666	-0.018897708336	-0.004270332840	0.000186326251	0.993061009316	N\A	0.014402523823	0.010982922276	0.001554931822	47	7	0.000689737758	Global Trend	
1050000	659.876899	1	-0.096881220028	1.105617007373	0.003290982169	-0.004247953965	0.000267729137	0.994465070485	N\A	0.014585651681	0.013990670607	0.001304805542	48	4	0.026407959640	Global Trend	
1100000	651.259136	1	-0.115588322905	1.123740672091	-0.018656969030	-0.003083732921	0.000324715191	0.994253618678	N\A	0.014254641353	0.014669431415	0.001549818017	35	3	0.060921826620	Global Trend	
1150000	649.854716	1	-0.208334801423	1.141157525424	-0.012456866092	-0.004239346293	0.000479681355	0.993410036947	N\A	0.016864351650	0.015835651478	0.001704348229	44	5	0.032629587846	Global Trend	
1200000	652.021586	1	-0.185917149992	1.155092013964	-0.037577050418	-0.001214245942	0.000536495161	0.993127564627	N\A	0.017368474617	0.016716177614	0.001831010385	36	4	0.056399384330	Global Trend	
1250000	665.707931	1	-0.174748835490	1.133306525954	-0.027410795939	0.001118419204	0.000328003435	0.994575596333	N\A	0.015811286921	0.015642930169	0.001728849790	41	6	0.053127356069	Global Trend	
1300000	653.040925	1	-0.196878441189	1.135620797317	-0.014476817283	-0.005037207282	0.000249617642	0.992635780493	N\A	0.015186212350	0.014580824128	0.001780291568	46	5	0.020545349646	Global Trend	
1350000	661.612763	1	-0.190987459810	1.147830046232	-0.014490277332	-0.004584004306	0.000288675360	0.993377445420	N\A	0.016113712484	0.015062041361	0.001606476835	39	3	0.032680339271	Global Trend	
1400000	653.808991	1	-0.651663455410	1.118312594668	0.003303093902	-0.004973434411	0.000324240173	0.992705918805	N\A	0.017407883210	0.015947575770	0.001658654504	35	5	0.037125543512	Global Trend	
1450000	657.939629	1	-0.237327088705	1.161227958567	-0.024188520094	-0.004424663954	0.000056274676	0.991847719539	N\A	0.018796083337	0.017438464044	0.002035210062	48	4	0.002347047331	Global Trend	
1500000	647.492357	1	-0.153118626123	1.131125393573	-0.018299975323	-0.001475009240	0.000016019602	0.993202181078	N\A	0.015741351786	0.015367358387	0.001910221117	44	4	0.001248496804	Global Trend	
1550000	655.040959	1	-0.186697097564	1.141777495121	0.011788391364	-0.008763136976	0.000018261281	0.993267546385	N\A	0.015518447667	0.014914271347	0.001884941963	46	5	0.001567480618	Global Trend	
1600000	651.709993	1	-0.136056484703	1.114232145178	-0.001441910148	-0.002162619905	0.000027337306	0.992791050592	N\A	0.014926556068	0.014669274441	0.001846361019	48	3	0.003330647866	Global Trend	
