Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-VR-004.txt
Log File Name:                   NEO_d1_m8-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3394630248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	640.263362	1	-1.256212091159	1.279743131930	-0.017600344852	-0.044887012389	0.000154110694	0.992495304957	N\A	0.028287873360	0.002903437484	0.011141907065	61	28	
1050000	642.954118	1	-1.083685535047	1.203452203636	-0.011521237032	-0.025557610938	0.000144013715	0.993454167523	N\A	0.025822149046	0.002528178729	0.008931179497	45	34	
1100000	654.064727	1	-1.240198149171	1.268660172250	-0.015319204926	-0.047623363210	0.000069108324	0.992927047653	N\A	0.027247704265	0.002532459395	0.009684426405	47	21	
1150000	645.405107	1	-1.198781509703	1.249198891035	-0.014852420601	-0.031707250509	0.000077146785	0.992797090541	N\A	0.026006880247	0.002435484790	0.009326380265	42	27	
1200000	633.595199	1	-1.319403684768	1.301545786020	-0.018272881421	-0.050678065449	0.000106124726	0.992620413482	N\A	0.029577630301	0.002710126954	0.010534150629	45	17	
1250000	640.820059	1	-1.133454377316	1.210641865349	-0.011361484266	-0.029769068579	0.000067332272	0.994419009990	N\A	0.023727181729	0.002186014912	0.007915790455	54	25	
1300000	649.661858	1	-1.136571654919	1.205900187558	-0.010476021939	-0.035790251945	0.000092478804	0.994767956287	N\A	0.024312719835	0.002289277155	0.007845859752	35	29	
1350000	631.667313	1	-1.306195713695	1.268672540845	-0.015910337974	-0.038433290401	0.000073646606	0.991652516718	N\A	0.027150929837	0.002834094577	0.011364446735	42	30	
1400000	635.417406	1	-1.231533323648	1.268100031482	-0.016316944281	-0.045783189056	0.000053733678	0.994933653478	N\A	0.024408303640	0.002196802915	0.007721121931	56	23	
1450000	643.186217	1	-1.177526681749	1.234580814231	-0.012554022069	-0.036440137769	0.000030201614	0.993155929847	N\A	0.025196727196	0.002726424417	0.007781509184	47	32	
1500000	638.975854	1	-1.110009854644	1.189149513069	-0.009033158842	-0.034701160355	0.000025630840	0.994426481047	N\A	0.024327054584	0.002195028112	0.008347757565	41	24	
1550000	631.797353	1	-1.279720418696	1.296382616762	-0.018432297886	-0.054125853853	0.000030953850	0.991329669892	N\A	0.029206402166	0.002705022524	0.010790974714	50	31	
1600000	650.404370	1	-1.155824803231	1.220481591558	-0.013777176043	-0.027950009623	0.000057661144	0.993487954820	N\A	0.024612640706	0.002225753520	0.008908995951	53	24	
1650000	630.264489	1	-1.170303089580	1.195865222562	-0.009281254117	-0.033189823317	0.000057072419	0.993339757736	N\A	0.025783072471	0.002335077693	0.008414439573	50	24	
1700000	648.321249	1	-1.142278985800	1.225155866999	-0.010934267083	-0.044782320509	0.000085608713	0.993872307764	N\A	0.026219409136	0.002515077942	0.010377471696	47	35	
1750000	653.861259	1	-1.184180008332	1.213887368352	-0.010956558398	-0.034117275706	0.000043240994	0.993963031218	N\A	0.023156375505	0.002267399009	0.009631401872	44	31	
1800000	632.902957	1	-1.220426875497	1.276670025945	-0.016870361913	-0.041019811329	0.000100815292	0.993300627762	N\A	0.027282643350	0.002525548462	0.009626686192	52	32	
1850000	642.202170	1	-1.085111769062	1.200486633619	-0.010420944929	-0.028895281499	0.000201518740	0.993063529443	N\A	0.027491181501	0.002465387436	0.009629948385	58	16	
1900000	641.913897	1	-1.156034335125	1.226964683290	-0.011479653155	-0.045638884973	0.000090593731	0.992825284691	N\A	0.029001561540	0.002783594272	0.010674967654	35	36	
1950000	655.916091	1	-1.166664018458	1.213030944160	-0.011098775318	-0.034922107338	0.000071977871	0.993509091024	N\A	0.025295902770	0.002289863983	0.009866211778	44	28	
2000000	645.512479	1	-1.183685744804	1.233213568836	-0.015172698875	-0.020371136034	0.000069379856	0.993242435375	N\A	0.026222761355	0.002371414650	0.009121779968	56	24	
2050000	632.731570	1	-1.171198809767	1.219231425497	-0.011645535687	-0.043038134426	0.000072427856	0.992590641374	N\A	0.025748401171	0.002431150192	0.009606026029	60	30	
2100000	653.706363	1	-1.139690448365	1.196015270101	-0.009355562557	-0.038015694033	0.000058896804	0.994400052949	N\A	0.023440375982	0.002118530249	0.008105639384	53	26	
2150000	645.003531	1	-1.272303121978	1.258241995194	-0.012143470799	-0.064630954332	0.000091121784	0.994460249939	N\A	0.023449142728	0.002483473313	0.008814575849	46	30	
2200000	642.193759	1	-1.102436140194	1.200612995414	-0.008581007554	-0.036513940868	0.000054535473	0.992373384385	N\A	0.028790360977	0.002666082423	0.010913122209	44	23	
2250000	627.101425	1	-1.195824909511	1.234729463819	-0.011863595134	-0.050514066501	0.000103546159	0.994088791673	N\A	0.025533788465	0.002323503680	0.008483700081	46	26	
2300000	658.106119	1	-1.275573780280	1.253709953422	-0.015045294117	-0.034780572744	0.000080731148	0.993965988196	N\A	0.025536190261	0.002344446822	0.008524348429	44	29	
2350000	643.086860	1	-1.177914811095	1.234840340714	-0.011549028255	-0.049772706548	0.000038955587	0.992027853371	N\A	0.030280572500	0.002747729043	0.010774624143	43	37	
2400000	660.537800	1	-1.342418415033	1.290927256164	-0.016887889433	-0.056434596489	0.000169764871	0.995026237113	N\A	0.021709322016	0.001954248151	0.007814837231	70	28	
2450000	641.651122	1	-1.155468093866	1.211649966284	-0.011447473609	-0.032161876366	0.000083813246	0.993762883868	N\A	0.025891023715	0.002383795564	0.009168676593	49	32	
2500000	636.190640	1	-1.158993769880	1.220643939103	-0.010966316458	-0.033121448711	0.000056120456	0.992918581608	N\A	0.027412656699	0.002493419452	0.009734621285	52	35	
2550000	633.707389	1	-1.216595872174	1.254761675037	-0.014395561063	-0.045510732069	0.000084488817	0.992986743381	N\A	0.026192750764	0.002400450469	0.009081749586	37	32	
2600000	643.959049	1	-1.126285191939	1.197727374638	-0.008739646179	-0.034880130417	0.000025712078	0.992905304646	N\A	0.025212342562	0.002317767067	0.009281997896	51	28	
2650000	644.591929	1	-1.097365711344	1.172142924087	-0.006795235458	-0.033044561700	0.000048272623	0.991718065785	N\A	0.027315889432	0.002826748465	0.012219551808	47	30	
2700000	639.990058	1	-1.150001222438	1.205797362914	-0.010162131363	-0.036318102987	0.000059269466	0.994417192398	N\A	0.023532027962	0.002113930037	0.007853594673	48	36	
2750000	649.391626	1	-1.145417259519	1.206077626774	-0.010751914061	-0.034948926527	0.000056939266	0.994854926466	N\A	0.024433291602	0.002233597095	0.008488129061	43	28	
2800000	648.445838	1	-1.226864769634	1.272338884511	-0.015963012164	-0.046711582072	0.000044033600	0.994370835891	N\A	0.024770286477	0.002228525201	0.008538712923	48	34	
2850000	628.732402	1	-1.197099209934	1.243051152085	-0.012180858690	-0.050170771354	0.000062170334	0.991869283861	N\A	0.028136390590	0.002612988197	0.011119462168	47	34	
2900000	635.196189	1	-1.239670869929	1.231710643091	-0.012183989529	-0.038565260081	0.000022621478	0.993290390324	N\A	0.026703391005	0.002386389723	0.008792576840	50	29	
2950000	646.017155	1	-1.316242422274	1.287084021951	-0.018309620757	-0.039048242901	0.000043533043	0.993931931370	N\A	0.024769859790	0.002220942230	0.008816671166	44	33	
3000000	650.922826	1	-1.190190176285	1.250604713490	-0.013035562842	-0.041585970431	0.000057251402	0.992175556833	N\A	0.026118705826	0.002789460005	0.010592150064	42	31	
3050000	655.470546	1	-1.184682051400	1.215565136407	-0.010778392261	-0.036754221920	0.000024692134	0.994117880425	N\A	0.025845645123	0.002583944596	0.009507263737	55	32	
