Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-fab-004.txt
Log File Name:                   NEO_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1836151085
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	666.474112	1	-0.341254330186	1.200977329636	-0.008915478223	-0.041216826939	0.000071952103	0.993879235014	N\A	0.026829743394	0.002541564983	0.010090276346	45	12	
1050000	664.064767	1	-0.237716312210	1.213814559384	-0.011327309654	-0.032820960439	0.000058310285	0.994005770541	N\A	0.025403821685	0.002413252420	0.010167125749	38	12	
1100000	656.204802	1	-0.211086502360	1.178451085804	-0.010942065801	-0.012315650437	0.000055172160	0.994482741132	N\A	0.022934259488	0.002060679870	0.008654890497	41	11	
1150000	659.027545	1	-0.240362529788	1.203540096881	-0.010208855794	-0.034938596969	0.000050676087	0.994936348778	N\A	0.022385358669	0.002125435129	0.008096471688	40	10	
1200000	653.167939	1	-0.459595701664	1.325423695861	-0.020153518613	-0.065178868558	0.000054880458	0.991746551152	N\A	0.032643113986	0.003177605479	0.012512709290	35	11	
1250000	670.432728	1	-0.346138371233	1.286883875270	-0.018628693349	-0.039274928145	0.000020514019	0.992980327144	N\A	0.025816409444	0.002661380033	0.009930573935	36	12	
1300000	660.162793	1	-0.211897057622	1.229340017615	-0.011103876513	-0.033631040700	0.000022569222	0.992565548474	N\A	0.029006779481	0.002927145772	0.010830494216	37	11	
1350000	666.710536	1	-0.180076744962	1.249915445605	-0.014094759006	-0.043915263872	0.000031673196	0.993163860903	N\A	0.027334587368	0.002599634248	0.009989947790	55	11	
1400000	670.255270	1	-0.101019896674	1.190248327360	-0.009942939243	-0.020942052498	0.000011768526	0.993445264581	N\A	0.025182126424	0.002491018372	0.008785303292	46	11	
1450000	661.526276	1	-0.103188954953	1.200440475056	-0.010482978996	-0.030665559130	0.000038940848	0.993371301199	N\A	0.027810801542	0.002568156513	0.009983229342	36	11	
1500000	659.790785	1	-0.160297866862	1.207006108999	-0.010737231060	-0.026270806817	0.000016582955	0.992898883963	N\A	0.027562394627	0.002495643459	0.009391713341	32	12	
