Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-VR-006.txt
Log File Name:                   NEO_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            864253674
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	654.785493	1	-1.425822943395	1.367971482946	-0.025725997919	-0.112169519369	0.010623109119	0.000094602359	0.993353688127	N\A	0.051879922419	0.005281119832	0.026587257070	0.003556167459	48	28	
1050000	643.909544	1	-1.353713294929	1.358988297777	-0.024037134918	-0.102269767889	0.007428540056	0.000057974618	0.992603478149	N\A	0.059605827900	0.005864290591	0.030401649188	0.003966139007	40	27	
1100000	655.384883	1	-1.652227230569	1.605929632753	-0.048945391432	-0.241364878397	0.028259170275	0.000037444443	0.991855302809	N\A	0.059950520968	0.006242138444	0.029755992629	0.004120842709	55	29	
1150000	654.640545	1	-1.659365688653	1.546966528616	-0.042601565723	-0.179917607199	0.019123840227	0.000016881824	0.992171837745	N\A	0.056769470834	0.005898428415	0.029164758354	0.003984850885	55	31	
1200000	647.084824	1	-1.556449654124	1.507367458087	-0.040595993399	-0.178887273524	0.018585373138	0.000020236033	0.990862957882	N\A	0.059489830463	0.006251260893	0.029873207860	0.004154088311	52	22	
1250000	636.029719	1	-1.563383851151	1.511453729545	-0.041550596460	-0.167920237575	0.020214740954	0.000018282810	0.991785437403	N\A	0.059047885973	0.006337392942	0.029692149682	0.004131726608	51	25	
1300000	640.643623	1	-1.459183669303	1.433882174182	-0.031689397303	-0.134070477027	0.013365349392	0.000020440464	0.989707684285	N\A	0.057184297594	0.006086804957	0.029084552300	0.004021813701	49	22	
1350000	639.570697	1	-1.390738863760	1.430273245472	-0.034500964932	-0.141394995126	0.016651868200	0.000016479071	0.990757217730	N\A	0.066159307715	0.007654586496	0.032379157685	0.004943928793	42	23	
1400000	644.559169	1	-1.504105972870	1.531804370153	-0.046892760593	-0.164180950986	0.020416066842	0.000021919808	0.992585563946	N\A	0.062729587533	0.006977860839	0.030138123773	0.004353449266	53	28	
1450000	636.746658	1	-1.503969663251	1.471266879708	-0.035870335289	-0.161464600780	0.015719841836	0.000020550315	0.992942307577	N\A	0.057188181310	0.005398767639	0.029393038928	0.003605836281	40	32	
1500000	662.274846	1	-1.542172598713	1.486839670868	-0.037012855326	-0.172644790516	0.018879552510	0.000017811104	0.992619434503	N\A	0.051421454226	0.005621832643	0.026097836735	0.003827773514	60	31	
1550000	644.966447	1	-1.468187423260	1.414372255545	-0.031521081358	-0.125917103851	0.013453730897	0.000025447060	0.994253790147	N\A	0.053012344103	0.005076315324	0.028534820292	0.003699528759	56	25	
1600000	638.819023	1	-1.602121837980	1.545294584037	-0.046333181569	-0.210456475881	0.027260744993	0.000042860996	0.991891595201	N\A	0.062817067236	0.006717947986	0.031456953087	0.004527604971	37	30	
1650000	650.370024	1	-1.354235021559	1.381450487903	-0.027102072610	-0.110263318702	0.008484112253	0.000024352984	0.994337156954	N\A	0.056844427998	0.005414541598	0.028998285780	0.003596989140	37	22	
1700000	637.949809	1	-1.312376232208	1.355839720592	-0.024632001916	-0.133374555693	0.013888744243	0.000044396706	0.995416389905	N\A	0.041294395867	0.004348403861	0.021097134518	0.002944142770	55	33	
1750000	641.441518	1	-1.551355805524	1.519303653902	-0.042283417964	-0.192509036816	0.022737799603	0.000031640549	0.992129559151	N\A	0.057337231997	0.005774917667	0.029732337266	0.003925984174	47	35	
1800000	631.923064	1	-1.361613096731	1.406734699132	-0.028877988534	-0.137791893008	0.014450561807	0.000076748595	0.991003059685	N\A	0.057393357053	0.005980774441	0.029474990843	0.004105065154	42	26	
1850000	626.068087	1	-1.466640394344	1.462689416141	-0.033567307717	-0.169944952401	0.016744025050	0.000053084432	0.992083411844	N\A	0.058301720698	0.005791537325	0.029747377105	0.003860371108	36	23	
1900000	649.746572	1	-1.354106169377	1.337436106663	-0.023460938978	-0.084856457498	0.007632780190	0.000032470651	0.992375741837	N\A	0.054448168179	0.005211152517	0.028829726609	0.003633574175	53	29	
1950000	643.117246	1	-1.457542582647	1.469061095206	-0.037433401229	-0.154221369724	0.016636050286	0.000024808055	0.993401932473	N\A	0.053143848854	0.005246348332	0.027124005913	0.003542975629	51	29	
