Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-fab-002.txt
Log File Name:                   NEO_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3099653021
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	663.956952	1	-1.441274187377	1.434834764163	-0.033938801243	-0.135872390133	0.012125130789	0.000030246601	0.992987630427	N\A	0.062480498191	0.006995958265	0.030410240538	0.004619346840	45	6	
1050000	668.595251	1	-1.533346608322	1.490242937408	-0.037799080532	-0.170725223956	0.017898404352	0.000077514249	0.993607351005	N\A	0.057747291264	0.006402850687	0.028464851729	0.004210990767	39	6	
1100000	636.472728	1	-1.277159938224	1.341012004646	-0.027479226089	-0.115693912913	0.015189420949	0.000063534770	0.992457217642	N\A	0.054041617701	0.005476547260	0.027480772345	0.003640563681	28	6	
1150000	642.456838	1	-1.563805987513	1.511069473694	-0.041399286121	-0.189252823258	0.019508289690	0.000039710338	0.992303489553	N\A	0.062810770695	0.006933678263	0.030483406931	0.004330744727	26	6	
1200000	669.678146	1	-1.747569581948	1.649949529638	-0.060166501780	-0.240454312896	0.030897557686	0.000039231501	0.994379183245	N\A	0.059976506406	0.006800333868	0.028952156953	0.004369279682	42	7	
1250000	654.839946	1	-1.589010940412	1.548942215675	-0.045068942103	-0.215418367931	0.023394382951	0.000016939070	0.991478852505	N\A	0.058249099866	0.006036798799	0.030029291031	0.004096411531	50	7	
1300000	656.912214	1	-1.316770915945	1.309905083652	-0.020236630779	-0.085510747646	0.006978170992	0.000013491771	0.993038198473	N\A	0.053692917618	0.005517797259	0.027482871441	0.003695777115	41	4	
1350000	653.288238	1	-1.496566366954	1.430444835024	-0.030256794318	-0.129335627952	0.010405838181	0.000021152379	0.992941838261	N\A	0.059468940643	0.006415058867	0.029505294101	0.004098753368	42	5	
1400000	639.624992	1	-1.256744473647	1.296118398775	-0.018041961708	-0.090353861878	0.005636657619	0.000055493441	0.994685242398	N\A	0.053370200388	0.005112531955	0.027501859951	0.003431500229	45	7	
1450000	669.268990	1	-1.683365615459	1.573330258915	-0.048026023002	-0.223069676631	0.026382180373	0.000030192483	0.993768652277	N\A	0.060371443880	0.006680196525	0.029302234344	0.004237378499	51	5	
1500000	655.310173	1	-1.519710225885	1.410016248511	-0.029589325421	-0.125318497922	0.011064355636	0.000031692433	0.992945959059	N\A	0.054935216678	0.005368948643	0.028446412878	0.003642238328	42	7	
1550000	655.929823	1	-1.416341630516	1.354507190341	-0.026458033311	-0.104468215951	0.010922166274	0.000083888651	0.993285512239	N\A	0.052708076525	0.005398238137	0.027383484388	0.003723038553	44	8	
1600000	671.787806	1	-1.551977752865	1.454080774991	-0.032893641717	-0.173241200619	0.016997570187	0.000044067828	0.993548863183	N\A	0.050741981649	0.005238667522	0.026264379023	0.003576948209	39	8	
1650000	662.530407	1	-1.323761933318	1.289666341467	-0.019862917569	-0.069698378827	0.005844507175	0.000056711402	0.995735152303	N\A	0.052318267320	0.005290318216	0.024451722308	0.003251530914	45	6	
1700000	643.405965	1	-1.320386466775	1.338915820738	-0.025509439050	-0.111006738662	0.011134530267	0.000139046105	0.993644027832	N\A	0.054366679810	0.005670942896	0.027229587029	0.003739184118	40	4	
1750000	671.200508	1	-1.522203534628	1.437186769793	-0.031877173862	-0.144492059445	0.012581339243	0.000059502560	0.994231662786	N\A	0.051052140757	0.005053324685	0.026460369550	0.003440571127	44	7	
1800000	663.648567	1	-1.625820793050	1.520977679000	-0.040476660788	-0.187557398032	0.018802554754	0.000070410128	0.993882268743	N\A	0.053390392772	0.005288732920	0.027128010436	0.003538652927	38	5	
1850000	658.034049	1	-1.512873043405	1.436300869781	-0.031683479914	-0.159314479893	0.015243210240	0.000035863445	0.992509236607	N\A	0.055015429132	0.005606050643	0.028527206859	0.003845156707	33	4	
1900000	662.722711	1	-1.513038444417	1.446803971348	-0.034444837732	-0.146135924390	0.014689744789	0.000014383448	0.993886032754	N\A	0.050018415924	0.004957156915	0.026196481013	0.003386797528	39	5	
1950000	665.625678	1	-1.629682620125	1.534045334441	-0.045045849918	-0.180307797695	0.019896032897	0.000013270726	0.994377036558	N\A	0.061658527648	0.006931410760	0.030106085133	0.004532070328	31	6	
2000000	666.321930	1	-1.578928783837	1.467295158309	-0.036283707629	-0.149192279226	0.015553797538	0.000017199099	0.994049010109	N\A	0.050033804994	0.004915121857	0.025180253137	0.003250664326	39	6	
2050000	657.152027	1	-1.778044501967	1.592175805697	-0.045178298066	-0.217597458163	0.021807696698	0.000011795439	0.993531073374	N\A	0.053946848136	0.005294429824	0.028394270466	0.003622938159	41	5	
2100000	656.782637	1	-1.630077403094	1.511548629776	-0.039124892416	-0.185312614042	0.020401022950	0.000017525312	0.991983538287	N\A	0.057311327856	0.005995946710	0.029630838732	0.004101238130	53	6	
2150000	653.009742	1	-1.368577425857	1.370925729551	-0.027912881779	-0.121594922268	0.012598231142	0.000080494259	0.993199479494	N\A	0.057386269280	0.006555844049	0.026875293769	0.004078932082	42	6	
2200000	661.809886	1	-1.561806865135	1.449362020719	-0.033368444943	-0.128850415600	0.011852457133	0.000035451400	0.993004882628	N\A	0.054593006637	0.005695250310	0.026398843414	0.003637276268	35	5	
2250000	670.671964	1	-1.505407704116	1.459627108156	-0.035346574894	-0.161711234044	0.015473277020	0.000023884782	0.994112180350	N\A	0.052409520158	0.005287995226	0.026769046337	0.003532567159	44	7	
2300000	651.079344	1	-1.387182785354	1.371125339333	-0.029321365994	-0.129401898834	0.015543217895	0.000025363111	0.992106382117	N\A	0.064378268348	0.007366700945	0.030671701471	0.004526130944	40	6	
2350000	660.461362	1	-1.504216679866	1.463595718036	-0.038150614851	-0.160061537583	0.018008513794	0.000014861152	0.992711162833	N\A	0.053900111718	0.005620251435	0.027542738837	0.003777745823	43	7	
2400000	653.576572	1	-1.779736587927	1.596626547330	-0.047685638513	-0.220880693668	0.022250245281	0.000062090622	0.994242302108	N\A	0.054537384401	0.005426989902	0.027787524535	0.003579457272	44	6	
2450000	667.228353	1	-1.458925882606	1.407070283142	-0.029587171544	-0.150485761986	0.015484904166	0.000088346286	0.993223035303	N\A	0.054417359063	0.005649116266	0.026917458268	0.003707856708	42	6	
2500000	685.017255	1	-1.548475759761	1.403190971644	-0.028982476986	-0.133760285813	0.012057486418	0.000031581733	0.993956616348	N\A	0.055320596261	0.005958224240	0.027354982259	0.003877206346	43	8	
2550000	662.350007	1	-1.636567176528	1.481781817713	-0.039722268905	-0.140972623685	0.014328614315	0.000094760326	0.994002653700	N\A	0.050702494120	0.005293671088	0.024756085991	0.003473949832	45	5	
2600000	662.104418	1	-1.653067845554	1.512300952840	-0.044527670862	-0.157488674419	0.017555782563	0.000070614077	0.993917044845	N\A	0.064405185918	0.007523940315	0.029391357128	0.004759286029	41	7	
2650000	652.126755	1	-1.448700825376	1.361428546559	-0.027805086481	-0.109137677809	0.011838404482	0.000084775463	0.993320130194	N\A	0.051133073686	0.004999777403	0.026836223173	0.003420384260	44	6	
2700000	669.506092	1	-1.509522527143	1.424534479756	-0.031003401666	-0.127512995279	0.010088565540	0.000069781522	0.993248049557	N\A	0.053785808120	0.005422686667	0.027262741090	0.003591658424	41	6	
2750000	665.111841	1	-1.482806219049	1.383455318213	-0.027196283343	-0.122972230818	0.011757858520	0.000104082847	0.992298327569	N\A	0.052887248764	0.005526420904	0.025777116049	0.003576073247	40	5	
2800000	665.191195	1	-1.591895558650	1.498984776933	-0.040130634835	-0.185201671230	0.019855102237	0.000064440301	0.995449755320	N\A	0.057513128819	0.006418380728	0.028010210741	0.004157302260	42	7	
2850000	659.640254	1	-1.772466212725	1.620584373704	-0.049777218514	-0.238936192146	0.024993544031	0.000046251766	0.993327520368	N\A	0.054209470128	0.005469304760	0.027900063122	0.003709655258	46	5	
2900000	656.101282	1	-1.473431218920	1.405926522918	-0.029542842655	-0.122807355789	0.011151825888	0.000043667692	0.993315581607	N\A	0.062290804441	0.006747782526	0.029925501647	0.004173238129	48	5	
2950000	655.637085	1	-1.656052872221	1.537043567976	-0.042999668473	-0.203173943200	0.022638575382	0.000028398179	0.994443608960	N\A	0.051301866049	0.005046620250	0.027092914942	0.003456088536	47	5	
3000000	670.117637	1	-1.767780998528	1.618647658460	-0.053306633047	-0.239976284205	0.028908910763	0.000052144465	0.993274316814	N\A	0.061713678318	0.007084627723	0.029466065135	0.004466530535	41	7	
3050000	658.509985	1	-1.470016883789	1.409849908260	-0.032969098217	-0.125164527274	0.012571593215	0.000031194243	0.993998454937	N\A	0.063998724457	0.007236404874	0.030484386812	0.004481226544	38	7	
3100000	664.365266	1	-1.457836374556	1.404774478750	-0.028974989140	-0.128721715162	0.011471978625	0.000059731987	0.993717025057	N\A	0.055631278100	0.005704422871	0.028327387227	0.003789727769	45	6	
3150000	651.125264	1	-1.477573770573	1.435389296050	-0.035142892350	-0.155404523063	0.018300853505	0.000059806500	0.993444062837	N\A	0.050027655018	0.005224721558	0.025946297754	0.003514264708	39	7	
3200000	659.526047	1	-1.525907953575	1.432260411762	-0.031393433064	-0.149922236097	0.013851822322	0.000073262551	0.992746733822	N\A	0.052760438266	0.005397681696	0.027655295509	0.003741462141	31	7	
3250000	660.536754	1	-1.161924784505	1.241534393029	-0.014299334709	-0.062372741809	0.004505065520	0.000069616075	0.993747929761	N\A	0.049282090664	0.004911258997	0.025126723173	0.003312290428	48	7	
3300000	668.390939	1	-1.306529176743	1.323774465907	-0.021547491916	-0.086729902139	0.005834411407	0.000058688965	0.993730444738	N\A	0.046866468121	0.004909234825	0.024309892259	0.003366495919	42	7	
3350000	660.928687	1	-1.467069781772	1.430713879165	-0.031988309567	-0.148633825805	0.014968837979	0.000061320499	0.993305666049	N\A	0.053577714134	0.005215221852	0.027916126033	0.003526926307	36	7	
3400000	673.434530	1	-1.314758249660	1.331414911825	-0.023873388757	-0.096258836522	0.008700158521	0.000072953795	0.994513508203	N\A	0.051930980771	0.005221789778	0.026024542071	0.003453769993	42	9	
3450000	671.473417	1	-1.445625354965	1.375927995702	-0.029886385628	-0.109792908572	0.011910636706	0.000057587173	0.993827143213	N\A	0.050602392028	0.005228477918	0.026511753227	0.003602527357	51	7	
3500000	659.696302	1	-1.455675611101	1.378270989127	-0.026737528907	-0.109625328438	0.007537545139	0.000064474111	0.994367066375	N\A	0.053496515885	0.005267179555	0.027066362690	0.003468069566	34	8	
3550000	661.841259	1	-1.504897799687	1.451483927401	-0.038308176763	-0.159804992635	0.020919499884	0.000081762024	0.992902083096	N\A	0.054521987641	0.005912788236	0.027021299798	0.003804581962	45	7	
3600000	671.268602	1	-1.395788894900	1.347028677387	-0.024393982927	-0.096599224139	0.008143682676	0.000064864709	0.993225675402	N\A	0.052557571112	0.005456203699	0.026664396836	0.003603172452	42	7	
3650000	660.271713	1	-1.465628296046	1.421027885334	-0.034710201569	-0.142908931859	0.015789788459	0.000046811022	0.992838576574	N\A	0.059257750265	0.006671102692	0.029193063350	0.004341126463	52	6	
3700000	655.897549	1	-1.632819399139	1.563461203433	-0.047625015459	-0.205042182376	0.023775991191	0.000055452463	0.991797422060	N\A	0.055228930850	0.005867577676	0.028178272904	0.003926091009	39	6	
3750000	654.303425	1	-1.410753636258	1.418101893896	-0.031491082062	-0.132718576883	0.012058291899	0.000014850181	0.993417770401	N\A	0.057161402432	0.005928852468	0.029628385414	0.004121576942	43	5	
3800000	648.170944	1	-1.518639228866	1.491211740801	-0.041027460845	-0.169433454555	0.017893865627	0.000014536372	0.992240096362	N\A	0.056874208813	0.006136755791	0.029104817504	0.004164008287	34	6	
3850000	650.063045	1	-1.535065023689	1.470583472301	-0.036943795629	-0.148295719663	0.014064000894	0.000026144213	0.992886252079	N\A	0.054478993067	0.006168110716	0.024200824298	0.003678652288	44	6	
3900000	658.730420	1	-1.404617323618	1.414856566353	-0.032306727992	-0.134642522496	0.013726685796	0.000070157870	0.993248135698	N\A	0.056882028988	0.006175911844	0.027985600846	0.003991783111	37	6	
3950000	659.941333	1	-1.359408858106	1.405419329155	-0.031125868061	-0.133026720367	0.015890455445	0.000017671590	0.992849248924	N\A	0.054961530658	0.005713806050	0.027459359007	0.003736264996	32	6	
4000000	669.549833	1	-1.643115890995	1.559817730560	-0.046180050322	-0.183058473597	0.020799701497	0.000015762291	0.992489506642	N\A	0.065712899802	0.007765594157	0.030842095457	0.004794762048	51	6	
4050000	662.320623	1	-1.487662490201	1.506350083089	-0.041456341261	-0.178827341383	0.019588895063	0.000021138697	0.994729796468	N\A	0.057757921923	0.006589820062	0.026353340348	0.003941765019	44	7	
4100000	646.486554	1	-1.515040207833	1.524481790943	-0.042343989841	-0.216796582359	0.025049808028	0.000012169480	0.992890922273	N\A	0.056660583697	0.005849383627	0.029024109070	0.003985174878	36	5	
4150000	645.755274	1	-1.493759006779	1.480319707091	-0.040531721116	-0.174253868934	0.021525530541	0.000012800223	0.992126482683	N\A	0.064365767201	0.007448253973	0.030488048733	0.004607694090	48	4	
4200000	651.023639	1	-1.581898944663	1.511586282900	-0.039756584292	-0.165392062490	0.015612095027	0.000022198571	0.991557831505	N\A	0.060985462436	0.007280283017	0.028729356300	0.004483295085	39	4	
4250000	660.213317	1	-1.429982306517	1.485463030953	-0.037551454118	-0.198648917951	0.021408602978	0.000032968410	0.994357267604	N\A	0.053104026475	0.005192173658	0.027259854923	0.003468623302	38	7	
4300000	661.873546	1	-1.320851657425	1.386667907856	-0.029788503448	-0.106714909608	0.010325240053	0.000053282030	0.994570469983	N\A	0.050368712592	0.004873891889	0.026643912539	0.003362732347	50	9	
4350000	665.938813	1	-1.315420985235	1.365031558785	-0.025502505705	-0.113817639945	0.010502055287	0.000056713832	0.992007404569	N\A	0.056042748759	0.006162560978	0.028697504223	0.004100091523	30	7	
4400000	634.205469	1	-1.396951554517	1.426403310656	-0.034470995642	-0.138984246825	0.016058024620	0.000019144569	0.993154410021	N\A	0.055219596462	0.005873831314	0.027817647947	0.003989117818	38	4	
4450000	635.619264	1	-1.625021194838	1.540365521269	-0.045061289032	-0.178282025353	0.018728826649	0.000014411901	0.992444017379	N\A	0.056179398696	0.005780775544	0.029523550094	0.003995517645	43	4	
4500000	658.146117	1	-1.518930729764	1.478475723387	-0.037346139900	-0.177301971843	0.018140393346	0.000021875394	0.994218901987	N\A	0.051245581382	0.004987174695	0.027109286823	0.003477985566	42	4	
4550000	655.240744	1	-1.461074463751	1.434278411107	-0.032330143877	-0.153855873443	0.015993029989	0.000043042760	0.994333155404	N\A	0.049489617556	0.004665679169	0.026486997415	0.003410720917	38	6	
4600000	649.684954	1	-1.458173611982	1.446661923144	-0.036780626681	-0.135684387500	0.013956681072	0.000050187451	0.993229705772	N\A	0.066911208880	0.007897419109	0.030595199849	0.004754797171	44	4	
4650000	661.527741	1	-1.507168544644	1.472520183951	-0.036402501463	-0.167256070722	0.017009366652	0.000120786748	0.994918814994	N\A	0.052257775776	0.005215265677	0.026092233342	0.003305289318	50	6	
4700000	647.597300	1	-1.320941096775	1.374686096725	-0.026956551435	-0.140868592142	0.014134834258	0.000039477408	0.994345075566	N\A	0.053420842894	0.005169131857	0.027652431822	0.003488992522	47	4	
4750000	649.987443	1	-1.541870361212	1.474739210073	-0.037996955436	-0.140871848877	0.013152712526	0.000127046378	0.993625654800	N\A	0.056879966498	0.005973619425	0.028904386645	0.004064811414	28	4	
