Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-glob-005.txt
Log File Name:                   NEO_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            472249729
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	657.414089	1	-1.151702528177	1.361605200635	-0.026565659398	-0.109022143139	0.010930130879	0.000070838709	0.993713351437	N\A	0.042098262599	0.004379857917	0.023886969744	0.003332671226	29	4	0.004956461859	Global Trend	
1050000	669.818429	1	-1.345134986743	1.425736564589	-0.031888782721	-0.140631036541	0.012941897732	0.000045377347	0.992909279062	N\A	0.044383024957	0.004559842303	0.024288830342	0.003292363498	43	5	0.001929030477	Global Trend	
1100000	664.537044	1	-1.247155576698	1.369195711028	-0.026667096664	-0.124879167251	0.011493408033	0.000108487119	0.994526507099	N\A	0.046923104305	0.004744596966	0.024048224829	0.003224811154	41	6	0.002680633401	Global Trend	
1150000	669.918101	1	-1.591953928313	1.544550788570	-0.049288198312	-0.184320941433	0.022649172850	0.000024262607	0.993500737573	N\A	0.064505841243	0.007489344241	0.030167210225	0.004563738575	40	5	0.000310471575	Global Trend	
1200000	670.278318	1	-1.295885394746	1.416882681698	-0.034215254009	-0.134397961450	0.016074511518	0.000008383376	0.994160432269	N\A	0.048049974435	0.005538789950	0.024744681955	0.003732983230	45	6	0.000395295573	Global Trend	
1250000	673.938903	1	-1.239841438830	1.356690389224	-0.026175031177	-0.098735903368	0.009538134073	0.000019509684	0.992640133684	N\A	0.044215603421	0.004814919593	0.023878831640	0.003432876831	35	4	0.001128739121	Global Trend	
1300000	672.995383	1	-1.357606009871	1.453283004350	-0.036348360115	-0.135896562711	0.013009089846	0.000024895135	0.994372584687	N\A	0.044398562720	0.004391341658	0.024343301904	0.003174309446	36	4	0.001324555742	Global Trend	
1350000	681.356409	1	-1.635119483031	1.644318003615	-0.061748178615	-0.234765735808	0.033772698505	0.000018190546	0.994325654219	N\A	0.057465784008	0.007076112614	0.026384662834	0.004306499254	49	7	0.000399228665	Global Trend	
1400000	657.654338	1	-1.498846515465	1.510002079763	-0.040161502701	-0.199037271274	0.021775523617	0.000036522370	0.993301039802	N\A	0.055025298700	0.005420292530	0.028585825438	0.003705561405	36	5	0.000665880530	Global Trend	
1450000	665.933421	1	-1.407466289253	1.494393254143	-0.039213004579	-0.203384837826	0.024656574036	0.000017736843	0.993403396893	N\A	0.054509477069	0.006248753745	0.027035217948	0.004005516122	48	5	0.000613842079	Global Trend	
1500000	666.507309	1	-1.569761335486	1.557950697890	-0.050136549920	-0.181702169186	0.023150062836	0.000028213609	0.993325341359	N\A	0.058948303949	0.006923856096	0.028746039759	0.004348927510	55	4	0.000575787272	Global Trend	
1550000	652.800043	1	-1.591021843963	1.592176427861	-0.053134811556	-0.219011127293	0.027930116887	0.000023458823	0.992292481023	N\A	0.065217412019	0.008146113661	0.030654801225	0.004998460632	33	5	0.000496185830	Global Trend	
1600000	665.605236	1	-1.409006486813	1.461098860857	-0.035087682974	-0.172409229326	0.017820384598	0.000029873043	0.994544470243	N\A	0.048540249704	0.004999432759	0.025115404795	0.003382769354	44	5	0.000464818583	Global Trend	
1650000	668.482945	1	-1.386688424612	1.408867949516	-0.030400806775	-0.104877646883	0.008726629990	0.000024906232	0.993805806347	N\A	0.047827695084	0.004743813933	0.025602983355	0.003356440458	49	4	0.000888373846	Global Trend	
1700000	670.791292	1	-1.348432838738	1.385881644983	-0.027525174159	-0.125513499378	0.012268950260	0.000056606675	0.993816165390	N\A	0.041764478002	0.004263033377	0.023072356316	0.003132141026	44	7	0.001674745502	Global Trend	
1750000	663.574594	1	-1.176697149283	1.406860326764	-0.031477342935	-0.125354454209	0.013083792638	0.000142865528	0.992305464187	N\A	0.048305390447	0.005258800234	0.025459125214	0.003754699024	45	4	0.006654204166	Global Trend	
