Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m1-bm-002.txt
Log File Name:                   PAL_d1_m1-bm-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            314636029
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m1-bm-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	200.818774	1	0.842114137419	0.549668122657	0.000780311043	0.790307410173	N\A	0.016174987596	
1050000	202.653135	1	0.769559602604	0.581992810278	0.000772033331	0.792531875431	N\A	0.016088964932	
1100000	201.732916	1	0.821972856518	0.558641519221	0.000776174864	0.791418923429	N\A	0.016132061422	
1150000	202.438118	1	0.749266523379	0.591033836432	0.000772999055	0.792272357004	N\A	0.016099024497	
1200000	201.162086	1	0.710848084875	0.608150120434	0.000778755095	0.790725539197	N\A	0.016158853009	
1250000	202.652272	1	0.776898740995	0.578723057995	0.000772037206	0.792530834105	N\A	0.016089005309	
1300000	202.621659	1	0.782748076230	0.576117046741	0.000772174627	0.792493904972	N\A	0.016090437152	
1350000	202.398328	1	0.747199568693	0.591954711533	0.000773177898	0.792224296538	N\A	0.016100886747	
1400000	202.617307	1	0.762843362682	0.584985047194	0.000772194165	0.792488654536	N\A	0.016090640716	
1450000	202.480958	1	0.751713754041	0.589943539776	0.000772806545	0.792324090053	N\A	0.016097019700	
1500000	202.649448	1	0.777755069900	0.578341544083	0.000772049879	0.792527428546	N\A	0.016089137357	
1550000	202.640608	1	0.766394117560	0.583403105520	0.000772089563	0.792516764300	N\A	0.016089550849	
1600000	201.638320	1	0.824419181820	0.557551625923	0.000776601859	0.791304177241	N\A	0.016136498157	
1650000	202.440137	1	0.749376221936	0.590984963242	0.000772989979	0.792274795961	N\A	0.016098929986	
1700000	202.611131	1	0.784062154081	0.575531595312	0.000772221891	0.792481203772	N\A	0.016090929583	
1750000	202.435061	1	0.797053673840	0.569743579181	0.000773012790	0.792268665851	N\A	0.016099167529	
1800000	201.713548	1	0.822483481843	0.558414024080	0.000776262270	0.791395434803	N\A	0.016132969724	
1850000	202.646907	1	0.778409609828	0.578049931729	0.000772061287	0.792524362723	N\A	0.016089256231	
1900000	202.405986	1	0.798570732340	0.569067695278	0.000773143473	0.792233547488	N\A	0.016100528308	
1950000	202.179853	1	0.808206175832	0.564774887092	0.000774160615	0.791960211530	N\A	0.016111115693	
2000000	202.655536	1	0.770590270870	0.581533624235	0.000772022553	0.792534771754	N\A	0.016088852628	
2050000	200.889108	1	0.705380862070	0.610585891951	0.000779992023	0.790393140075	N\A	0.016171680798	
2100000	202.083802	1	0.811578973847	0.563272229229	0.000774593055	0.791844002027	N\A	0.016115614840	
2150000	202.656781	1	0.771351843131	0.581194326554	0.000772016966	0.792536273169	N\A	0.016088794411	
2200000	201.033084	1	0.708208048589	0.609326316360	0.000779339391	0.790568521562	N\A	0.016164913828	
2250000	200.596040	1	0.846198792151	0.547848316513	0.000781322173	0.790035689649	N\A	0.016185464011	
2300000	199.684508	1	0.861003212816	0.541252611990	0.000785473862	0.788920008440	N\A	0.016228409151	
2350000	202.198295	1	0.738634088649	0.595770826782	0.000774077612	0.791982516709	N\A	0.016110251985	
2400000	201.985611	1	0.814747370351	0.561860636866	0.000775035378	0.791725136922	N\A	0.016120215502	
2450000	202.657360	1	0.771858796963	0.580968467146	0.000772014367	0.792536971684	N\A	0.016088767326	
2500000	202.656093	1	0.775257163535	0.579454417912	0.000772020053	0.792535443723	N\A	0.016088826573	
2550000	201.879797	1	0.728241519866	0.600400951424	0.000775512325	0.791596967029	N\A	0.016125174835	
2600000	198.399746	1	0.667659935216	0.627391418724	0.000791362966	0.787337432480	N\A	0.016289131938	
2650000	202.439572	1	0.796809627961	0.569852307144	0.000772992516	0.792274114147	N\A	0.016098956407	
2700000	202.631534	1	0.764827716518	0.584100972642	0.000772130295	0.792505818308	N\A	0.016089975254	
2750000	202.615564	1	0.762626093179	0.585081845676	0.000772201991	0.792486551412	N\A	0.016090722254	
2800000	200.365192	1	0.695945685269	0.614789476793	0.000782371522	0.789753698696	N\A	0.016196329246	
2850000	202.146863	1	0.809399710493	0.564243140384	0.000774309114	0.791920305524	N\A	0.016112660828	
2900000	201.504615	1	0.718462702404	0.604757635959	0.000777205790	0.791141883090	N\A	0.016142771283	
2950000	202.471267	1	0.795018844527	0.570650141700	0.000772850091	0.792312388005	N\A	0.016097473208	
3000000	202.454003	1	0.796011562077	0.570207863560	0.000772927664	0.792291541694	N\A	0.016098281067	
3050000	202.624033	1	0.782426179535	0.576260459005	0.000772163966	0.792496769833	N\A	0.016090326078	
3100000	202.200812	1	0.738728650820	0.595728697195	0.000774066285	0.791985560776	N\A	0.016110134108	
3150000	202.649349	1	0.768372622135	0.582521636946	0.000772050327	0.792527308069	N\A	0.016089142029	
3200000	201.836951	1	0.819134319551	0.559906151693	0.000775705532	0.791545046714	N\A	0.016127183375	
3250000	202.523911	1	0.791667850827	0.572143085247	0.000772613582	0.792375945002	N\A	0.016095009928	
3300000	202.466757	1	0.795282433593	0.570532706805	0.000772870354	0.792306942771	N\A	0.016097684231	
3350000	202.429660	1	0.797342672412	0.569614823775	0.000773037067	0.792262141906	N\A	0.016099420330	
3400000	201.587910	1	0.825676897088	0.556991285302	0.000776829500	0.791243003448	N\A	0.016138862982	
3450000	200.356720	1	0.695802355300	0.614853333538	0.000782410059	0.789743342491	N\A	0.016196728136	
3500000	200.253543	1	0.694077123075	0.615621963547	0.000782879542	0.789617178537	N\A	0.016201586809	
3550000	202.278598	1	0.741790825788	0.594364428930	0.000773716299	0.792079612387	N\A	0.016106491680	
3600000	202.133311	1	0.809878862394	0.564029667366	0.000774370125	0.791903909965	N\A	0.016113295611	
3650000	202.646695	1	0.767694562946	0.582823727664	0.000772062238	0.792524107208	N\A	0.016089266139	
3700000	202.202111	1	0.738777571008	0.595706902143	0.000774060437	0.791987132290	N\A	0.016110073254	
3750000	202.580364	1	0.787219510974	0.574124921346	0.000772360037	0.792444079954	N\A	0.016092368802	
3800000	202.657918	1	0.772861512825	0.580521734532	0.000772011861	0.792537644928	N\A	0.016088741221	
3850000	202.614124	1	0.783705151523	0.575690648033	0.000772208456	0.792484814263	N\A	0.016090789604	
3900000	202.594097	1	0.785906533763	0.574709882414	0.000772298372	0.792460650973	N\A	0.016091726391	
