Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-VR-004.txt
Log File Name:                   PAL_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3352460265
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	273.808058	1	7.792773487044	-3.021552046269	-6.631749169437	-7.266275425099	-6.867063476910	-6.715629965764	-6.962470121707	3.651557800668	3.693406504429	3.531852070590	3.552441009940	3.521437480138	0.000597104749	0.902237780023	N\A	1.177339253391	2.273370473424	2.272177136587	2.278463875391	2.272905725795	2.292611535952	1.177515212192	1.177501731979	1.178070414355	1.177832430997	1.177635383119	51	25	
1050000	273.951550	1	6.841078494214	-3.069014536128	-6.077675295504	-6.703489232890	-5.876763795654	-6.129326918289	-5.347473145517	3.649794541193	3.720438828871	3.589205349531	3.718629460610	3.534044790803	0.000496674533	0.926314681473	N\A	1.070913380293	2.121616033823	2.119892631463	2.122961122981	2.121541178380	2.234768925604	1.070994533059	1.071112879323	1.071368039501	1.071608091403	1.071087009796	50	29	
1100000	278.671886	1	5.437866679207	-2.703736445079	-4.696845523494	-5.222992530256	-4.965804864697	-4.774648192498	-4.152922178866	3.311594286960	3.370470301649	3.264484579979	3.375289089277	3.203769048161	0.000234939006	0.905767974237	N\A	0.883428556867	1.574409465255	1.573539118522	1.581309243782	1.574184844409	1.585366185465	0.883592777984	0.883676865789	0.884256448577	0.884153976334	0.883865272333	42	32	
1150000	277.810130	1	3.998281838078	-2.947443043124	-3.000932128938	-3.631083412193	-3.682361016005	-2.920654495084	-2.921585968834	3.524977829777	3.636103125117	3.516050340301	3.505259351671	3.410122417834	0.000504516316	0.889217775839	N\A	1.096039605112	5.302807338834	5.302025246570	5.310044393296	5.302320609458	5.308669637971	1.096284012094	1.096228323478	1.096594931204	1.096576548440	1.096386039492	51	20	
1200000	281.550982	1	6.055151624028	-2.874191686624	-5.472317149013	-6.104915582122	-5.535857767901	-5.112127439356	-4.725079272289	3.495797395456	3.539848965789	3.384316135891	3.398728443715	3.371148631566	0.000447221967	0.884773891113	N\A	0.608676067305	1.522805098326	1.520825861727	1.526806924122	1.520983374875	1.542566266168	0.609303402177	0.609000927136	0.609899063533	0.609548668441	0.609258623055	52	21	
1250000	278.712900	1	6.694290488124	-2.904172497569	-6.245430001192	-6.749550639600	-6.317234041108	-5.908464595325	-5.352033438929	3.527135087141	3.596536831587	3.440652078814	3.482075347994	3.460830904253	0.000407775354	0.882043919139	N\A	0.810096069574	1.815240384894	1.813313859976	1.817153899387	1.816308125580	1.830225815046	0.810667847153	0.810334289304	0.810726314680	0.811055545373	0.810642241493	55	33	
1300000	275.029299	1	6.708991630566	-2.643087979609	-5.153394660131	-5.771490941903	-5.892656360059	-5.428178353498	-5.823769105642	3.246643034317	3.311395986822	3.114249119645	3.174754118437	3.122786866602	0.000651244931	0.903588153169	N\A	0.857019291245	1.599263226451	1.596505148780	1.583874373365	1.577009937432	1.607922898455	0.857358753475	0.857168220183	0.857920796939	0.857846776701	0.857493165283	53	29	
1350000	277.032364	1	5.621206676525	-2.381679370076	-4.476547791721	-5.055162329373	-4.446809245104	-4.406459603910	-4.740093703912	2.967384846273	3.057127717321	2.918615330714	3.027942297642	2.887707576584	0.000600822693	0.895842729245	N\A	0.874219778244	1.650913579440	1.649295224340	1.657022041642	1.650967644480	1.663609747998	0.874543549584	0.874433350671	0.875380937261	0.874939447885	0.874640760491	47	18	
1400000	287.961683	1	5.423797640057	-2.515851385098	-4.859788647481	-5.380172044337	-4.609070481848	-4.602386027925	-3.877820630814	3.127916767263	3.169891158373	2.959535882049	3.041100399902	2.970506853949	0.000419533787	0.903818128575	N\A	1.118825477791	2.056206748308	2.054658183722	2.060610971894	2.054956748105	2.072679070819	1.118998645036	1.119006507691	1.119591760621	1.119170453145	1.119164807907	46	28	
1450000	290.872291	1	6.391526034749	-2.616326567132	-5.740810043294	-6.268596549411	-5.618369191886	-5.123338399253	-5.167252797971	3.211517181589	3.268208534700	3.149725683763	3.107768922915	3.085304616915	0.000419596538	0.907101775104	N\A	1.072280391076	1.797128334496	1.795761015995	1.800105927141	1.801907480256	1.812776488084	1.072477469694	1.072437913426	1.072758098160	1.073002783387	1.072538967625	49	20	
