Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-bm-006.txt
Log File Name:                   PAL_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2058746380
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	211.499220	1	0.726534053354	0.668120674622	0.472779882531	-0.118143129904	0.110625040374	0.105948562892	0.158132143857	-0.106304689269	-0.011591333649	-0.108788420213	0.019367081634	-0.190910592080	0.000733330873	0.802932367269	N\A	0.082910627697	0.353835919065	0.320053349889	0.335479335085	0.325141876955	0.440857023813	0.092253775189	0.089030968949	0.092551755271	0.096180438061	0.087908992334	
1050000	209.130125	1	1.323162265454	0.381032746780	-0.202185132977	-0.968096879675	-0.618753762374	-0.541055109004	-0.347121802406	0.176838718008	0.233770009725	0.151572022465	0.281821083062	0.130076838886	0.000743501515	0.800199215745	N\A	0.083483595964	0.356281163529	0.322265134052	0.337797723193	0.327388826267	0.443903642709	0.092891310897	0.089646232896	0.093191350222	0.096845109654	0.088516502667	
1100000	207.171167	1	0.860633767529	0.445556157280	-0.117509941871	-0.370566618972	0.402298916938	0.417767697196	0.095639155719	0.201736918787	0.189627506298	-0.012262652852	0.094261563987	0.033840730350	0.000752017878	0.797910617825	N\A	0.083960361798	0.358315846917	0.324105555556	0.339726849642	0.329258508625	0.446438728647	0.093421803178	0.090158192886	0.093723555996	0.097398181654	0.089022010889	
1150000	211.115798	1	0.319327628622	0.701844508212	0.112008425401	-0.459192443490	0.041521275437	0.374344462809	1.191536062897	-0.109674065760	-0.067016561509	-0.154100988152	-0.173353823420	-0.201159329534	0.000734967437	0.802492574173	N\A	0.083003091386	0.354230524379	0.320410280166	0.335853468748	0.325504482065	0.441348676907	0.092356658554	0.089130258172	0.092654970950	0.096287700524	0.088007030305	
1200000	212.260517	1	1.054371462689	0.573956233885	0.375645819123	-0.534357870598	0.082392436960	0.082836457438	-0.408076974592	-0.009909836171	0.120890483629	-0.078855801473	0.010463459842	-0.048463442221	0.000730092217	0.803802689712	N\A	0.082727343346	0.353053720343	0.319345831778	0.334737715897	0.324423110016	0.439882454015	0.092049836637	0.088834154815	0.092347157997	0.095967819128	0.087714658470	
1250000	208.864292	1	0.578674969395	0.509425151424	0.506539867269	0.178669743889	0.382158193361	0.578018858147	0.222803223638	0.126090436205	0.146194582663	0.051896713552	0.128773936389	-0.002041843178	0.000744651517	0.799890176369	N\A	0.083548134624	0.356556593793	0.322514267546	0.338058864465	0.327641920733	0.444246811279	0.092963122379	0.089715535705	0.093263393655	0.096919977698	0.088584932116	
1300000	209.019176	1	0.658375037602	0.679815186505	0.296892658987	-0.377275620265	0.295570131907	-0.163954535732	0.352669428367	-0.004987950102	-0.045657465834	-0.162688225574	-0.050251505826	-0.146523714201	0.000743981267	0.800070292394	N\A	0.083510525912	0.356396091893	0.322369089602	0.337906689211	0.327494434606	0.444046836131	0.092921275564	0.089675150773	0.093221411675	0.096876349728	0.088545056118	
1350000	211.106429	1	0.545230850517	0.714143246834	-0.042724151853	-0.452874511191	0.180659213942	0.412651870271	0.372601159310	-0.050501528676	-0.046277071779	-0.132744061643	-0.114050513908	-0.164701594274	0.000735007472	0.802481815742	N\A	0.083005351987	0.354240171896	0.320419006585	0.335862615764	0.325513347225	0.441360697100	0.092359173901	0.089132685647	0.092657494421	0.096290322933	0.088009427189	
1400000	211.864464	1	0.183627909592	0.651894730690	0.702642717927	0.080588702111	0.536770262912	0.370197710269	1.049850054470	-0.088354518503	0.032366076181	-0.137737741524	-0.023645018480	-0.106219315306	0.000731775288	0.803350398755	N\A	0.082822643556	0.353460431021	0.319713711656	0.335123326912	0.324796838815	0.440389189621	0.092155876170	0.088936489948	0.092453540038	0.096078372096	0.087815703966	
1450000	214.193226	1	0.439090215864	0.576318046431	0.301585311751	-0.231610098740	0.284152084647	0.579086282891	0.789582573904	0.024782254414	0.092250704292	-0.059492432814	-0.033570724529	-0.078552320905	0.000721934327	0.805994955393	N\A	0.082263856395	0.351075706961	0.317556669697	0.332862319481	0.322605502054	0.437417975294	0.091534119628	0.088336453936	0.091829775220	0.095430151290	0.087223229664	
