Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-fab-002.txt
Log File Name:                   PAL_d1_m2-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2833644137
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	331.355735	1	0.764322555025	0.451945595451	0.383322084352	0.215333689319	0.856557406154	1.378870154788	0.193091156812	0.107382460181	0.199151267316	0.087048836585	0.072584413416	0.012914149728	0.000436247059	0.898512297270	N\A	0.131618749462	0.434760529037	0.427994722485	0.442969575365	0.431506999616	0.503152232376	0.133358693438	0.132922730701	0.135561737822	0.135985599156	0.134439409646	34	14	
1050000	351.492504	1	1.360828063836	0.473762047862	0.225093395185	0.244686427534	0.599735483855	1.243079230670	-0.305787306858	0.107775155512	0.171600006034	0.108151259837	0.126052597733	0.009998704695	0.000483610606	0.921751716679	N\A	0.110595457663	0.311316565982	0.301964861690	0.330055981378	0.308897766989	0.400990567519	0.112404686800	0.111833959060	0.114338076226	0.115588419652	0.112459459071	36	13	
1100000	347.996024	1	0.368660319327	0.671087278320	-0.517339471749	-0.363575099099	0.837082930398	0.945599551548	0.730144047428	-0.005542381802	-0.045632432424	-0.146716867568	-0.178572876160	-0.178385238782	0.000439524072	0.911999119148	N\A	0.059681326563	0.232316253694	0.219810603923	0.253757834666	0.250173468270	0.339522037708	0.064629571775	0.061675183308	0.067731083084	0.073333247646	0.065679664254	41	20	
1150000	343.607128	1	0.739419319499	0.655102621922	-0.860899700846	-0.931701540143	-0.129093354337	0.242123225287	0.339792132643	-0.102908844351	0.018889511573	-0.190612974455	-0.151903413972	-0.153105082128	0.000526611810	0.913660523533	N\A	0.070259574608	0.259314411326	0.248002207181	0.280253996969	0.258848160336	0.372812041510	0.073298547279	0.072221489864	0.076861547593	0.080271824424	0.074568334849	38	15	
1200000	338.141452	1	0.929662915332	0.762722283260	-0.984886259864	-1.437905415226	0.156080856512	0.041691776101	0.703150495187	-0.148418806189	-0.098752577987	-0.319137877695	-0.212062938510	-0.232813057464	0.000751558836	0.909638322553	N\A	0.112687454897	0.406115439916	0.398345366411	0.403571680458	0.400238433157	0.494683668654	0.114753274231	0.114602624391	0.115530882357	0.115987299229	0.116581785793	27	12	
1250000	363.986141	1	0.963079167517	0.472570315044	-0.667511966702	-1.303518418009	-0.402036727873	-0.015006627024	-0.296646379810	0.109123796020	0.190956460712	0.087273341103	0.060570796483	0.044833221802	0.000286031753	0.932700044180	N\A	0.052425393436	0.212176951577	0.196685466246	0.208585603257	0.199724743861	0.276968655436	0.054619814926	0.055236018377	0.059064241494	0.059694299285	0.056381122041	30	18	
1300000	341.788513	1	1.253092452492	0.435193557226	-0.411931505693	-1.046876733540	-1.001443805553	-0.483772603276	-0.037272618330	0.204859259189	0.228666513232	0.224573132022	0.172207948334	0.046429508964	0.000067250000	0.912610740315	N\A	0.070240233685	0.247336058327	0.236656801415	0.253297029196	0.244981601269	0.298742767844	0.072966919084	0.072452671083	0.076520016551	0.077878476931	0.077394288622	32	17	
1350000	347.523087	1	0.523949877717	0.799286108652	0.544395227762	-0.158328647157	0.214269762795	0.602732878402	-0.030561687725	-0.180092024035	-0.121513040305	-0.230131463790	-0.233481222024	-0.274614987062	0.000215609012	0.918992288042	N\A	0.114194602646	0.370785626058	0.364565619114	0.391804855766	0.372175923587	0.448113407932	0.115781580591	0.115655422929	0.116904058795	0.119267606524	0.117197777832	48	9	
1400000	359.565197	1	-0.208030465050	0.657258843906	0.048150484894	-0.429966077944	0.430854675100	0.405142284482	1.296652591191	-0.039213331928	-0.016284689570	-0.193475417025	-0.081853960328	-0.158281798509	0.000154888346	0.914182807094	N\A	0.124553134169	0.404800213660	0.398431667490	0.423691967743	0.403333376355	0.424157709641	0.126652349660	0.125814401835	0.129038880511	0.128404355172	0.126371069714	33	11	
1450000	341.116083	1	1.703844929870	0.696203145713	-1.440003520948	-2.103547882222	-1.629762012102	-1.295929305432	-0.874676059303	-0.083655713282	-0.047036402017	-0.179014673595	-0.169201981355	-0.190888154553	0.000367720784	0.902763410112	N\A	0.104181633978	0.289171381574	0.277353173654	0.294117643003	0.292041429213	0.361128936819	0.107893654382	0.105929289016	0.107402072881	0.110273890463	0.106858280079	27	12	
