Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-glob-001.txt
Log File Name:                   PAL_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1207302888
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	310.681939	1	0.558618836352	0.542714700032	-0.358420246783	-0.884376172626	0.359546737268	0.373427906357	0.900320219112	0.040035684197	0.132286913360	-0.059790754286	-0.000347347662	-0.044828056691	0.000407446621	0.999959767992	N\A	0.059511315345	0.115908958128	0.101253884844	0.169004027339	0.123887228949	0.233657922785	0.062304404296	0.062291792353	0.071634300201	0.068957472568	0.066915979038	46	13	0.915202371596	Global Trend	
1050000	347.768245	1	0.949038546213	0.447048013245	-0.245175719441	-0.688282940925	0.326818343421	0.289880871457	0.260720975337	0.200568146709	0.203619023104	0.014433359737	0.147993828205	0.043032917764	0.000530971899	0.930958614139	N\A	0.066889994064	0.123056006940	0.111421919417	0.176748594469	0.155712514806	0.260294715709	0.071146381987	0.068693480158	0.075297884970	0.079156691611	0.074667126060	42	14	-0.015303934595	Global Trend	
1100000	344.187012	1	0.520578863866	0.441603485320	-0.308393222507	-0.915831924114	0.469887286900	0.427293696673	0.253450348641	0.185925009170	0.219344922245	0.012103179698	0.100576933082	0.102923199556	0.000654949587	0.992388068031	N\A	0.102700548832	0.137190058799	0.127804761192	0.190327433425	0.142054346758	0.274447685216	0.105353130516	0.104295379731	0.106837610061	0.105206756735	0.104936890543	44	15	0.121881133359	Global Trend	
1150000	329.434538	1	0.464559046348	0.363938397491	-0.628970511605	-1.284999525877	0.129898177181	0.201590452865	1.074155454896	0.256711094419	0.300274360770	0.149100618517	0.287846623840	0.151285195932	0.000596743325	0.999970016340	N\A	0.100267143583	0.138456145630	0.125509545721	0.193893134682	0.149404778548	0.278070247894	0.102370130652	0.101379815716	0.106922083199	0.106983366593	0.103885419886	34	13	1.896088154078	Global Trend	
1200000	331.690111	1	1.525931346578	0.336874644388	-1.845198704870	-2.326121273096	-0.217985165480	-0.780359994092	0.006474615737	0.295787158028	0.327083729543	0.109375796131	0.175422538711	0.126302522605	0.000631011447	0.905807384828	N\A	0.075057195334	0.267572005923	0.258049170185	0.272951452676	0.260374197219	0.362639611609	0.079439924500	0.077533832197	0.084675752486	0.080128699670	0.079262327534	34	15	-0.000537467618	Global Trend	
1250000	325.460845	1	0.886581361968	0.512550343276	-0.136846098655	-0.515701313985	0.185577570564	0.229093019484	0.501432879648	0.092305093137	0.165648912340	0.032218463084	0.032370358745	-0.032547830373	0.000666030017	0.918262997940	N\A	0.073663388321	0.140806063353	0.121027873483	0.208508972126	0.141086603313	0.287806519573	0.078851739293	0.075480376198	0.084917194131	0.080203537255	0.079667716339	37	8	0.019510209751	Global Trend	
1300000	343.496118	1	0.924038382584	0.530166329133	0.132865262333	-0.157714983318	0.312539937333	-0.017754784141	-0.085732162345	0.137880458924	0.083643473335	-0.016574146646	0.116226602079	-0.041433302692	0.000429026146	0.996833973635	N\A	0.092595434630	0.122578832368	0.113001288770	0.166918853994	0.149942309212	0.240752787100	0.094962876007	0.094298712035	0.097265106549	0.099438019330	0.096198950905	34	12	-0.125262587452	Global Trend	
1350000	328.903405	1	1.171660613816	0.333931834592	-0.320403996246	-1.054525675014	-0.661430115847	-0.202360747708	-0.244514538293	0.272313123885	0.373759788822	0.237984920006	0.222680657634	0.197627464535	0.000309627366	0.900281642280	N\A	0.105246510754	0.253989373272	0.245433027361	0.281048311218	0.262640674543	0.333944204660	0.107878034708	0.106945934973	0.109519725508	0.109710194109	0.109137127284	41	7	0.000164543631	Global Trend	
1400000	346.715668	1	1.038196993746	0.334451568766	-0.146568307454	-0.424660183984	0.173532592215	0.240438896928	-0.306617513816	0.354794846445	0.260502779506	0.163424776121	0.155060378342	0.192199657126	0.000371946369	0.998790292711	N\A	0.067936461220	0.120791632216	0.109335558809	0.154720002124	0.123659896819	0.219412658821	0.071995568841	0.070154870065	0.072524164374	0.069782515753	0.071084606657	41	14	-0.219360677701	Global Trend	
1450000	365.137540	1	0.785281391983	0.577892360131	0.186730154908	-0.293125792493	-0.120393771136	0.449689166406	0.064116837982	0.045221292024	0.119394045790	0.001636394246	-0.021329215614	-0.007570919457	0.000505087183	0.996966994391	N\A	0.080237312287	0.124141677792	0.113872580226	0.179334873085	0.157774058197	0.251092484459	0.082935179227	0.081776585005	0.087457291178	0.089689706385	0.083144017306	40	21	-0.198906061517	Global Trend	
