Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m3-bm-004.txt
Log File Name:                   PAL_d1_m3-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2393111641
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m3-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	211.356459	1	0.581821135011	0.810397942838	-0.054638097717	0.000733939795	0.802768732007	N\A	0.039911053604	0.008165983072	
1050000	209.770359	1	0.524333949563	0.787240317645	-0.036231020940	0.000740739133	0.800941549397	N\A	0.040095498659	0.008203721369	
1100000	213.617399	1	0.596892778689	0.758433359014	-0.037559440696	0.000724355288	0.805344371592	N\A	0.039649598348	0.008112488138	
1150000	211.936073	1	0.522855537289	0.829946159031	-0.052100900624	0.000731470694	0.803432252271	N\A	0.039843863186	0.008152235607	
1200000	213.079745	1	0.596486944404	0.784434511832	-0.047304822103	0.000726623092	0.804734945935	N\A	0.039711617102	0.008125177457	
1250000	213.624546	1	0.584356925063	0.774404947514	-0.041479651859	0.000724325190	0.805352460007	N\A	0.039648774570	0.008112319589	
1300000	212.369244	1	0.684937413512	0.687683561150	-0.025661356808	0.000729630847	0.803926673277	N\A	0.039793722595	0.008141976614	
1350000	212.102819	1	0.689118196485	0.711684902145	-0.035423205497	0.000730761907	0.803622724231	N\A	0.039824554377	0.008148284937	
1400000	212.713971	1	0.611407932173	0.732631387674	-0.030261771501	0.000728169969	0.804319254492	N\A	0.039753864813	0.008133821531	
1450000	213.249485	1	0.610018571123	0.740243774461	-0.032901290956	0.000725906371	0.804927550074	N\A	0.039692027041	0.008121169241	
1500000	212.935029	1	0.659244137405	0.705480103771	-0.028057890959	0.000727234710	0.804570586189	N\A	0.039728326745	0.008128596326	
1550000	213.462191	1	0.607535596808	0.770944932308	-0.044071317956	0.000725009222	0.805168640311	N\A	0.039667491750	0.008116149209	
1600000	213.474165	1	0.574723844703	0.785770694157	-0.044149590800	0.000724958752	0.805182203220	N\A	0.039666111028	0.008115866707	
1650000	213.007380	1	0.592684907543	0.787855769345	-0.047956781697	0.000726928863	0.804652776152	N\A	0.039719971776	0.008126886861	
1700000	211.575570	1	0.534615422597	0.792267309482	-0.039857228535	0.000733005426	0.803019824480	N\A	0.039885640400	0.008160783415	
1750000	213.640456	1	0.640266352201	0.734750896104	-0.035914390138	0.000724258194	0.805370463760	N\A	0.039646940889	0.008111944410	
1800000	213.183159	1	0.654651578238	0.733684084919	-0.037930673082	0.000726186343	0.804852313109	N\A	0.039699680658	0.008122735206	
1850000	213.123914	1	0.558303974407	0.799681667277	-0.046638951190	0.000726436518	0.804785083717	N\A	0.039706518443	0.008124134248	
1900000	213.636057	1	0.640827430463	0.733051444388	-0.035367312917	0.000724276718	0.805365485832	N\A	0.039647447899	0.008112048146	
1950000	212.886803	1	0.609148006649	0.777962665296	-0.046991156087	0.000727438644	0.804515783047	N\A	0.039733896747	0.008129735974	
2000000	213.786400	1	0.604549581774	0.759487730259	-0.039244912626	0.000723643915	0.805535538628	N\A	0.039630124063	0.008108503611	
2050000	210.350027	1	0.579416266620	0.740223610239	-0.027747787787	0.000738246923	0.801611279674	N\A	0.040027991366	0.008189909070	
2100000	211.141220	1	0.637026872739	0.701283624539	-0.022738095773	0.000734858816	0.802521764041	N\A	0.039936033588	0.008171094091	
2150000	213.131902	1	0.668616297865	0.713906285748	-0.032814151719	0.000726402785	0.804794148934	N\A	0.039705596504	0.008123945615	
2200000	213.532145	1	0.590401527792	0.762421934975	-0.037973322032	0.000724714413	0.805247864278	N\A	0.039659425965	0.008114498913	
2250000	212.439437	1	0.568045218429	0.809118849913	-0.051838857062	0.000729333147	0.804006674070	N\A	0.039785603555	0.008140315422	
2300000	213.686100	1	0.590024027350	0.769949424623	-0.040750946896	0.000724066020	0.805422106557	N\A	0.039641680601	0.008110868131	
2350000	212.437711	1	0.583287364729	0.752875955103	-0.033174106324	0.000729340464	0.804004707794	N\A	0.039785803127	0.008140356255	
2400000	211.277982	1	0.626512581677	0.778517474730	-0.050120476590	0.000734274742	0.802678721778	N\A	0.039920159648	0.008167846210	
2450000	211.487263	1	0.514000864503	0.818360276368	-0.046239090456	0.000733381854	0.802918667072	N\A	0.039895880543	0.008162878595	
2500000	213.763903	1	0.603902412361	0.764324544931	-0.040961649265	0.000723738572	0.805510101561	N\A	0.039632715902	0.008109033913	
2550000	212.531877	1	0.689906752319	0.696144722475	-0.029690468817	0.000728941279	0.804111980562	N\A	0.039774913790	0.008138128247	
2600000	213.787234	1	0.620511121372	0.747138425173	-0.037267903104	0.000723640406	0.805536481548	N\A	0.039630027984	0.008108483952	
2650000	213.482162	1	0.575684862735	0.778939384845	-0.041732846195	0.000724925044	0.805191261314	N\A	0.039665188875	0.008115678030	
2700000	211.496078	1	0.535864952390	0.789982847677	-0.039205116471	0.000733344272	0.802928766620	N\A	0.039894858286	0.008162669436	
2750000	211.501649	1	0.572886108935	0.753796186872	-0.031772419440	0.000733320518	0.802935150048	N\A	0.039894212154	0.008162537235	
