Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m3-glob-002.txt
Log File Name:                   PAL_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2716204261
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	349.476493	1	0.815561499772	0.743684145076	-0.042424569412	0.000403116128	0.903839117394	N\A	0.023956978924	0.005525049838	35	12	-0.001598015715	Global Trend	
1050000	341.474747	1	0.761468092278	0.814660438886	-0.048843455320	0.000614083795	0.917248464840	N\A	0.024526207954	0.005640347234	34	12	-0.005029211642	Global Trend	
1100000	348.811632	1	0.886024982167	0.779354323631	-0.049113732425	0.000449233846	0.905186626345	N\A	0.025095067629	0.005610645150	33	16	-0.004018123883	Global Trend	
1150000	356.638894	1	0.716572564793	0.756592823719	-0.039712718997	0.000510766005	0.914929986228	N\A	0.024422696106	0.005589505916	37	13	-0.001198993795	Global Trend	
1200000	355.342499	1	0.881904617959	0.745747570100	-0.033384489288	0.000330680244	0.908322418365	N\A	0.024276066898	0.005003023379	44	15	-0.003307822983	Global Trend	
1250000	351.213412	1	0.773060394748	0.860483572679	-0.060735168015	0.000257855973	0.922019436580	N\A	0.024279868951	0.005340741692	41	13	-0.004697738376	Global Trend	
1300000	367.828154	1	0.785486523753	0.776390362744	-0.043044213402	0.000359056662	0.913916824160	N\A	0.023568405780	0.005229674036	45	17	-0.003033060667	Global Trend	
1350000	327.357938	1	0.255749118604	0.770939140356	-0.038266851151	0.000643787037	0.908921927827	N\A	0.024385089607	0.005907441922	39	10	0.006427058913	Global Trend	
1400000	371.613211	1	0.718444206102	0.741310281050	-0.036374673079	0.000284243842	0.915634469476	N\A	0.024037078287	0.005408889748	33	15	0.000633615191	Global Trend	
1450000	363.372337	1	0.899210518441	0.752877965337	-0.034851707585	0.000454947374	0.913669892433	N\A	0.024162697002	0.005481958775	36	19	-0.005742500435	Global Trend	
1500000	328.528753	1	0.910698797022	0.773496150609	-0.040822631625	0.000363911779	0.903835554248	N\A	0.025463580733	0.005420531959	46	16	-0.006026791362	Global Trend	
1550000	366.605985	1	0.907469136003	0.755251863561	-0.040451604971	0.000588310227	0.926183257825	N\A	0.023357389556	0.005614638172	48	14	-0.005277569787	Global Trend	
