Species_TTOL	PAL	rest_of_brain	BOD
Anourosorex_squamipes	1.667	3.0789623596587	1.307
Atelerix_algirus	2.517	3.0789623596587	2.867
Blarina_brevicauda	1.602	3.0789623596587	1.267
Chrysochloris_asiatica	1.94	3.0789623596587	1.69
Chrysochloris_stuhlmanni	1.996	3.0789623596587	1.626
Crocidura_attenuata	1.375	3.0789623596587	0.968
Crocidura_flavescens	1.632	3.0789623596587	1.467
Crocidura_hildegardeae	1.455	3.0789623596587	0.996
Crocidura_denti	1.453	3.0789623596587	1.079
Crocidura_russula	1.342	3.0789623596587	1.049
Crocidura_suaveolens	1.334	3.0789623596587	1.013
Cryptotis_parvus	1.441	3.0789623596587	0.991226075692495
Desmana_moschata	2.322	3.0789623596587	2.646
Echinops_telfairi	1.934	3.0789623596587	1.942
Echinosorex_gymnura	2.774	3.0789623596587	2.921
Erinaceus_europaeus	2.54	3.0789623596587	2.929
Euroscaptor_micrura	1.857	3.0789623596587	1.617
Galemys_pyrenaicus	1.801	3.0789623596587	1.778
Geogale_aurita	1.072	3.0789623596587	1
Hemicentetes_semispinosus	2.013	3.0789623596587	2.062
Hemiechinus_auritus	2.266	3.0789623596587	2.371
Hylomys_suillus	2.063	3.0789623596587	1.756
Limnogale_mergulus	1.736	3.0789623596587	1.964
Microgale_dobsoni	1.85	3.0789623596587	1.504
Microgale_talazaci	1.995	3.0789623596587	1.683
Micropotamogale_lamottei	1.638	3.0789623596587	1.808
Micropotamogale_ruwenzorii	1.722	3.0789623596587	1.986
Myosorex_sclateri	1.684	3.0789623596587	1.23
Neomys_anomalus	1.336	3.0789623596587	1.037
Neomys_fodiens	1.358	3.0789623596587	1.182
Oryzorictes_hova	1.787	3.0789623596587	1.645
Parascalops_breweri	1.914	3.0789623596587	1.731
Potamogale_velox	2.031	3.0789623596587	2.791
Ruwenzorisorex_suncoides	1.431	3.0789623596587	1.262
Scalopus_aquaticus	2.104	3.0789623596587	2.061
Scutisorex_somereni	1.881	3.0789623596587	1.792
Setifer_setosus	2.365	3.0789623596587	2.373
Solenodon_paradoxus	2.704	3.0789623596587	2.826
Sorex_alpinus	1.418	3.0789623596587	1.033
Sorex_araneus	1.412	3.0789623596587	0.987
Sorex_cinereus	1.312	3.0789623596587	0.633
Sorex_fumeus	1.438	3.0789623596587	0.924
Sorex_hoyi	1.021	3.0789623596587	0.42
Sorex_minutus	1.104	3.0789623596587	0.633
Suncus_etruscus	0.82	3.0789623596587	0.762
Suncus_murinus	1.634	3.0789623596587	1.529
Sylvisorex_granti	1.338	3.0789623596587	0.591
Suncus_megalura	1.375	3.0789623596587	0.74
Talpa_europaea	1.883	3.0789623596587	1.908
Tenrec_ecaudatus	2.517	3.0789623596587	2.935
Aepyprymnus_rufescens	2.763428	3.0789623596587	3.392697
Antechinus_flavipes	1.79795	3.0789623596587	1.568202
Antechinus_minimus	1.926342	3.0789623596587	1.724276
Bettongia_gaimardi	2.799961	3.0789623596587	3.176091
Bettongia_penicillata	2.7577	3.0789623596587	3.079181
Burramys_parvus	1.759668	3.0789623596587	1.770852
Cercartetus_nanus	1.431364	3.0789623596587	1.278754
Dactylopsila_trivirgata	2.605736	3.0789623596587	2.643453
Dasycercus_cristicauda	2.089905	3.0789623596587	2
Dasyuroides_byrnei	2.11059	3.0789623596587	2.146128
Dasyurus_geoffroii	2.584557	3.0789623596587	2.69897
Dasyurus_hallucatus	2.406029	3.0789623596587	3.021189
Dendrolagus_lumholtzi	2.819412	3.0789623596587	3.78533
Distoechurus_pennatus	1.812245	3.0789623596587	1.633468
Dorcopsis	2.889806	3.0789623596587	3.462398
Echymipera_kalubu	2.588047	3.0789623596587	2.819544
Gymnobelideus_leadbeateri	2.102434	3.0789623596587	2.041393
Hypsiprymnodon_moschatus	2.611405	3.0789623596587	2.748188
Isoodon_macrourus	2.655427	3.0789623596587	3.033424
Isoodon_obesulus_obesulus	2.661339	3.0789623596587	3.004321
Osphranter_antilopinus	3.209783	3.0789623596587	4.537819
Macropus_giganteus	3.278067	3.0789623596587	4.563481
Notamacropus_irma	2.968763	3.0789623596587	3.819544
Notamacropus_parma	2.795463	3.0789623596587	3.536558
Notamacropus_parryi	3.09237	3.0789623596587	4.170262
Osphranter_robustus	3.192846	3.0789623596587	4.409933
Osphranter_rufus	3.142076	3.0789623596587	4.494155
Thylamys_pallidior	1.686636	3.0789623596587	1.477121
Marmosops_impavidus	2.044932	3.0789623596587	1.845098
Monodelphis_brevicaudata	1.980912	3.0789623596587	1.924279
Notoryctes_typhlops	2.077368	3.0789623596587	1.531479
Petauroides_volans	2.204391	3.0789623596587	3.09691
Petaurus_australis	2.509471	3.0789623596587	2.748188
Petaurus_breviceps	2.104828	3.0789623596587	2.113943
Petaurus_norfolcensis	2.19173	3.0789623596587	2.374748
Petrogale_inornata	2.817036	3.0789623596587	3.628389
Petrogale_lateralis	2.71592	3.0789623596587	3.556303
Petrogale_penicillata	2.847388	3.0789623596587	3.690196
Petrogale_purpureicollis	2.783832	3.0789623596587	3.740363
Petropseudes_dahli	2.341632	3.0789623596587	3.127105
Phascolarctos_cinereus	2.733358	3.0789623596587	3.968483
Planigale_ingrami	0.877371	3.0789623596587	0.826075
Planigale_maculata	1.287802	3.0789623596587	1.041393
Potorous_tridactylus_tridactylus	2.860038	3.0789623596587	3.089905
Pseudochirulus_canescens	2.061829	3.0789623596587	2.447158
Pseudochirulus_forbesi	2.177825	3.0789623596587	2.70757
Sarcophilus_harrisii	3.134177	3.0789623596587	3.732394
Sminthopsis_crassicaudata	1.535294	3.0789623596587	1.146128
Sminthopsis_leucopus	1.658965	3.0789623596587	1.361728
Phalanger_gymnotis	2.844912	3.0789623596587	3.451786
Thylacinus_cynocephalus	3.328176	3.0789623596587	4.342423
Thylogale_billardierii	2.904986	3.0789623596587	3.845098
Thylogale_stigmatica	2.889358	3.0789623596587	3.653213
Trichosurus_vulpecula	2.674677	3.0789623596587	3.30103
Vombatus_ursinus	3.248439	3.0789623596587	4.357935
Wallabia_bicolor	3.08636	3.0789623596587	4.198657
Balionycteris_maculata	1.465	3.0789623596587	1.158
Casinycteris_argynnis	1.639	3.0789623596587	1.428
Chironax_melanocephalus	1.553	3.0789623596587	1.248
Cynopterus_brachyotis	1.698	3.0789623596587	1.53
Cynopterus_horsfieldii	1.81	3.0789623596587	1.773
Cynopterus_sphinx	1.786	3.0789623596587	1.713
Dobsonia_inermis	2.226	3.0789623596587	2.173
Dobsonia_moluccensis	2.454	3.0789623596587	2.543
Dobsonia_praedatrix	2.279	3.0789623596587	2.25
Eidolon_helvum	2.386	3.0789623596587	2.418
Eonycteris_spelaea	1.836	3.0789623596587	1.769
Epomophorus_labiatus	1.918	3.0789623596587	1.806
Epomops_franqueti	2.061	3.0789623596587	2.072
Hypsignathus_monstrosus	2.208	3.0789623596587	2.491
Macroglossus_minimus	1.455	3.0789623596587	1.164
Megaerops_ecaudatus	1.593	3.0789623596587	1.38
Megaloglossus_woermanni	1.489	3.0789623596587	1.253
Melonycteris_melanops	1.882	3.0789623596587	1.675
Melonycteris_woodfordi	1.736	3.0789623596587	1.549
Epomophorus_pusillus	1.68	3.0789623596587	1.4
Myonycteris_torquata	1.827	3.0789623596587	1.561
Notopteris_macdonaldi	1.973	3.0789623596587	1.841
Nyctimene_albiventer	1.723	3.0789623596587	1.473
Nyctimene_robinsoni	1.888	3.0789623596587	1.673
Nyctimene_vizcaccia	1.851	3.0789623596587	1.549
Paranyctimene_raptor	1.661	3.0789623596587	1.417
Pteropus_alecto	2.495	3.0789623596587	2.775
Pteropus_conspicillatus	2.576	3.0789623596587	2.875
Pteropus_hypomelanus	2.444	3.0789623596587	2.591
Pteropus_lylei	2.439	3.0789623596587	2.497
Pteropus_neohibernicus	2.598	3.0789623596587	2.924
Pteropus_poliocephalus	2.491	3.0789623596587	2.842
Pteropus_samoensis	2.441	3.0789623596587	2.491
Pteropus_scapulatus	2.362	3.0789623596587	2.574
Pteropus_temminckii	2.371	3.0789623596587	2.398
Pteropus_tonganus	2.483	3.0789623596587	2.652
Pteropus_vampyrus	2.617	3.0789623596587	3.027
Rousettus_aegyptiacus	2.106	3.0789623596587	2.111
Rousettus_amplexicaudatus	2.02	3.0789623596587	1.856
Scotonycteris_zenkeri	1.601	3.0789623596587	1.328
Sphaerias_blanfordi	1.63	3.0789623596587	1.47
Syconycteris_australis	1.551	3.0789623596587	1.207
Anoura_caudifer	1.199	3.0789623596587	1.025
Anoura_geoffroyi	1.407	3.0789623596587	1.204
Ardops_nichollsi	1.483	3.0789623596587	1.352
Artibeus_cinereus	1.403	3.0789623596587	1.1
Artibeus_concolor	1.531	3.0789623596587	1.288
Artibeus_jamaicensis	1.736	3.0789623596587	1.613
Artibeus_lituratus	1.851	3.0789623596587	1.748
Aselliscus_stoliczkanus	0.642	3.0789623596587	0.69
Aselliscus_tricuspidatus	0.681	3.0789623596587	0.643
Brachyphylla_cavernarum	1.833	3.0789623596587	1.648
Cardioderma_cor	1.215	3.0789623596587	1.415
Carollia_perspicillata	1.515	3.0789623596587	1.25
Chalinolobus_gouldii	0.917	3.0789623596587	1.068
Chalinolobus_morio	0.752	3.0789623596587	0.919
Chiroderma_salvini	1.577	3.0789623596587	1.417
Chiroderma_trinitatum	1.393	3.0789623596587	1.137
Chiroderma_villosum	1.508	3.0789623596587	1.394
Choeroniscus_minor	1.117	3.0789623596587	0.982
Coleura_afra	0.949	3.0789623596587	1.061
Cormura_brevirostris	0.867	3.0789623596587	0.914
Craseonycteris_thonglongyai	0.356	3.0789623596587	0.408
Desmodus_rotundus	1.631	3.0789623596587	1.56
Diphylla_ecaudata	1.59	3.0789623596587	1.49
Emballonura_monticola	0.651	3.0789623596587	0.724
