Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m7-glob-003.txt
Log File Name:                   PAL_d1_m7-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            348359099
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m7-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	428.526706	1	-0.873815507060	0.927559524072	0.094060741675	-0.020311233536	0.000257714059	0.995238237406	N\A	0.032452371710	0.034754238925	0.003622825770	41	7	0.089284447323	Global Trend	
1050000	448.214162	1	-0.551311573318	0.855477406022	0.177473745722	-0.031114419449	0.000262331774	0.999949622400	N\A	0.031895046067	0.034985401845	0.003836932544	44	9	0.900955284194	Global Trend	
1100000	439.792260	1	-0.840250739181	0.961582657717	0.062078337846	-0.023394016918	0.000189599654	0.999953411150	N\A	0.030756916811	0.033659521522	0.003591739902	53	11	0.611357881055	Global Trend	
1150000	435.549850	1	-0.914078664477	0.960668522101	0.058363275190	-0.016076178820	0.000342599016	0.990823192052	N\A	0.029906961759	0.032007374052	0.003711700250	39	12	0.067168053939	Global Trend	
1200000	454.168932	1	-0.859899186939	0.872433123887	0.160800362396	-0.027417914712	0.000212378100	0.978391299188	N\A	0.032836104492	0.033641197677	0.003651940859	30	13	-0.030238744006	Global Trend	
1250000	453.782273	1	-0.697097696426	0.801373348197	0.231662921460	-0.031747926997	0.000219543767	0.999381397354	N\A	0.034120947199	0.037058916917	0.003635732597	29	12	0.260094295680	Global Trend	
1300000	462.788146	1	-0.869881127206	0.900044295558	0.125100208811	-0.025764444013	0.000228353505	0.999358805758	N\A	0.029406772083	0.032390054371	0.003735793175	33	14	-0.280254508538	Global Trend	
1350000	429.844671	1	-0.788577813664	0.913942136809	0.113696940345	-0.027959770298	0.000179769859	0.999873775943	N\A	0.034448316986	0.037559125867	0.003760893404	42	10	0.385726598469	Global Trend	
1400000	447.691418	1	-0.960669378790	1.005830261365	0.011972323356	-0.017135773906	0.000321338156	0.999930567344	N\A	0.034040871904	0.037076417603	0.003735287954	40	14	0.879070016914	Global Trend	
1450000	422.984614	1	-0.811728967783	0.938012097897	0.083841545899	-0.021688029432	0.000321426617	0.999977273437	N\A	0.034932260930	0.038111441862	0.003930465175	32	9	1.589953438281	Global Trend	
1500000	421.780662	1	-1.002457796887	0.981310182944	0.041206209190	-0.021039240397	0.000224392756	0.999659617614	N\A	0.034333380009	0.037375281811	0.003738304746	45	7	0.190278792703	Global Trend	
1550000	453.593462	1	-0.706130440168	0.920889867817	0.090683523114	-0.021734505941	0.000194869480	0.993568178852	N\A	0.030463596064	0.032478381885	0.003497948980	41	14	-0.058000159663	Global Trend	
1600000	447.820360	1	-0.654754261897	0.952054649920	0.066019204321	-0.021396724623	0.000248788842	0.999694807835	N\A	0.033537695161	0.036776382920	0.003826031858	35	13	-0.618976842103	Global Trend	
1650000	471.563586	1	-0.902777633883	0.932773740846	0.122265084671	-0.030778508641	0.000260360427	0.977560179278	N\A	0.024733329699	0.025993841700	0.003604468087	36	17	-0.020563480975	Global Trend	
1700000	465.339155	1	-0.726736467723	0.984881036598	0.052455180916	-0.022568895560	0.000226785485	0.992916525317	N\A	0.029912287532	0.032073355402	0.003466865039	49	14	0.073363840082	Global Trend	
1750000	451.110265	1	-0.641547500440	0.925287320922	0.114521646656	-0.025446986173	0.000233827275	0.990616795565	N\A	0.031598703585	0.033859518071	0.003474793545	46	13	0.052400847183	Global Trend	
1800000	429.990378	1	-0.650484502642	0.970772863258	0.035303467331	-0.012878679904	0.000329273321	0.999046161166	N\A	0.031008576577	0.034124008201	0.003859692866	44	11	-0.250795844687	Global Trend	
