Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-VR-001.txt
Log File Name:                   PAL_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2595392715
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	404.221226	1	-1.180511744275	1.187734922678	-0.044635359118	0.001944213137	0.000334187335	0.947042786293	N\A	0.057396949133	0.008470634952	0.029345547514	42	31	
1050000	419.803166	1	-1.384084070218	1.298995874715	-0.052812236607	-0.027709541375	0.000376395564	0.950339412327	N\A	0.063049460856	0.008991889659	0.027952114332	45	21	
1100000	396.192662	1	-1.383598756574	1.277626548540	-0.039702500628	-0.066964583208	0.000397212554	0.939148918388	N\A	0.067639600030	0.008448465099	0.033137544305	54	29	
1150000	402.569272	1	-1.433511269907	1.324374736761	-0.041347674656	-0.081813627732	0.000058554123	0.941420594166	N\A	0.064832691415	0.009371100534	0.030339161231	52	25	
1200000	395.714737	1	-1.104511551314	1.128610141664	-0.027587550693	-0.027269958755	0.000039889390	0.942231630135	N\A	0.061461703754	0.008792897686	0.032691397120	41	36	
1250000	407.135578	1	-1.209685846226	1.202024919069	-0.043988440487	0.001823398838	0.000010686889	0.941131083103	N\A	0.068733354153	0.009612069429	0.030462407879	51	27	
1300000	384.221720	1	-1.529578476243	1.354830389940	-0.064082495317	0.006817225657	0.000019928925	0.939842604987	N\A	0.063231252719	0.008151868205	0.028066556210	45	28	
1350000	398.741803	1	-1.528130625662	1.373654734432	-0.052868200078	-0.074228316876	0.000007177316	0.944699447428	N\A	0.057748840949	0.007543664213	0.028242032994	48	32	
1400000	403.617660	1	-1.168377114340	1.171249625512	-0.040464074958	0.004592704941	0.000007981185	0.950930587984	N\A	0.057503609127	0.009127531602	0.028008550156	49	31	
1450000	400.660941	1	-1.608561977384	1.253848396643	-0.054133781032	0.001243396943	0.000030723165	0.948036161365	N\A	0.062444052504	0.008663208949	0.028332084882	51	21	
