Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-fab-004.txt
Log File Name:                   PAL_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            182094729
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	471.203274	1	-1.308119986469	1.248059418920	-0.050536735188	0.016535186886	0.000121547713	0.969142372425	N\A	0.043880409621	0.006387275876	0.020288845517	31	16	
1050000	453.300690	1	-1.001718883871	1.094479347146	-0.032032424867	0.017003988393	0.000160147229	0.952715040315	N\A	0.055418791322	0.007344435653	0.026452815592	40	15	
1100000	459.171308	1	-1.144909472596	1.172581456541	-0.047031145561	0.040974722352	0.000233590074	0.957068286148	N\A	0.055690394800	0.008034185882	0.024868645863	35	13	
1150000	443.978448	1	-1.387039007414	1.321959688904	-0.040920052412	-0.086699454772	0.000192530127	0.957174321672	N\A	0.048099040349	0.006206105419	0.021166750120	33	9	
1200000	433.026704	1	-1.287326534244	1.258171347300	-0.032687811431	-0.073241111217	0.000176435686	0.951990621853	N\A	0.057581039802	0.006726360256	0.024789452808	38	11	
1250000	438.894003	1	-1.256961894923	1.238472871605	-0.042350460131	-0.036498266098	0.000185735713	0.950116993727	N\A	0.062428935675	0.008240962107	0.027538272099	42	10	
1300000	442.194342	1	-1.239254702446	1.202126669680	-0.049156876388	0.032683629189	0.000023704296	0.953108016627	N\A	0.061595901020	0.007386145926	0.026191698419	38	10	
1350000	444.306601	1	-1.251286635483	1.270463635278	-0.044608215094	-0.044606680778	0.000147276424	0.959318810891	N\A	0.052145424442	0.007371529779	0.023182253452	39	11	
1400000	461.414619	1	-1.132197851269	1.164767101215	-0.037312630021	0.002753373543	0.000303881369	0.958630376811	N\A	0.051358838395	0.006996286806	0.022254773412	34	13	
1450000	476.052293	1	-1.105370488800	1.208724152959	-0.048717022781	-0.000400226372	0.000201587099	0.959879430069	N\A	0.052483821178	0.006564804370	0.022997673587	31	17	
