Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-VR-006.txt
Log File Name:                   PAL_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1171951514
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	396.571903	1	-1.499954051066	1.331232116476	-0.072468037192	-0.035031391439	0.015161462167	0.000230183363	0.944193485125	N\A	0.123255228821	0.018408994970	0.053592450252	0.010046809301	61	25	
1050000	396.624593	1	-1.161562011204	1.026646545627	-0.033540520195	0.089868517959	-0.004178839618	0.000246237477	0.953442787586	N\A	0.122898206389	0.018338004528	0.049950906295	0.009032527104	41	32	
1100000	390.167723	1	-1.175758823622	0.975898713387	-0.015583846928	0.095696421943	-0.016944038150	0.000302561508	0.940721704601	N\A	0.123662381723	0.018256805646	0.054327164309	0.010295229385	37	30	
1150000	389.743289	1	-1.326670463055	1.097289579321	-0.040040533095	0.069054576629	-0.002163925931	0.000295110843	0.939761796383	N\A	0.146612714980	0.021240555241	0.062160196930	0.011853722413	57	32	
1200000	387.138217	1	-1.220240696425	0.950139135006	-0.007001892222	0.127339488154	-0.024287143132	0.000419579585	0.943174881221	N\A	0.123017717022	0.017626627936	0.056091890730	0.010357189584	63	27	
1250000	408.355177	1	-1.283277567909	1.047287702205	-0.018955851806	0.049234732301	-0.014836888412	0.000561596885	0.944844805366	N\A	0.137792958839	0.019403184283	0.060377360463	0.010731105628	37	30	
1300000	384.775753	1	-1.199099316547	1.057072358576	-0.030532777862	0.060816501763	-0.005617788637	0.000394943777	0.938098836412	N\A	0.137037481079	0.020677810739	0.058248407405	0.011504320052	51	19	
1350000	387.218682	1	-0.972943043235	0.965365779588	-0.010051106623	0.138847642159	-0.028568558125	0.000189894384	0.940778261710	N\A	0.112726919463	0.014853388182	0.052505499663	0.008504052817	55	21	
1400000	391.505726	1	-1.056946631072	1.025357269417	-0.006473619017	0.010046543510	-0.014144614303	0.000132450776	0.939387278686	N\A	0.118086421014	0.016635141326	0.052429089349	0.009433470415	48	31	
1450000	399.586863	1	-1.185945801213	1.130208331894	-0.025923453013	0.055111013668	-0.021671445078	0.000156217742	0.945335794903	N\A	0.126909938992	0.017861629044	0.053913282266	0.009256147304	48	28	
