Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-fab-002.txt
Log File Name:                   PAL_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1591381474
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	446.128306	1	-1.204922345044	1.137669971130	-0.016864964774	0.004040008806	-0.017047305290	0.000262153131	0.953069831440	N\A	0.111846624235	0.016549263781	0.048960042042	0.009585619296	43	10	
1050000	451.635061	1	-0.706417362456	0.791827667768	0.002247144276	0.238593466627	-0.037049413949	0.000165385543	0.957875494004	N\A	0.118885910979	0.016161982299	0.052576281574	0.009427040062	38	15	
1100000	448.308768	1	-1.302592593669	1.243790101292	-0.047288675010	0.007151125900	-0.004206186262	0.000233126099	0.952717284384	N\A	0.119172350778	0.017333233570	0.051397034952	0.009742082816	44	12	
1150000	472.432574	1	-0.983140251354	1.115697049498	-0.032613171158	0.012993771843	-0.000815245060	0.000154621949	0.957804876680	N\A	0.100005078780	0.013948512275	0.045672303344	0.007492608653	38	15	
1200000	438.811234	1	-1.705382937123	1.439288242126	-0.062278370553	-0.104891577034	0.004946769851	0.000285728210	0.956725049727	N\A	0.090541758522	0.012909697498	0.042632320083	0.007865836885	41	13	
1250000	450.969742	1	-1.180010854831	1.134755506359	-0.019052495380	0.036571724951	-0.019974291311	0.000094087285	0.954903634902	N\A	0.091457779911	0.013469217749	0.042636434247	0.008082377182	30	12	
1300000	458.410738	1	-1.347399112700	1.368380826489	-0.080040067619	-0.026050037795	0.016591699546	0.000487268624	0.952111935476	N\A	0.116636686450	0.018056881203	0.045513067699	0.008987166383	40	18	
1350000	465.332176	1	-1.519275388258	1.464018660007	-0.076703918388	-0.114323547158	0.021918405204	0.000189178217	0.964544518168	N\A	0.071383120388	0.011148044587	0.032939549537	0.006892249032	36	15	
1400000	444.165771	1	-1.620176459236	1.525298252899	-0.085717276845	-0.128302917897	0.020683274263	0.000266273672	0.970054228708	N\A	0.060540926165	0.010178689772	0.034056079796	0.007022363734	22	8	
1450000	453.015243	1	-1.092687547725	1.161635846543	-0.038177314060	0.015800680795	-0.004485142673	0.000163532159	0.954643326937	N\A	0.108616715781	0.015590138209	0.047420785417	0.008585338798	42	12	
1500000	457.395433	1	-0.787334806689	0.862326573123	-0.000388423631	0.137304893183	-0.020141726501	0.000209278795	0.950055434492	N\A	0.123183197971	0.016917137478	0.053297086413	0.008949052054	31	14	
1550000	457.342447	1	-1.537860274548	1.472825786006	-0.078120866787	-0.109469765189	0.015611818536	0.000107421224	0.960061435130	N\A	0.103314957977	0.014064919184	0.048184338634	0.008559610694	38	14	
1600000	448.976278	1	-1.265738968487	1.313181618433	-0.073396505310	-0.006847745185	0.012729754913	0.000157784181	0.955486109198	N\A	0.089363047547	0.011495464219	0.044313869697	0.007337405931	42	9	
1650000	454.010571	1	-1.524054331089	1.479254838503	-0.087852718209	-0.093593912082	0.024047506083	0.000075076354	0.956828199570	N\A	0.104337459772	0.012603881062	0.048195052397	0.007537431546	42	12	
1700000	445.202061	1	-1.304322637792	1.263920395982	-0.048491363945	-0.016990008511	0.000298811747	0.000194893068	0.951382181444	N\A	0.110518690709	0.015939619241	0.047401827161	0.008575192881	39	9	
1750000	454.044353	1	-1.456461499631	1.462698698185	-0.090322391096	-0.061674662056	0.020834419909	0.000228738726	0.954557978663	N\A	0.107205785662	0.014873896709	0.049625448878	0.008997915498	44	14	
1800000	450.596709	1	-1.567018010146	1.571196382285	-0.100362265535	-0.133891986412	0.030029065116	0.000129887794	0.962196568311	N\A	0.090121745273	0.012941310839	0.041734514766	0.007732219254	32	11	
1850000	445.894967	1	-1.151077754885	1.230051527213	-0.044933790849	-0.026368715442	0.000611729254	0.000168540774	0.954924824421	N\A	0.097090303509	0.013299790399	0.045375956635	0.007835408444	40	14	
1900000	465.438560	1	-1.187424623605	1.263348715269	-0.045182742663	-0.063523038528	0.005277878895	0.000115849674	0.958896984504	N\A	0.104902228718	0.014582867620	0.046008895117	0.008401682929	36	13	
