Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-glob-003.txt
Log File Name:                   PAL_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2887061203
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	427.361291	1	-1.182819622528	0.926978238117	-0.004254023260	0.104440706925	-0.023135976119	0.000206154390	0.964578099055	N\A	0.047785394619	0.006798242858	0.039889799666	0.006550504808	39	9	-0.011005386910	Global Trend	
1050000	444.316166	1	-0.966053627317	0.906305086870	-0.000027921370	0.119842428160	-0.029827722158	0.000242600247	0.994642759547	N\A	0.033312376207	0.004925054443	0.035619153191	0.006272346180	35	11	0.094584848084	Global Trend	
1100000	448.478229	1	-1.118542716422	1.096950651906	-0.041362695910	0.070588889520	-0.004890559884	0.000199242527	0.956450957319	N\A	0.079106742033	0.011191112083	0.044148601105	0.007545808087	44	13	-0.006722102126	Global Trend	
1150000	446.725912	1	-0.652742466823	0.889516942081	-0.006776762002	0.131308968942	-0.021022669831	0.000258366828	0.995508253841	N\A	0.033716496966	0.004428208782	0.035951604099	0.005606433710	45	12	-0.097584551637	Global Trend	
1200000	446.401632	1	-0.867935783406	0.913515559135	-0.000478780528	0.103585911434	-0.022971770946	0.000309963935	0.959673156833	N\A	0.057170720928	0.008239700418	0.040630225116	0.007370767189	31	12	0.014829554779	Global Trend	
1250000	469.240328	1	-0.395702170792	0.922152134639	-0.012056557501	0.106212547217	-0.014259117628	0.000228854999	0.999900034067	N\A	0.030087830147	0.004561045999	0.033000496689	0.005657662158	37	11	0.641517821436	Global Trend	
1300000	455.317497	1	-0.848900340462	0.994188952900	-0.015496622343	0.037572459366	-0.003262567561	0.000139670891	0.973798153339	N\A	0.038386876615	0.004962688138	0.033582567371	0.005713527093	39	13	-0.013355398508	Global Trend	
1350000	442.013542	1	-0.784598113071	0.912412364710	-0.000824190888	0.113344608305	-0.025502719180	0.000170342099	0.999709197048	N\A	0.034344240006	0.004869132328	0.037143079263	0.006041706975	29	8	-0.308282322114	Global Trend	
1400000	469.610996	1	-1.000979505177	1.134998288166	-0.028659935415	0.021478241813	-0.009971609115	0.000273559291	0.966603950363	N\A	0.070216811972	0.011738864178	0.036285180411	0.007650453784	36	13	0.005533477884	Global Trend	
1450000	466.005414	1	-0.578033883686	0.813585551304	0.013058087307	0.107202812962	-0.025477050417	0.000092264567	0.959311546848	N\A	0.082708934212	0.012420145915	0.041405309150	0.007673865379	43	16	-0.002322619065	Global Trend	
