Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-VR-001.txt
Log File Name:                   SCH_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1092621456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	309.131213	1	-0.741540445992	0.768224336240	1.596474543585	1.050237023056	1.287497994346	1.289586814194	1.398962433567	-0.199268382943	-0.098516662138	-0.136311123494	-0.119052712041	-0.282917870252	0.000312154438	0.910471464097	N\A	0.120099935964	0.757998781024	0.754289576072	0.757742999121	0.752265102426	0.781767638126	0.122008048777	0.121875911577	0.123962772771	0.123958602708	0.121981771009	54	30	
1050000	330.261656	1	0.179862964008	0.541203882796	0.472863770759	0.079497327948	0.064503097401	0.069128919864	0.621749088723	0.080504865710	0.115260451809	0.065191434705	0.084906636885	0.023095011119	0.000261933733	0.915762488567	N\A	0.086408682743	0.253524650996	0.236462647416	0.256052332533	0.243148216914	0.295063559618	0.089886557213	0.088385828884	0.090692134459	0.093539950035	0.088440996458	50	27	
1100000	324.638343	1	0.291075537572	0.589477626830	0.351647309952	-0.088680683977	0.311754128973	0.058877458718	0.539460263395	0.017320187909	0.115135181945	-0.029002552509	0.014845030959	-0.067511033399	0.000374379177	0.917314200389	N\A	0.097381192929	0.251838246420	0.236491739892	0.261999761261	0.239069593658	0.315947352645	0.099679643111	0.099086981539	0.102505998697	0.102214687107	0.099948063699	51	24	
1150000	315.940849	1	0.140530915957	0.647057098145	0.794029300899	0.245878175787	0.807922390801	0.294471511046	0.419918387458	-0.050730805868	0.008990723110	-0.111165339418	-0.015347246917	-0.217517136754	0.000806327869	0.914254260814	N\A	0.087210887821	0.300169989137	0.289939493368	0.304966280951	0.299090247749	0.492512958224	0.089861767717	0.088891441731	0.091855501462	0.093114262911	0.094104571851	45	21	
1200000	345.134291	1	0.665002004491	0.540124365092	-0.331837422645	-0.690124085294	0.057864065814	-0.310505397687	0.137119856140	0.076618383408	0.104415160870	0.005506005937	0.095382620559	-0.043859599584	0.000325287599	0.915872499885	N\A	0.058912566449	0.230831127313	0.214531088445	0.232844292784	0.226654424972	0.302707220354	0.063932504695	0.061477528358	0.065393044603	0.067406315060	0.062905764913	42	23	
1250000	311.245519	1	0.454221174942	0.730196005559	0.237484431655	-0.023462931159	0.189961702261	-0.086859738712	-0.046684605938	-0.129297492150	-0.067350756213	-0.108796963367	-0.055988114514	-0.204957575468	0.000369972458	0.908206916242	N\A	0.064774575684	0.244078041821	0.231811235267	0.243608771703	0.235211735614	0.322183441680	0.068824908374	0.067206208971	0.071993106918	0.074031000908	0.070089973255	44	22	
1300000	331.116961	1	0.082818992292	0.761543760231	0.600656055229	0.250919902486	0.573295651461	0.326654202390	0.383667845404	-0.147115488429	-0.106482318830	-0.152715247590	-0.124453846815	-0.218110784586	0.000285160068	0.929867360503	N\A	0.104023297014	0.269965614411	0.263805631422	0.283014703449	0.275867339129	0.326515710075	0.105936061612	0.105143367710	0.109274498424	0.112566959402	0.105636904107	50	31	
1350000	315.194810	1	-0.017748821857	0.664927055417	0.883723552658	0.304763812177	0.759240670197	0.435585959960	0.611461069923	-0.118543058997	-0.006994821042	-0.061460724844	-0.036525199775	-0.138868626308	0.000372708012	0.897588569269	N\A	0.061142082305	0.468915482258	0.222585361173	0.245669765688	0.234634773466	0.318421474961	0.066558300365	0.064233516299	0.069672317479	0.070353962669	0.066464341482	40	23	
1400000	320.750761	1	0.168591240295	0.734249925658	0.560599628461	0.246221429983	0.188840520047	-0.153940295132	0.529532902589	-0.105096333737	-0.086126402630	-0.082515870556	-0.029835424149	-0.234785518122	0.000275052637	0.919265033240	N\A	0.093031474002	0.246733718515	0.234063580290	0.251498788094	0.261969143265	0.317492802947	0.095945704193	0.094458726650	0.099460231834	0.097806404064	0.095753380469	45	25	
1450000	316.733720	1	0.087603149146	0.816791696409	0.786042101673	0.292527269928	0.723683505853	0.219290868543	0.543272620215	-0.216633731558	-0.128310077188	-0.258486059942	-0.182764620945	-0.323446630050	0.000273809479	0.907928953268	N\A	0.149266135717	0.496400085533	0.487851778635	0.495677111121	0.491625131522	0.523814477000	0.151376642347	0.150271647417	0.152662520198	0.153865342188	0.150990227383	55	27	
