Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-bm-001.txt
Log File Name:                   SCH_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            550834898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	261.592088	1	0.067987423898	0.805970740717	0.988798258433	0.239620221531	0.656322551777	0.418598634113	0.256916419825	-0.202662538832	-0.099184877578	-0.240736948817	-0.109111663222	-0.240436826570	0.000548046091	0.860340251621	N\A	0.071675174781	0.305886616074	0.276682018093	0.290017584544	0.281080984510	0.381115245572	0.079752206015	0.076966131335	0.080009805976	0.083146755730	0.075996196934	
1050000	261.712880	1	0.187393647534	0.787529432415	0.632583765785	0.139406367326	0.917990190200	0.088979463950	0.102225697019	-0.197339070887	-0.121171627333	-0.283345318980	-0.072316989970	-0.218551455877	0.000547661345	0.860438297116	N\A	0.071650011261	0.305779226255	0.276584881343	0.289915765980	0.280982303383	0.380981444696	0.079724206833	0.076939110280	0.079981716357	0.083117564800	0.075969516401	
1100000	257.238442	1	-0.092568877299	0.816731830318	0.638515384818	0.235737494851	0.921472546044	0.964182486873	0.526055475214	-0.230001218120	-0.119203304261	-0.286138645963	-0.233216825006	-0.271892268517	0.000562095232	0.856760079233	N\A	0.072588056582	0.309782502283	0.280205943633	0.293711356839	0.284660936929	0.385969271709	0.080767959903	0.077946400735	0.081028840753	0.084205743872	0.076964112887	
1150000	258.199350	1	0.341586799584	0.641113959891	0.592955503090	-0.193888738416	0.339274851210	-0.087295757703	0.178380183884	-0.119529054591	0.054655180970	-0.121830718040	0.100450288846	-0.080794180219	0.000558963743	0.857558082997	N\A	0.072385576558	0.308918382600	0.279424325983	0.292892066651	0.283866892343	0.384892633608	0.080542662530	0.077728973932	0.080802815669	0.083970857007	0.076749426117	
1200000	261.405823	1	-0.033441905116	0.810191335406	0.790553223072	0.208482645692	0.917093594658	0.566143477073	0.457247065917	-0.225968241268	-0.107546799201	-0.309126458184	-0.182702941805	-0.234197594894	0.000548639911	0.860188927191	N\A	0.071713995088	0.306052288671	0.276831873059	0.290174662244	0.281233222019	0.381321663078	0.079795400958	0.077007817300	0.080053140439	0.083191789211	0.076037357569	
1250000	253.564293	1	-0.227747901577	0.732159502028	1.146813518177	0.638626259778	0.698854022906	0.869578696191	0.831461737368	-0.108887788400	0.044335329105	-0.138218496117	-0.085409803902	-0.218238440113	0.000574231497	0.853667368852	N\A	0.073367500519	0.313108918564	0.283214769522	0.296865202625	0.287717600131	0.390113774578	0.081635238897	0.078783382083	0.081898921062	0.085109937476	0.077790546518	
1300000	261.948913	1	-0.149835653712	0.771166130290	0.899632861194	0.267521970474	0.783524167118	0.489705650088	0.759172120321	-0.216872894077	-0.085209091538	-0.156665328612	-0.134557556474	-0.226793724564	0.000546910313	0.860629684286	N\A	0.071600865983	0.305569490000	0.276395169707	0.289716910591	0.280789575522	0.380720126677	0.079669523404	0.076886337170	0.079926856300	0.083060553841	0.075917408343	
1350000	258.962366	1	0.319842127308	0.666069662660	0.119992194788	-0.088991027108	0.431991754456	0.118573194412	0.214961765266	-0.049952712079	-0.003260600066	-0.153075590276	0.045336938656	-0.139624716862	0.000556489594	0.858188575756	N\A	0.072225198218	0.308233939373	0.278805230137	0.292243131519	0.283237953495	0.384039860931	0.080364211253	0.077556756697	0.080623787994	0.083784810182	0.076579379180	
1400000	261.482567	1	-0.061124618856	0.733227539573	0.714996612002	0.369865390511	0.617074356427	0.493052524983	0.724686198625	-0.111305923895	-0.053429585667	-0.185241446369	-0.125567448829	-0.192162208835	0.000548395171	0.860251294703	N\A	0.071697998064	0.305984018509	0.276770121008	0.290109933857	0.281170488172	0.381236602804	0.079777601239	0.076990639398	0.080035283227	0.083173231869	0.076020396145	
1450000	257.481793	1	-0.225215897257	0.830891828021	0.783811251315	0.431164515639	0.812709858104	0.547630258890	0.893939627739	-0.257802498171	-0.233531201286	-0.253930144732	-0.160197927124	-0.294729787684	0.000561300524	0.856962596138	N\A	0.072536724844	0.309563434918	0.280007791777	0.293503654427	0.284459634658	0.385696327722	0.080710843623	0.077891279763	0.080971539987	0.084146196511	0.076909686555	
1500000	260.176823	1	-0.317865865399	0.727439137699	0.900303415390	0.480597774792	1.128753899611	0.635017565876	0.965260315154	-0.163797185461	-0.073364030462	-0.138057784560	-0.056858219560	-0.185047275343	0.000552574174	0.859186350490	N\A	0.071970664119	0.307147669626	0.277822672255	0.291213216146	0.282239773928	0.382686437997	0.080080993864	0.077283433263	0.080339655812	0.083489538010	0.076309500194	
1550000	255.231135	1	0.816395544331	0.622033278153	0.099277624297	-0.555802650532	-0.101999483606	-0.405604587410	-0.504481690782	-0.070329267227	0.043900236516	-0.065105499291	-0.009056015095	-0.052090910271	0.000568693530	0.855078620743	N\A	0.073012860298	0.311595428048	0.281845779876	0.295430230185	0.286326844922	0.388228061769	0.081240634487	0.078402562839	0.081503042078	0.084698537239	0.077414526394	
