Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-fab-004.txt
Log File Name:                   SCH_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3864695672
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	337.129476	1	-3.371247147643	2.468352327295	4.102185711210	3.629305886491	3.958623416691	3.850029399987	4.001719548439	-1.906820203359	-1.794573694926	-1.861864956595	-1.828049397376	-2.002579629789	0.000476767706	0.930137789797	N\A	0.504050447422	0.982440756914	0.979560033949	0.980764706598	0.980369743471	1.007211982231	0.504587843189	0.504300960987	0.504581778185	0.504853622712	0.504402861199	40	10	
1050000	329.378722	1	-3.063271491836	2.134241735325	2.503542487090	2.170514644793	2.672558638230	2.411245717750	3.851826627538	-1.493387834489	-1.442178687862	-1.628373565603	-1.542527081172	-1.643032213526	0.000232769328	0.934818685482	N\A	0.324780674972	0.798811343737	0.795531571384	0.801551616282	0.796795613761	0.814971814748	0.325293687089	0.325109009550	0.325913149902	0.326110312123	0.325500160191	45	14	
1100000	352.563453	1	-1.155039554333	1.397968432647	2.556074741335	2.104348540897	2.094544229795	1.753171066592	1.755241796795	-0.814937013492	-0.731100460677	-0.857950383496	-0.818410948141	-0.898748646773	0.000228837441	0.913946973949	N\A	0.148154854292	0.319477067664	0.307558080100	0.313180908802	0.312670051406	0.355618502680	0.150205040889	0.149160511117	0.150072740405	0.152226386843	0.150280765746	34	10	
1150000	350.954690	1	-0.590336467304	0.990506514275	1.583541242173	1.012549274583	1.359196654411	1.532532836125	1.114790867475	-0.383729962826	-0.290429393389	-0.449904039617	-0.355251977743	-0.457494168468	0.000451611224	0.924966129857	N\A	0.084533996260	0.302451238698	0.291834547248	0.305657575956	0.293803752274	0.380262553852	0.086954116331	0.085912843505	0.090230793660	0.092324551610	0.088199049162	40	9	
1200000	350.354062	1	0.620961402066	0.783704173506	-0.486664730634	-1.056445622015	0.128793469864	0.263591568013	0.027312333335	-0.244004518446	-0.079452907125	-0.221224870080	-0.159307081963	-0.249717183706	0.000274356095	0.930181331404	N\A	0.100730948659	0.300687406917	0.290849305073	0.299637551089	0.293336850014	0.346587113850	0.102957152089	0.102115332585	0.104563505171	0.104855111481	0.102590511198	41	12	
1250000	364.095474	1	0.252066035967	0.658659488009	0.020903987377	-0.602962245796	-0.105622676977	0.890767070263	0.286734612048	-0.104771994028	0.009604773589	-0.065625210492	-0.008047355301	-0.116421299190	0.000245291611	0.925204232006	N\A	0.054648216340	0.205294715071	0.185395057358	0.196837752271	0.194000354905	0.262529580600	0.059317396975	0.057034959815	0.060734063081	0.064599595796	0.059800458703	38	8	
1300000	351.199260	1	0.340725880288	0.589198195763	-0.119911642344	-0.575513212227	0.192404575291	0.273075434646	0.262624405890	0.013011478059	0.051255448601	-0.085989553141	0.056190484546	-0.064716380740	0.000648789552	0.923239667379	N\A	0.041284460167	0.176150195551	0.154815096689	0.176010019160	0.177755244579	0.313164272344	0.046427418895	0.044476718525	0.050627048648	0.053662235582	0.049235393648	38	11	
1350000	339.169006	1	1.028116267612	0.336790787702	-0.575511804157	-1.102408397332	-0.853502637593	-0.686831869254	-0.561162882506	0.222496943988	0.369061154844	0.249787750351	0.315107511860	0.175187887867	0.000297045856	0.902616458047	N\A	0.054745622151	0.234031616994	0.213708902170	0.225093225134	0.218987313836	0.289901876632	0.060412859790	0.058716977388	0.061409209136	0.065176997553	0.058775344754	38	13	
1400000	366.381317	1	0.284991545355	0.550195728133	-0.558410479127	-0.936751857960	0.600538778307	-0.777175965197	0.289446299595	0.086279338988	0.117448231401	0.019261669710	0.097476616970	0.018630659041	0.000310397012	0.930486629065	N\A	0.074645354350	0.237895603543	0.228542731761	0.271209659744	0.233719739264	0.303572308464	0.076475960694	0.076750502494	0.084210075708	0.081123151813	0.077053428224	30	15	
1450000	376.070884	1	0.230367464033	0.571477639393	-0.243262724632	-0.762227307683	0.429457073029	-0.666736802046	0.519608438758	0.026822474414	0.129638355889	-0.003260545963	0.085562495233	-0.071301656669	0.000184767021	0.935996948697	N\A	0.041617160620	0.177363965754	0.161013426437	0.195079049729	0.163593545603	0.224712661429	0.046102597467	0.044807837041	0.050695487383	0.047170798258	0.045784060543	32	12	
1500000	375.713170	1	0.474420088906	0.526745247078	-0.744212102708	-1.224814002583	0.164647664876	-1.020339516097	0.213396548069	0.069592303094	0.165187716571	0.071218055677	0.118474058273	-0.040689834842	0.000323973622	0.927833284500	N\A	0.032250695509	0.186670597159	0.165541612760	0.177705434816	0.174298618465	0.263300574831	0.039734994041	0.036045625188	0.040591500626	0.045841031928	0.041632548354	41	10	
1550000	363.057065	1	0.341407469503	0.441602633016	-0.563149845373	-0.896765589510	0.487209625234	-0.582713629139	0.277362052706	0.193589411022	0.229881427877	0.112632414533	0.220299961184	0.099696831767	0.000245093932	0.926811299577	N\A	0.048735303823	0.193818174504	0.178983281691	0.193319413783	0.192899341080	0.263872335720	0.052698216995	0.051696011395	0.053483439607	0.061541461817	0.055567570623	36	14	
1600000	369.472161	1	0.406000109207	0.460753566730	-0.556778805838	-1.051940161111	-0.042997006491	-1.117774254474	0.790828607005	0.128301501216	0.227001045016	0.089114014628	0.171748613646	0.095050444909	0.000160918325	0.950546258049	N\A	0.037760111437	0.171408744339	0.158226641676	0.156964130943	0.163794125134	0.214727257815	0.046654592454	0.041825196685	0.038992947605	0.047740218524	0.044496132536	34	15	
1650000	368.898664	1	0.185011350864	0.696023147483	0.593785802223	-0.010664493284	0.566658329562	0.592125456102	-0.471980232982	-0.125462927140	-0.035296413143	-0.176558788195	-0.038948688569	-0.223652632318	0.000252837880	0.925516743299	N\A	0.048683443436	0.208050414648	0.187102109868	0.194452873167	0.197018275874	0.268277843867	0.054549061922	0.051084523751	0.053218223345	0.060451097487	0.055829595984	34	17	
1700000	360.867940	1	0.543004496982	0.450314644371	0.078039649890	-0.281019286861	0.371134594957	0.960710605224	0.115213793082	0.214025869057	0.257194078877	0.082317846446	0.145469491967	0.061785475272	0.000186839396	0.927902842261	N\A	0.041849902047	0.172559017602	0.162348708222	0.181223108905	0.164748627250	0.231854020735	0.047671547272	0.045309902543	0.051455988179	0.049043497199	0.047211250144	39	12	
1750000	372.095394	1	0.379882039844	0.501385442838	0.356694141868	-0.074703477943	0.371706440326	1.030249503795	0.329319693398	0.059935841686	0.156627160973	0.063413719684	0.088613931256	-0.008501842312	0.000147884619	0.921311947157	N\A	0.042803348716	0.164723529555	0.150665264222	0.202254910101	0.163741399183	0.210811152834	0.048126524611	0.046317309932	0.053614011937	0.053731345080	0.047938083467	39	12	
1800000	358.369545	1	0.891141082515	0.617943618681	0.531721475311	-0.063620506351	0.547811423406	0.953606905718	-0.309001149142	-0.094478336434	0.057375005098	-0.074078771359	0.037309890559	-0.091649391736	0.000213856386	0.930169522516	N\A	0.060972348053	0.205357316386	0.186554897450	0.197942264061	0.193972087446	0.267914865171	0.066706682310	0.062660344777	0.065947093224	0.068308331045	0.066486197811	38	11	
1850000	366.956062	1	0.366754838155	0.475757003350	0.444394851813	-0.082531361887	0.509301570683	1.290501907135	-0.608070725645	0.129260465658	0.208247968621	0.077294770988	0.121134509745	0.045374147048	0.000251453493	0.927472029707	N\A	0.046353324239	0.204684739172	0.182059762830	0.194135413807	0.188442094642	0.259241222468	0.052429029702	0.048864708295	0.052924151229	0.055836614485	0.051332040783	31	13	
1900000	372.709401	1	0.529672894579	0.546626557293	0.379790893010	-0.213078615546	-0.210778578434	0.949589970855	-0.584368542106	0.057387342729	0.126056874866	0.021406206033	0.077766805835	-0.001930942104	0.000272403751	0.924672305172	N\A	0.063781221438	0.212708901334	0.204382953367	0.214655941584	0.209809299329	0.277390521192	0.067565540324	0.066796370605	0.068347645189	0.070721648976	0.066417034507	28	14	
1950000	344.032990	1	0.583730401960	0.439866375722	0.171437416166	-0.270310634313	0.058095818708	0.654524394018	0.095681062430	0.142162903811	0.245143562977	0.125899700408	0.170962506335	0.069805286032	0.000173902056	0.925934755784	N\A	0.042429340041	0.173900793208	0.159664714202	0.166453681669	0.187475335137	0.224300611605	0.046715279920	0.046004024772	0.047647745062	0.062274652267	0.049120425339	31	7	
2000000	359.543626	1	0.286421106343	0.614559551682	0.397472428289	-0.085476212791	0.444565428026	0.527306716831	0.312424822401	0.011997224750	0.038938265497	-0.051820713382	0.034313544149	-0.123233794958	0.000175331327	0.919095293408	N\A	0.053695357954	0.186486410658	0.168659831445	0.175536363848	0.185083503278	0.295840311440	0.059094193226	0.056393462405	0.057380832672	0.064753536740	0.062135123882	36	13	
2050000	372.328972	1	0.503939736416	0.473968090521	0.002427524006	-0.347249729209	0.239088473536	-0.108627506865	0.247873348372	0.157766901266	0.199391877180	0.068824404027	0.154200896508	0.017448068213	0.000111301430	0.933874738051	N\A	0.031864390646	0.140930344022	0.124979035009	0.145499831177	0.140177488083	0.183836561392	0.040027372443	0.035043796905	0.039904726477	0.046849165008	0.039226027862	52	14	
2100000	367.284157	1	0.313349349856	0.625258728713	0.473217228411	-0.086510988473	0.482476729122	-0.229389739186	0.959312941436	-0.016459624885	0.029456040496	-0.097679019410	-0.009236571962	-0.052427379479	0.000218378752	0.928845468910	N\A	0.046062046920	0.191109963534	0.176827387815	0.186084861209	0.178723562614	0.311901210864	0.049780777598	0.049689320360	0.051652224944	0.051371504223	0.053090852818	22	15	
2150000	371.111653	1	0.110581362516	0.468932100349	0.091955161171	-0.462277311829	0.236065637482	-0.301834229530	0.490416047770	0.133457990625	0.244791325721	0.066253157565	0.153191979074	0.048034161916	0.000179626013	0.921065237624	N\A	0.041999784096	0.177754882431	0.161042297454	0.212590173172	0.178039372941	0.229342140407	0.046598991622	0.045664534216	0.053799845878	0.053716815175	0.048008772789	30	12	
2200000	372.154110	1	0.091168699538	0.678486113438	0.428700430725	-0.100311154395	0.404469829973	0.152643608193	0.728282012107	-0.131278967606	-0.009811465198	-0.149303093573	-0.037845307686	-0.127962693385	0.000265813705	0.927490931075	N\A	0.048896473378	0.212145107492	0.191400435735	0.193843346484	0.192083938572	0.266164461625	0.054815956465	0.052764006071	0.052103119244	0.054942515487	0.053130899139	36	11	
2250000	351.529032	1	0.558483380962	0.447191075317	0.251971770416	-0.256477859357	0.153193751669	-0.080467668245	-0.792067745856	0.195646112172	0.224150051588	0.145707474275	0.170891186651	0.045469847139	0.000211458233	0.932597197900	N\A	0.059041741469	0.224281863934	0.216782237605	0.227880173640	0.231812068229	0.279184692521	0.061247155953	0.061232774455	0.064955252845	0.072671754623	0.062392477125	37	12	
2300000	348.267542	1	0.306145676907	0.589027926078	0.129727083017	-0.393340944166	0.398943669117	-0.110562788416	0.508433749742	-0.015356226814	0.103830988720	-0.044351950440	0.084877346647	-0.083575449538	0.000303139040	0.913863189980	N\A	0.053306620946	0.219897565323	0.202802114264	0.216915595139	0.211995420805	0.284340365541	0.060460995118	0.056214857225	0.060020003095	0.063997345034	0.057048650955	35	11	
2350000	381.433217	1	-0.585626938008	0.570555005453	1.388300427197	0.957956377923	1.275001835100	1.152567169591	0.955481762805	0.071963589600	0.108857288022	0.017462531782	0.109523992417	-0.050536317962	0.000349581971	0.967479779591	N\A	0.076556809672	0.235238160639	0.222855976163	0.230565826073	0.227756374163	0.333968948015	0.077010614766	0.078113122440	0.079879504871	0.082207568540	0.079824863654	36	13	
2400000	363.114609	1	-0.356603828658	0.602827158562	1.484098664175	1.011767704281	0.998055809405	1.253864378543	1.143179907747	-0.014396347350	0.076360729283	-0.001725522315	0.004528039537	-0.049305251902	0.001343187812	0.933267565149	N\A	0.037371977214	0.159886969737	0.144575075085	0.160701184545	0.148910779519	0.407933088619	0.042051593185	0.040592775019	0.045877767287	0.045577816785	0.048908326273	46	10	
2450000	362.325463	1	0.429757011343	0.610158749244	0.680211406210	0.318808320285	0.705119224181	0.634358477111	0.143400995527	0.002757833736	0.077948273579	-0.055117048276	0.015055501026	-0.117001184012	0.000105058388	0.915273662030	N\A	0.037135705176	0.172270812001	0.147711946751	0.162775981906	0.154405370928	0.180473965469	0.044511299605	0.041373492241	0.045354430423	0.048729901943	0.044790869183	34	12	
2500000	353.723849	1	0.662259731297	0.435861487666	0.052559955907	-0.410490418306	0.248281818425	0.149128008056	-0.101010751541	0.196926622557	0.258827511300	0.105753311607	0.153848881790	0.042425455026	0.000200798098	0.919455672289	N\A	0.061113405916	0.193753131469	0.183147913582	0.208437293751	0.189729033892	0.249809298957	0.065050524051	0.063231402566	0.068880836158	0.068063330221	0.067008473290	39	7	
2550000	369.319725	1	0.446524183143	0.473743134311	0.226516858070	-0.552876685673	0.447255132919	-0.601066219290	0.428893843981	0.082489551947	0.263118810972	0.045215386902	0.162519861273	0.019837079619	0.000347830216	0.922261395834	N\A	0.056329836261	0.219430143488	0.203656416800	0.230549295528	0.205275922342	0.304730005830	0.061619958846	0.058887397278	0.063231762755	0.061207756182	0.061195922911	31	15	
2600000	360.651081	1	0.441463575168	0.584366790497	0.491560543247	-0.069661591435	0.801077384447	-0.455511499798	-0.016500138803	-0.025906471357	0.100333833772	-0.094064629611	0.075885855285	-0.053406837545	0.000143080901	0.924526141003	N\A	0.051461656178	0.170510085628	0.155461414888	0.165274239942	0.179511093156	0.219018781799	0.057033735256	0.053880710322	0.056446536344	0.066814744702	0.056795352398	42	13	
2650000	363.639446	1	0.131461629882	0.650140452332	0.793861411466	0.155346493541	0.531786819855	-0.420726966916	0.298748318416	-0.074308496300	0.027239372428	-0.056369499576	-0.064711353575	-0.081899703604	0.000342427639	0.923720536803	N\A	0.074109563053	0.236374338208	0.222116182850	0.245614188542	0.236185253657	0.315105087945	0.077711006365	0.075746504338	0.080015440162	0.080734605027	0.077232713284	32	12	
2700000	369.395699	1	0.569105004327	0.525325115925	-0.370204706424	-0.413925885792	0.296182446702	-1.015648907604	0.083511571544	0.088950507876	0.157022597346	-0.001100176290	0.071405963973	-0.042423803893	0.000223513728	0.928421548601	N\A	0.033398600455	0.159655657686	0.135617228855	0.151197280148	0.145583667860	0.216520875428	0.040178176438	0.037359966764	0.041954272816	0.045601144069	0.039957570687	30	16	
2750000	364.148923	1	0.354573486224	0.509713415341	0.422181746562	-0.076653637141	0.239375694507	-0.842251549008	0.349063928431	0.060201656049	0.152171900646	0.050100382087	0.104059888196	0.031068600210	0.000244382963	0.922605581279	N\A	0.045042488625	0.182841979681	0.175674185405	0.182640240659	0.188398815298	0.252917366094	0.049394571812	0.048477856346	0.050578816215	0.057043163358	0.050494100448	41	11	
