Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-glob-006.txt
Log File Name:                   SCH_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1254233204
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	367.501440	1	0.438883885853	0.552356615229	0.174433710437	-0.271809431930	-0.204072988769	0.657648581056	0.385195581329	0.055016920686	0.104096738193	-0.021296047129	0.015743477795	-0.054020074547	0.000197337705	0.927278283334	N\A	0.053965149648	0.121905549236	0.109445958986	0.133088904001	0.133476804129	0.192476292455	0.058645632136	0.056138495877	0.057985237974	0.064231786207	0.058045008168	47	13	0.000542405401	Global Trend	
1050000	365.279725	1	0.402236822415	0.611635818298	0.347937037837	-0.050808817330	-0.498134595024	0.502106253882	0.208089150188	-0.034116856121	0.064563535253	-0.076503942130	-0.004430540119	-0.070019959997	0.000301019403	0.999820498549	N\A	0.044630270706	0.114996558739	0.096507510782	0.134492838610	0.119200285044	0.194659698475	0.049172410438	0.048134220563	0.051371220105	0.053689973337	0.046602182601	31	12	0.579950104494	Global Trend	
1100000	368.064910	1	0.625235641566	0.461918932319	0.019070873363	-0.451831894763	-0.343191879734	0.300167421117	0.448817146167	0.138762991255	0.216303466587	0.026400417278	0.143635935704	0.036830241604	0.000300345847	0.987365697379	N\A	0.049845571536	0.098008877158	0.095682189853	0.137470005825	0.119290260477	0.198751735257	0.052774498484	0.052894534300	0.056479597897	0.058117418389	0.054797783582	34	15	0.059776175995	Global Trend	
1150000	376.961348	1	0.205252893327	0.567031109203	0.291537659195	0.045479982268	-0.753698448307	0.206817554598	0.456120674842	0.028369743803	0.077647022579	-0.050098018357	0.066938207090	-0.022551064308	0.000303674315	0.922960418537	N\A	0.037701111339	0.129853418849	0.117798530854	0.164691470056	0.148430925251	0.223005412878	0.043806773382	0.041376332018	0.047492290234	0.049726261718	0.041835560200	25	13	0.000818416955	Global Trend	
1200000	350.526936	1	0.125948781367	0.648207783662	0.492352150260	0.009936197460	-0.688638299724	0.194665796310	0.594991891151	-0.094506332878	0.014747318810	-0.102723395169	0.029966449394	-0.101869002714	0.000249452734	0.914055889627	N\A	0.089260388113	0.129185461611	0.111677614839	0.144487615869	0.131021775966	0.191357259943	0.092433123512	0.091230254716	0.092169058775	0.093452119429	0.091444420871	41	14	-0.005056654819	Global Trend	
1250000	373.547852	1	0.300901192068	0.541090688584	0.244664871497	-0.020169902340	-0.373550762071	0.010558727987	0.621692263144	0.063062873399	0.079930397250	0.036816215639	0.087494727340	-0.082208421036	0.000272792113	0.927936032930	N\A	0.063872309009	0.138184980516	0.124376005810	0.161658374346	0.134298770457	0.223047425869	0.068144352030	0.065905027562	0.068212565508	0.069022704931	0.067324692476	26	14	0.000774258543	Global Trend	
1300000	373.546647	1	0.203270470778	0.514063274189	-0.023751152086	-0.126061222315	-0.517829623839	0.123874217206	0.645002981671	0.061119169828	0.160146589128	0.086780293792	0.136771737132	-0.062003595942	0.000135397731	0.999782232033	N\A	0.041261396799	0.101466237402	0.082173614033	0.100702040987	0.103653067971	0.150461252027	0.046296738579	0.045193258377	0.044769822615	0.049370447564	0.047385447732	46	20	-0.144256986188	Global Trend	
1350000	369.568843	1	0.805933688138	0.477135595622	-0.140293313490	-0.398859629584	0.486418386508	0.160192702220	-0.195779475904	0.115479925833	0.226711566755	0.096499992359	0.133749294964	0.024109359011	0.000229994970	0.959482500095	N\A	0.043438762411	0.109271898132	0.087183358937	0.119208749806	0.113403727503	0.175615510909	0.048975705919	0.046660296194	0.048912199390	0.054571890297	0.048228110770	39	13	-0.019315362207	Global Trend	
1400000	367.693912	1	0.277200164075	0.505946069028	-0.023775726246	-0.538452909364	0.948205330094	-0.520329898848	0.221545474892	0.062736682648	0.177713801423	0.019783997851	0.082687915652	0.041439306274	0.000236200991	0.971122060459	N\A	0.043241348021	0.109321408788	0.090514927819	0.122146354736	0.158227352176	0.179203727383	0.046946925451	0.045553493300	0.048635637423	0.063474103312	0.048210738860	34	12	0.024838346565	Global Trend	
1450000	360.295213	1	0.559246025639	0.441168358310	0.006089118572	-0.413420297560	0.249758438005	-0.215673671658	0.111231992134	0.169959754322	0.265822248473	0.100755837116	0.214799005332	0.068736224307	0.000246196026	0.996144174977	N\A	0.045026328350	0.116886231881	0.095058849201	0.123499879998	0.118181748492	0.202015631899	0.051016398623	0.049083765541	0.049768044932	0.054754321278	0.048861392697	42	10	0.084640374128	Global Trend	
