Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m3-glob-003.txt
Log File Name:                   SCH_d1_m3-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2088048483
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m3-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	359.515124	1	0.357015590052	0.758971403837	-0.038882122726	0.000305605686	0.921515283661	N\A	0.023592013163	0.005256247038	42	8	-0.000956833994	Global Trend	
1050000	354.494644	1	0.312684076783	0.792133521035	-0.039994947618	0.000303084443	0.931850194484	N\A	0.022421154620	0.005020464738	39	10	-0.001186208103	Global Trend	
1100000	361.485901	1	0.277450616892	0.779845602790	-0.035880519417	0.000222705576	0.918038594329	N\A	0.023880435236	0.005190189980	28	10	-0.000664790952	Global Trend	
1150000	380.945594	1	0.256456703267	0.708670799449	-0.022380612092	0.000138508516	0.928163430782	N\A	0.021354304888	0.004626599285	37	11	0.000641081968	Global Trend	
1200000	378.566271	1	0.341468704649	0.796488618743	-0.043286657710	0.000113720216	0.931492800055	N\A	0.021836403971	0.004553007595	42	9	-0.001639851714	Global Trend	
1250000	362.095940	1	0.489262940629	0.745496555075	-0.030843983903	0.000231918684	0.911627955891	N\A	0.023590827416	0.004926621364	35	9	-0.002990999520	Global Trend	
1300000	371.436687	1	0.108481225432	0.793584129807	-0.040102172740	0.000330273256	0.929598268905	N\A	0.022843150332	0.005181986881	31	12	0.003081658302	Global Trend	
1350000	352.549073	1	0.288606421185	0.707996391045	-0.027844719438	0.000461314176	0.920765361905	N\A	0.023303724240	0.004356843539	37	7	0.001613087800	Global Trend	
1400000	369.614779	1	0.286052297922	0.762900063030	-0.034055476595	0.000552709967	0.923754411206	N\A	0.023518871899	0.005200258296	33	13	-0.000942324916	Global Trend	
1450000	346.908581	1	0.314848279319	0.735036367218	-0.034327305413	0.000319963031	0.923896205123	N\A	0.021685810532	0.004485565917	37	12	-0.000093937627	Global Trend	
