Species_TTOL	SCH	rest_of_brain
Anourosorex_squamipes	1.156	2.5613393948666
Atelerix_algirus	2.047	3.45937494595256
Blarina_brevicauda	1.173	2.56526016953364
Chrysochloris_asiatica	1.321	2.8124927980164
Chrysochloris_stuhlmanni	1.329	2.83356529108882
Crocidura_attenuata	0.819	2.29369840905507
Crocidura_flavescens	1.122	2.58207746336137
Crocidura_hildegardeae	0.752	2.30064063157812
Crocidura_denti	0.852	2.36479451634544
Crocidura_russula	0.767	2.26471093422473
Crocidura_suaveolens	0.795	2.25063238800831
Cryptotis_parvus	0.984	2.36248471949945
Desmana_moschata	2.213	3.55635615102067
Echinops_telfairi	1.12	2.74834886210844
Echinosorex_gymnura	2.298	3.7443098228403
Erinaceus_europaeus	2.13	3.47896517613914
Euroscaptor_micrura	1.461	2.88161190363473
Galemys_pyrenaicus	1.651	3.0873915761491
Geogale_aurita	0.305	2.08153227068238
Hemicentetes_semispinosus	1.464	2.87971667978679
Hemiechinus_auritus	1.832	3.22302557506589
Hylomys_suillus	1.712	3.04265473490601
Limnogale_mergulus	1.561	3.01708868959485
Microgale_dobsoni	1.211	2.70344201843958
Microgale_talazaci	1.354	2.85130596152045
Micropotamogale_lamottei	1.517	2.86835860528116
Micropotamogale_ruwenzorii	1.571	3.0239960099372
Myosorex_sclateri	0.918	2.52863027572128
Neomys_anomalus	1.079	2.4253493121911
Neomys_fodiens	1.039	2.4844525337294
Oryzorictes_hova	1.371	2.72555444984195
Parascalops_breweri	1.529	2.9176407015745
Potamogale_velox	2.092	3.58573403914356
Ruwenzorisorex_suncoides	1.115	2.54319142403048
Scalopus_aquaticus	1.829	3.09133564705225
Scutisorex_somereni	1.283	2.77648055519446
Setifer_setosus	1.681	3.13780347988815
Solenodon_paradoxus	2.199	3.63091110993978
Sorex_alpinus	0.988	2.39429748323639
Sorex_araneus	0.861	2.30376222600923
Sorex_cinereus	0.736	2.19894571979351
Sorex_fumeus	1	2.35557876339451
Sorex_hoyi	0.575	1.95473569737117
Sorex_minutus	0.627	2.03191366086741
Suncus_etruscus	0.276	1.76381793243763
Suncus_murinus	1.106	2.54992986543294
Sylvisorex_granti	0.636	2.19026550669
Suncus_megalura	0.589	2.24721153694055
Talpa_europaea	1.599	2.9763963558453
Tenrec_ecaudatus	1.887	3.35823796436117
Aepyprymnus_rufescens	2.585461	4.0785367274352
Antechinus_flavipes	1.298853	2.78774994860876
Antechinus_minimus	1.348305	2.86153430048589
Bettongia_gaimardi	2.556303	4.04663551459762
Bettongia_penicillata	2.439806	3.98021273823091
Burramys_parvus	1.39794	2.92464113314859
Cercartetus_nanus	1.281033	2.67775290596171
Dactylopsila_trivirgata	2.213518	3.76646475332113
Dasycercus_cristicauda	1.64836	3.16814378922862
Dasyuroides_byrnei	1.653213	3.1709361619783
Dasyurus_geoffroii	2.150449	3.70221513935253
Dasyurus_hallucatus	1.847573	3.45874340368618
Dendrolagus_lumholtzi	2.684486	4.32056441398414
Distoechurus_pennatus	1.498311	2.99668674974598
Dorcopsis	2.689486	4.18833195300086
Echymipera_kalubu	2.047664	3.52847956017657
Gymnobelideus_leadbeateri	1.850033	3.34769853893654
Hypsiprymnodon_moschatus	2.249443	3.74212014161771
Isoodon_macrourus	2.067443	3.58290385753117
Isoodon_obesulus_obesulus	2.134814	3.62554911049539
Osphranter_antilopinus	3.078457	4.71459609027679
Macropus_giganteus	3.175802	4.77506983526938
Notamacropus_irma	2.81278	4.36841530467472
Notamacropus_parma	2.620032	4.20117855029655
Notamacropus_parryi	2.923658	4.51970786965636
Osphranter_robustus	3.016616	4.66347772236744
Osphranter_rufus	3.020775	4.6959083965357
Thylamys_pallidior	1.385606	2.76345797589405
Marmosops_impavidus	1.650308	3.05568408388292
Monodelphis_brevicaudata	1.49276	2.94537022663038
Notoryctes_typhlops	1.523746	2.91376083971985
Petauroides_volans	2.036629	3.62032345471659
Petaurus_australis	2.198382	3.77024778429207
Petaurus_breviceps	1.783904	3.32467344517594
Petaurus_norfolcensis	1.835056	3.45766979672993
Petrogale_inornata	2.640978	4.23497248958282
Petrogale_lateralis	2.65215	4.16786355239828
Petrogale_penicillata	2.730702	4.31879823891567
Petrogale_purpureicollis	2.702086	4.24652097310723
Petropseudes_dahli	2.12483	3.69722055952986
Phascolarctos_cinereus	2.616581	4.22355030391757
Planigale_ingrami	0.437751	1.97840863192174
Planigale_maculata	0.773786	2.30272041723985
Potorous_tridactylus_tridactylus	2.443732	3.99808497676137
Pseudochirulus_canescens	1.795185	3.33597913853393
Pseudochirulus_forbesi	2.0086	3.47922966682932
Sarcophilus_harrisii	2.650599	4.14834965764349
Sminthopsis_crassicaudata	1.037426	2.53750425778387
Sminthopsis_leucopus	1.089905	2.66164229549523
Phalanger_gymnotis	2.443576	4.06032757480693
Thylacinus_cynocephalus	2.876507	4.70915133299125
Thylogale_billardierii	2.784118	4.34805949126278
Thylogale_stigmatica	2.681874	4.25065668458073
Trichosurus_vulpecula	2.524915	4.00237325530746
Vombatus_ursinus	3.128302	4.68410274637518
Wallabia_bicolor	2.943049	4.55349934894676
Balionycteris_maculata	1.373	2.68604357258994
Casinycteris_argynnis	1.539	2.89835140151989
Chironax_melanocephalus	1.423	2.75718362381577
Cynopterus_brachyotis	1.585	2.966833649282
Cynopterus_horsfieldii	1.754	3.11468350641045
Cynopterus_sphinx	1.646	3.05354966776212
Dobsonia_inermis	1.977	3.40766797562694
Dobsonia_moluccensis	2.146	3.63531672034154
Dobsonia_praedatrix	1.969	3.45265177566025
Eidolon_helvum	2.181	3.60406636908379
Eonycteris_spelaea	1.744	3.09326062869164
Epomophorus_labiatus	1.733	3.17341455082117
Epomops_franqueti	1.915	3.3178958890353
Hypsignathus_monstrosus	2.057	3.51177917774895
Macroglossus_minimus	1.358	2.72492739657078
Megaerops_ecaudatus	1.562	2.87855040696948
Megaloglossus_woermanni	1.5	2.80962194180342
Melonycteris_melanops	1.709	3.08827988670424
Melonycteris_woodfordi	1.622	2.98478330621441
Epomophorus_pusillus	1.471	2.8916991691473
Myonycteris_torquata	1.673	3.04038415947288
Notopteris_macdonaldi	1.718	3.14143861060649
Nyctimene_albiventer	1.474	2.89166094946112
Nyctimene_robinsoni	1.641	3.06521908417013
Nyctimene_vizcaccia	1.501	2.97019608506253
Paranyctimene_raptor	1.431	2.83904237199348
Pteropus_alecto	2.344	3.82069860124938
Pteropus_conspicillatus	2.416	3.89493121910952
Pteropus_hypomelanus	2.294	3.69716131393364
Pteropus_lylei	2.27	3.75598421253182
Pteropus_neohibernicus	2.452	3.92848620624869
Pteropus_poliocephalus	2.354	3.83016987335255
Pteropus_samoensis	2.335	3.73626675041077
Pteropus_scapulatus	2.31	3.70549571470575
Pteropus_temminckii	2.219	3.66354900940771
Pteropus_tonganus	2.303	3.75825829746648
Pteropus_vampyrus	2.47	3.92972371176801
Rousettus_aegyptiacus	1.919	3.32486399626551
Rousettus_amplexicaudatus	1.679	3.1617898919156
Scotonycteris_zenkeri	1.5	2.8251361190744
Sphaerias_blanfordi	1.526	2.89058047078486
Syconycteris_australis	1.386	2.75449107699007
Anoura_caudifer	1.196	2.5806238378183
Anoura_geoffroyi	1.382	2.74657171798292
Ardops_nichollsi	1.297	2.72119019257957
Artibeus_cinereus	1.301	2.64696591916355
Artibeus_concolor	1.403	2.77277474031503
Artibeus_jamaicensis	1.644	2.98333261088124
Artibeus_lituratus	1.695	3.06496819373968
Aselliscus_stoliczkanus	0.626	2.14627742243429
Aselliscus_tricuspidatus	0.644	2.0993562087761
Brachyphylla_cavernarum	1.566	3.05292228999784
Cardioderma_cor	1.356	2.79992584642206
Carollia_perspicillata	1.301	2.71324648190518
Chalinolobus_gouldii	0.854	2.35195774032069
Chalinolobus_morio	0.797	2.24071974568802
Chiroderma_salvini	1.441	2.88624082329356
Chiroderma_trinitatum	1.236	2.70539048497075
Chiroderma_villosum	1.358	2.82351695180044
Choeroniscus_minor	1.217	2.5659450134905
Coleura_afra	0.89	2.38684133903795
Cormura_brevirostris	0.791	2.31547900333038
Craseonycteris_thonglongyai	0.38	1.91186407137902
Desmodus_rotundus	1.501	2.97496949473285
Diphylla_ecaudata	1.365	2.87975236516861
Emballonura_monticola	0.643	2.19689550326823
Emballonura_raffrayana	0.719	2.21750313113026
