Species_TTOL	SCH	rest_of_brain	rest_of_brain2
Anourosorex_squamipes	1.156	2.5613393948666	6.56045949569562
Atelerix_algirus	2.047	3.45937494595256	11.9672750166842
Blarina_brevicauda	1.173	2.56526016953364	6.58055973739577
Chrysochloris_asiatica	1.321	2.8124927980164	7.91011573889411
Chrysochloris_stuhlmanni	1.329	2.83356529108882	8.02909225886326
Crocidura_attenuata	0.819	2.29369840905507	5.26105239170176
Crocidura_flavescens	1.122	2.58207746336137	6.66712402679868
Crocidura_hildegardeae	0.752	2.30064063157812	5.29294731566815
Crocidura_denti	0.852	2.36479451634544	5.59225310453746
Crocidura_russula	0.767	2.26471093422473	5.12891561559707
Crocidura_suaveolens	0.795	2.25063238800831	5.065346145952
Cryptotis_parvus	0.984	2.36248471949945	5.5813340498684
Desmana_moschata	2.213	3.55635615102067	12.6476690729026
Echinops_telfairi	1.12	2.74834886210844	7.55342146785276
Echinosorex_gymnura	2.298	3.7443098228403	14.0198560494184
Erinaceus_europaeus	2.13	3.47896517613914	12.1031986967888
Euroscaptor_micrura	1.461	2.88161190363473	8.30368716316934
Galemys_pyrenaicus	1.651	3.0873915761491	9.53198674447644
Geogale_aurita	0.305	2.08153227068238	4.33277659389213
Hemicentetes_semispinosus	1.464	2.87971667978679	8.29276815584225
Hemiechinus_auritus	1.832	3.22302557506589	10.3878938575288
Hylomys_suillus	1.712	3.04265473490601	9.25774783584598
Limnogale_mergulus	1.561	3.01708868959485	9.10282416088118
Microgale_dobsoni	1.211	2.70344201843958	7.30859874706469
Microgale_talazaci	1.354	2.85130596152045	8.12994568620207
Micropotamogale_lamottei	1.517	2.86835860528116	8.22748108849048
Micropotamogale_ruwenzorii	1.571	3.0239960099372	9.14455186811612
Myosorex_sclateri	0.918	2.52863027572128	6.39397107129426
Neomys_anomalus	1.079	2.4253493121911	5.88231928614584
Neomys_fodiens	1.039	2.4844525337294	6.17250439235441
Oryzorictes_hova	1.371	2.72555444984195	7.42864705905324
Parascalops_breweri	1.529	2.9176407015745	8.51262726348414
Potamogale_velox	2.092	3.58573403914356	12.8574885994728
Ruwenzorisorex_suncoides	1.115	2.54319142403048	6.4678226192622
Scalopus_aquaticus	1.829	3.09133564705225	9.55635608273596
Scutisorex_somereni	1.283	2.77648055519446	7.70884427337294
Setifer_setosus	1.681	3.13780347988815	9.84581067839821
Solenodon_paradoxus	2.199	3.63091110993978	13.1835154882841
Sorex_alpinus	0.988	2.39429748323639	5.73266043823212
Sorex_araneus	0.861	2.30376222600923	5.30732039398702
Sorex_cinereus	0.736	2.19894571979351	4.83536227859818
Sorex_fumeus	1	2.35557876339451	5.5487513105552
Sorex_hoyi	0.575	1.95473569737117	3.82099164657714
Sorex_minutus	0.627	2.03191366086741	4.12867312521959
Suncus_etruscus	0.276	1.76381793243763	3.11105369878857
Suncus_murinus	1.106	2.54992986543294	6.50214231862683
Sylvisorex_granti	0.636	2.19026550669	4.797262989796
Suncus_megalura	0.589	2.24721153694055	5.04995969175869
Talpa_europaea	1.599	2.9763963558453	8.85893526708917
Tenrec_ecaudatus	1.887	3.35823796436117	11.2777622252766
Aepyprymnus_rufescens	2.585461	4.0785367274352	16.6344618370378
Antechinus_flavipes	1.298853	2.78774994860876	7.77154977596817
Antechinus_minimus	1.348305	2.86153430048589	8.18837855285726
Bettongia_gaimardi	2.556303	4.04663551459762	16.3752589880027
Bettongia_penicillata	2.439806	3.98021273823091	15.8420934415756
Burramys_parvus	1.39794	2.92464113314859	8.55352575770467
Cercartetus_nanus	1.281033	2.67775290596171	7.17036062538641
Dactylopsila_trivirgata	2.213518	3.76646475332113	14.1862567380104
Dasycercus_cristicauda	1.64836	3.16814378922862	10.0371350692279
Dasyuroides_byrnei	1.653213	3.1709361619783	10.0548361433417
Dasyurus_geoffroii	2.150449	3.70221513935253	13.706396938051
Dasyurus_hallucatus	1.847573	3.45874340368618	11.9629059325426
Dendrolagus_lumholtzi	2.684486	4.32056441398414	18.6672768553861
Distoechurus_pennatus	1.498311	2.99668674974598	8.98013147610311
Dorcopsis	2.689486	4.18833195300086	17.542124548528
Echymipera_kalubu	2.047664	3.52847956017657	12.4501680065838
Gymnobelideus_leadbeateri	1.850033	3.34769853893654	11.2070855075978
Hypsiprymnodon_moschatus	2.249443	3.74212014161771	14.0034631543009
Isoodon_macrourus	2.067443	3.58290385753117	12.8372000523117
Isoodon_obesulus_obesulus	2.134814	3.62554911049539	13.1446063526139
Osphranter_antilopinus	3.078457	4.71459609027679	22.2274162944531
Macropus_giganteus	3.175802	4.77506983526938	22.8012919316995
Notamacropus_irma	2.81278	4.36841530467472	19.0830522741163
Notamacropus_parma	2.620032	4.20117855029655	17.6499012114718
Notamacropus_parryi	2.923658	4.51970786965636	20.4277592270336
Osphranter_robustus	3.016616	4.66347772236744	21.7480244670174
Osphranter_rufus	3.020775	4.6959083965357	22.0515556686545
Thylamys_pallidior	1.385606	2.76345797589405	7.63669998453245
Marmosops_impavidus	1.650308	3.05568408388292	9.33720522049542
Monodelphis_brevicaudata	1.49276	2.94537022663038	8.67520577192069
Notoryctes_typhlops	1.523746	2.91376083971985	8.49000223108495
Petauroides_volans	2.036629	3.62032345471659	13.106741916771
Petaurus_australis	2.198382	3.77024778429207	14.2147683549593
Petaurus_breviceps	1.783904	3.32467344517594	11.053453517058
Petaurus_norfolcensis	1.835056	3.45766979672993	11.9554804232184
Petrogale_inornata	2.640978	4.23497248958282	17.9349919875233
Petrogale_lateralis	2.65215	4.16786355239828	17.3710865914101
Petrogale_penicillata	2.730702	4.31879823891567	18.6520182284611
Petrogale_purpureicollis	2.702086	4.24652097310723	18.0329403750396
Petropseudes_dahli	2.12483	3.69722055952986	13.6694398658103
Phascolarctos_cinereus	2.616581	4.22355030391757	17.8383771697222
Planigale_ingrami	0.437751	1.97840863192174	3.91410071486245
Planigale_maculata	0.773786	2.30272041723985	5.30252131997327
Potorous_tridactylus_tridactylus	2.443732	3.99808497676137	15.984683481405
Pseudochirulus_canescens	1.795185	3.33597913853393	11.1287568127336
Pseudochirulus_forbesi	2.0086	3.47922966682932	12.1050390745452
Sarcophilus_harrisii	2.650599	4.14834965764349	17.2088048820708
Sminthopsis_crassicaudata	1.037426	2.53750425778387	6.43892785827126
Sminthopsis_leucopus	1.089905	2.66164229549523	7.08433970916911
Phalanger_gymnotis	2.443576	4.06032757480693	16.4862600147375
Thylacinus_cynocephalus	2.876507	4.70915133299125	22.1761062770133
Thylogale_billardierii	2.784118	4.34805949126278	18.9056213395604
Thylogale_stigmatica	2.681874	4.25065668458073	18.0680822501708
Trichosurus_vulpecula	2.524915	4.00237325530746	16.0189916748004
Vombatus_ursinus	3.128302	4.68410274637518	21.9408185385995
Wallabia_bicolor	2.943049	4.55349934894676	20.7343563208586
