Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m6-bm-003.txt
Log File Name:                   SCH_d1_m6-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2324897517
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m6-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	411.777762	1	-1.350924523622	0.939215181722	0.010454252696	0.000228877487	0.941674664327	N\A	0.040408393297	0.027729692517	
1050000	409.239766	1	-1.510395364779	1.032067161245	-0.055426636194	0.000232279796	0.940807646687	N\A	0.040707624741	0.027935035894	
1100000	411.358592	1	-1.404912637484	0.977899183182	-0.022540094214	0.000229435950	0.941532349866	N\A	0.040457661723	0.027763502283	
1150000	410.738932	1	-1.401000211081	0.982899655412	-0.031657362134	0.000230264023	0.941321330275	N\A	0.040530605222	0.027813558735	
1200000	411.821676	1	-1.325028822452	0.934529548220	0.005827032554	0.000228819059	0.941689553501	N\A	0.040403235281	0.027726152901	
1250000	411.477266	1	-1.321309155723	0.938206917630	-0.001253177634	0.000229277701	0.941572676819	N\A	0.040443706864	0.027753925957	
1300000	409.270087	1	-1.424703951204	0.960719672541	0.011611998074	0.000232238852	0.940818080510	N\A	0.040704036821	0.027932573734	
1350000	411.621662	1	-1.383085199224	0.955176161743	0.001244914021	0.000229085302	0.941621706440	N\A	0.040426734019	0.027742278580	
1400000	411.828710	1	-1.342136629555	0.943603475407	0.000067632902	0.000228809702	0.941691938060	N\A	0.040402409143	0.027725585976	
1450000	411.614938	1	-1.399061623953	0.967788008029	-0.010235909262	0.000229094257	0.941619424265	N\A	0.040427524210	0.027742820838	
1500000	409.353202	1	-1.284917574382	0.888825047297	0.055356963637	0.000232126655	0.940846671841	N\A	0.040694203385	0.027925825677	
1550000	411.865077	1	-1.321402385313	0.928306103249	0.013389083281	0.000228761328	0.941704265323	N\A	0.040398138058	0.027722655003	
1600000	411.852474	1	-1.325457855158	0.928809694017	0.014453241895	0.000228778090	0.941699993692	N\A	0.040399618121	0.027723670676	
1650000	410.301843	1	-1.219026707406	0.885876694526	0.030349024939	0.000230849918	0.941172025364	N\A	0.040582136502	0.027848921352	
1700000	411.786094	1	-1.317732543318	0.931157925612	0.007548504875	0.000228866400	0.941677489686	N\A	0.040407414566	0.027729020877	
1750000	410.853499	1	-1.449471520506	0.997400368375	-0.031446489276	0.000230110699	0.941360402167	N\A	0.040517109081	0.027804297198	
1800000	411.577055	1	-1.319736672237	0.936097936673	0.001156358330	0.000229144721	0.941606564557	N\A	0.040431976526	0.027745876177	
1850000	411.285268	1	-1.311092933076	0.913353782114	0.030846167941	0.000229533780	0.941507419823	N\A	0.040466286183	0.027769420697	
1900000	410.172909	1	-1.205153033791	0.876340711687	0.038230697462	0.000231023032	0.941127910530	N\A	0.040597349831	0.027859361286	
1950000	406.009375	1	-1.587850519252	1.050833087322	-0.048592711500	0.000236683546	0.939685429560	N\A	0.041091697148	0.028198600191	
2000000	408.552870	1	-1.440242788627	0.966249157568	0.010380573639	0.000233209279	0.940570784504	N\A	0.040788990573	0.027990872054	
2050000	410.483309	1	-1.353088957421	0.962414292137	-0.022793157250	0.000230606492	0.941234058248	N\A	0.040560734346	0.027834234423	
2100000	410.990859	1	-1.400907905442	0.980718221396	-0.028481526953	0.000229927004	0.941407213501	N\A	0.040500933675	0.027793197053	
2150000	411.643735	1	-1.299198811709	0.913193222683	0.025783844531	0.000229055905	0.941629197706	N\A	0.040424140100	0.027740498540	
2200000	408.016519	1	-1.140470083855	0.848032739014	0.051158729388	0.000233937635	0.940385176121	N\A	0.040852636682	0.028034548303	
2250000	411.137512	1	-1.435440735757	0.988431332065	-0.024470889025	0.000229731044	0.941457150505	N\A	0.040483671086	0.027781350843	
2300000	411.565855	1	-1.284041992914	0.906763813551	0.028512584450	0.000229159642	0.941602762101	N\A	0.040433292926	0.027746779538	
2350000	411.253643	1	-1.313901406975	0.914337690690	0.030646437250	0.000229575987	0.941496664079	N\A	0.040470006526	0.027771973731	
2400000	410.978825	1	-1.444368615936	0.993511909956	-0.027985641477	0.000229943092	0.941403113787	N\A	0.040502350568	0.027794169375	
2450000	411.736716	1	-1.360120291944	0.954096427905	-0.007394189169	0.000228932113	0.941660743907	N\A	0.040413215114	0.027733001422	
2500000	410.641320	1	-1.223347541551	0.883897042658	0.035193445780	0.000230394738	0.941288019956	N\A	0.040542107663	0.027821452123	
2550000	411.789050	1	-1.342123782061	0.934831825238	0.012997456290	0.000228862467	0.941678491914	N\A	0.040407067379	0.027728782625	
2600000	410.999479	1	-1.317690523544	0.940718946190	-0.006569847189	0.000229915482	0.941410149830	N\A	0.040499918827	0.027792500627	
2650000	411.489056	1	-1.271636906257	0.904912265778	0.025716313930	0.000229261986	0.941576681511	N\A	0.040442320806	0.027752974794	
2700000	411.385725	1	-1.400995438790	0.962801946163	-0.002021408538	0.000229399759	0.941541572460	N\A	0.040454470734	0.027761312511	
2750000	410.765853	1	-1.449329116027	0.999452153887	-0.034535700558	0.000230227986	0.941330513854	N\A	0.040527433451	0.027811382152	
2800000	411.822282	1	-1.321194434306	0.925999841839	0.016697478717	0.000228818253	0.941689758995	N\A	0.040403164088	0.027726104046	
2850000	411.854797	1	-1.360248265706	0.950689993306	-0.002313706905	0.000228775001	0.941700780934	N\A	0.040399345356	0.027723483495	
2900000	411.732943	1	-1.302529711224	0.922644538861	0.013329985373	0.000228937135	0.941659464142	N\A	0.040413658376	0.027733305604	
2950000	409.812481	1	-1.443295338199	1.006813181232	-0.048079187767	0.000231507650	0.941004414158	N\A	0.040639908189	0.027888566361	
3000000	411.871854	1	-1.323192326006	0.930875330475	0.010397704530	0.000228752315	0.941706562154	N\A	0.040397342214	0.027722108867	
3050000	411.759805	1	-1.302441388565	0.917827426429	0.020394428439	0.000228901383	0.941668574686	N\A	0.040410502724	0.027731140082	
3100000	411.801338	1	-1.363224085331	0.953878003224	-0.005689268210	0.000228846117	0.941682658213	N\A	0.040405624078	0.027727792180	
3150000	409.473536	1	-1.484258115417	0.999435539613	-0.018949539609	0.000231964312	0.940888042152	N\A	0.040679970658	0.027916058668	
3200000	411.763006	1	-1.324016457780	0.925642893608	0.018481145397	0.000228897123	0.941669660332	N\A	0.040410126669	0.027730882020	
3250000	408.176870	1	-1.240889208487	0.913147347140	-0.000126750979	0.000233719642	0.940440727656	N\A	0.040833598165	0.028021483388	
3300000	409.864445	1	-1.496531243962	1.017541423029	-0.040182318424	0.000231437720	0.941022234716	N\A	0.040633769759	0.027884353950	
3350000	411.520740	1	-1.406484395050	0.970249611659	-0.010559022109	0.000229219757	0.941587442848	N\A	0.040438595979	0.027750418684	
3400000	410.698763	1	-1.233087846950	0.891263055164	0.028670318099	0.000230317806	0.941307624719	N\A	0.040535338305	0.027816806747	
3450000	411.661389	1	-1.292314029007	0.911648846872	0.024994008073	0.000229032395	0.941635188717	N\A	0.040422065538	0.027739074901	
3500000	411.801411	1	-1.306753276806	0.921529810956	0.016855568016	0.000228846020	0.941682683013	N\A	0.040405615487	0.027727786284	
3550000	411.167155	1	-1.277730396262	0.898021016263	0.038593623182	0.000229691456	0.941467238829	N\A	0.040480182787	0.027778957047	
3600000	411.738971	1	-1.303310027454	0.917098557498	0.021856289301	0.000228929111	0.941661508843	N\A	0.040412950167	0.027732819605	
3650000	411.747062	1	-1.383666261231	0.960174520446	-0.005867286280	0.000228918342	0.941664253001	N\A	0.040411999673	0.027732167342	
3700000	409.603082	1	-1.218042015328	0.862250949036	0.064751195015	0.000231789668	0.940932547116	N\A	0.040664653948	0.027905547791	
3750000	411.686681	1	-1.313872357490	0.919752105356	0.022648860991	0.000228998719	0.941643770385	N\A	0.040419093701	0.027737035519	
3800000	409.849930	1	-1.185503560581	0.861871605906	0.050813993964	0.000231457251	0.941017257616	N\A	0.040635484253	0.027885530497	
