Species_TTOL	SCH	rest_of_brain	BOD
Anourosorex_squamipes	1.156	3.0789623596587	1.307
Atelerix_algirus	2.047	3.0789623596587	2.867
Blarina_brevicauda	1.173	3.0789623596587	1.267
Chrysochloris_asiatica	1.321	3.0789623596587	1.69
Chrysochloris_stuhlmanni	1.329	3.0789623596587	1.626
Crocidura_attenuata	0.819	3.0789623596587	0.968
Crocidura_flavescens	1.122	3.0789623596587	1.467
Crocidura_hildegardeae	0.752	3.0789623596587	0.996
Crocidura_denti	0.852	3.0789623596587	1.079
Crocidura_russula	0.767	3.0789623596587	1.049
Crocidura_suaveolens	0.795	3.0789623596587	1.013
Cryptotis_parvus	0.984	3.0789623596587	0.991226075692495
Desmana_moschata	2.213	3.0789623596587	2.646
Echinops_telfairi	1.12	3.0789623596587	1.942
Echinosorex_gymnura	2.298	3.0789623596587	2.921
Erinaceus_europaeus	2.13	3.0789623596587	2.929
Euroscaptor_micrura	1.461	3.0789623596587	1.617
Galemys_pyrenaicus	1.651	3.0789623596587	1.778
Geogale_aurita	0.305	3.0789623596587	1
Hemicentetes_semispinosus	1.464	3.0789623596587	2.062
Hemiechinus_auritus	1.832	3.0789623596587	2.371
Hylomys_suillus	1.712	3.0789623596587	1.756
Limnogale_mergulus	1.561	3.0789623596587	1.964
Microgale_dobsoni	1.211	3.0789623596587	1.504
Microgale_talazaci	1.354	3.0789623596587	1.683
Micropotamogale_lamottei	1.517	3.0789623596587	1.808
Micropotamogale_ruwenzorii	1.571	3.0789623596587	1.986
Myosorex_sclateri	0.918	3.0789623596587	1.23
Neomys_anomalus	1.079	3.0789623596587	1.037
Neomys_fodiens	1.039	3.0789623596587	1.182
Oryzorictes_hova	1.371	3.0789623596587	1.645
Parascalops_breweri	1.529	3.0789623596587	1.731
Potamogale_velox	2.092	3.0789623596587	2.791
Ruwenzorisorex_suncoides	1.115	3.0789623596587	1.262
Scalopus_aquaticus	1.829	3.0789623596587	2.061
Scutisorex_somereni	1.283	3.0789623596587	1.792
Setifer_setosus	1.681	3.0789623596587	2.373
Solenodon_paradoxus	2.199	3.0789623596587	2.826
Sorex_alpinus	0.988	3.0789623596587	1.033
Sorex_araneus	0.861	3.0789623596587	0.987
Sorex_cinereus	0.736	3.0789623596587	0.633
Sorex_fumeus	1	3.0789623596587	0.924
Sorex_hoyi	0.575	3.0789623596587	0.42
Sorex_minutus	0.627	3.0789623596587	0.633
Suncus_etruscus	0.276	3.0789623596587	0.762
Suncus_murinus	1.106	3.0789623596587	1.529
Sylvisorex_granti	0.636	3.0789623596587	0.591
Suncus_megalura	0.589	3.0789623596587	0.74
Talpa_europaea	1.599	3.0789623596587	1.908
Tenrec_ecaudatus	1.887	3.0789623596587	2.935
